"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Categories: 'ENVIRONMENTAL SCIENCES' Selected Category Scheme: WoS",,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
1,Energy & Environmental Science,30.067,7.071
2,Nature Climate Change,19.181,9.464
3,GLOBAL CHANGE BIOLOGY,8.997,3.307
4,ENVIRONMENTAL HEALTH PERSPECTIVES,8.440,2.893
5,FRONTIERS IN ECOLOGY AND THE ENVIRONMENT,8.302,3.864
6,CRITICAL REVIEWS IN ENVIRONMENTAL SCIENCE AND TECHNOLOGY,7.683,1.519
7,ENVIRONMENT INTERNATIONAL,7.297,1.811
8,LAND DEGRADATION & DEVELOPMENT,7.270,1.092
9,WATER RESEARCH,7.051,1.499
10,Reviews of Environmental Contamination and Toxicology,7.000,1.127
11,ENVIRONMENTAL SCIENCE & TECHNOLOGY,6.653,1.646
12,REMOTE SENSING OF ENVIRONMENT,6.457,1.976
13,JOURNAL OF HAZARDOUS MATERIALS,6.434,1.182
14,GLOBAL ENVIRONMENTAL CHANGE-HUMAN AND POLICY DIMENSIONS,6.371,2.784
15,JOURNAL OF TOXICOLOGY AND ENVIRONMENTAL HEALTH-PART B-CRITICAL REVIEWS,6.333,1.643
16,Environmental Science-Nano,6.087,1.407
17,Annual Review of Environment and Resources,6.025,3.277
18,CONSERVATION BIOLOGY,5.890,2.052
19,Environmental Science & Technology Letters,5.869,1.977
20,REVIEWS IN ENVIRONMENTAL SCIENCE AND BIO-TECHNOLOGY,5.716,1.311
21,JOURNAL OF CLEANER PRODUCTION,5.651,0.815
22,Environmental Innovation and Societal Transitions,5.265,Not Available
23,RESOURCES CONSERVATION AND RECYCLING,5.120,0.807
24,ENVIRONMENTAL RESEARCH,4.732,1.168
25,WASTE MANAGEMENT,4.723,0.852
26,BIOLOGICAL CONSERVATION,4.661,1.565
27,SCIENCE OF THE TOTAL ENVIRONMENT,4.610,1.032
28,Earths Future,4.594,2.882
29,JOURNAL OF ENVIRONMENTAL SCIENCE AND HEALTH PART C-ENVIRONMENTAL CARCINOGENESIS & ECOTOXICOLOGY REVIEWS,4.586,0.872
30,Environmental Research Letters,4.541,1.943
31,APPLIED CATALYSIS A-GENERAL,4.521,0.777
31,Journal of Environmental Informatics,4.521,0.635
33,Trends in Environmental Analytical Chemistry,4.462,0.919
34,GLOBAL BIOGEOCHEMICAL CYCLES,4.457,2.220
35,CHEMOSPHERE,4.427,0.868
36,Ecosystem Services,4.395,1.233
37,ECOLOGICAL APPLICATIONS,4.393,1.711
38,Environmental Health,4.376,1.416
39,WATER RESOURCES RESEARCH,4.361,1.437
40,ENVIRONMENTAL POLLUTION,4.358,1.118
41,JOURNAL OF INDUSTRIAL ECOLOGY,4.356,0.966
42,INTERNATIONAL JOURNAL OF LIFE CYCLE ASSESSMENT,4.195,0.773
43,Current Opinion in Environmental Sustainability,4.186,1.585
44,ENVIRONMENTAL MODELLING & SOFTWARE,4.177,1.219
45,Geobiology,4.158,1.555
46,Environmental Sciences Europe,4.040,Not Available
47,ENERGY POLICY,4.039,0.994
48,JOURNAL OF ENVIRONMENTAL MANAGEMENT,4.005,0.878
49,ECOLOGICAL INDICATORS,3.983,0.896
50,ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY,3.974,0.737
51,Wiley Interdisciplinary Reviews-Water,3.943,Not Available
52,ECOLOGICAL ECONOMICS,3.895,1.144
53,Sustainability Science,3.855,0.961
54,ENVIRONMENTAL SCIENCE & POLICY,3.826,1.072
55,ATMOSPHERIC ENVIRONMENT,3.708,0.965
56,ENVIRONMENTAL AND EXPERIMENTAL BOTANY,3.666,0.986
57,Environmental Science-Water Research & Technology,3.649,0.854
58,AQUATIC SCIENCES,3.622,1.011
59,AMBIO,3.616,1.093
60,INTERNATIONAL BIODETERIORATION & BIODEGRADATION,3.562,0.613
61,AGRICULTURE ECOSYSTEMS & ENVIRONMENT,3.541,1.099
62,CLIMATIC CHANGE,3.537,1.580
63,Journal of Geophysical Research-Biogeosciences,3.484,1.515
64,ENVIRONMENTAL REVIEWS,3.328,1.275
65,BIOGEOCHEMISTRY,3.265,1.215
66,ENVIRONMENTAL AND MOLECULAR MUTAGENESIS,3.254,0.845
67,MARINE POLLUTION BULLETIN,3.241,0.702
68,ENVIRONMENTAL TOXICOLOGY AND CHEMISTRY,3.179,0.708
69,MARINE ENVIRONMENTAL RESEARCH,3.159,0.804
70,Environmental Chemistry Letters,3.125,0.629
71,JOURNAL OF ENVIRONMENTAL SCIENCES,3.120,0.601
72,Journal of Exposure Science and Environmental Epidemiology,3.083,0.872
73,ECOLOGICAL ENGINEERING,3.023,0.646
74,ENVIRONMENTAL GEOCHEMISTRY AND HEALTH,2.994,0.564
75,AQUATIC CONSERVATION-MARINE AND FRESHWATER ECOSYSTEMS,2.988,0.753
76,ENVIRONMENT,2.963,0.646
77,BioEnergy Research,2.938,0.839
78,Environmental Chemistry,2.923,0.857
79,Environmental Microbiology Reports,2.885,1.082
80,Regional Environmental Change,2.872,0.881
81,Elementa-Science of the Anthropocene,2.838,Not Available
82,BIODIVERSITY AND CONSERVATION,2.828,0.913
