"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Categories: 'ERGONOMICS' Selected Category Scheme: WoS",,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
1,ACCIDENT ANALYSIS AND PREVENTION,2.584,0.816
2,APPLIED ERGONOMICS,2.435,0.598
3,JOURNAL OF SAFETY RESEARCH,2.394,0.970
4,HUMAN FACTORS,2.371,0.729
5,INTERNATIONAL JOURNAL OF HUMAN-COMPUTER STUDIES,2.300,0.533
6,ERGONOMICS,2.019,0.582
7,NEW TECHNOLOGY WORK AND EMPLOYMENT,1.469,0.525
8,INTERNATIONAL JOURNAL OF INDUSTRIAL ERGONOMICS,1.429,0.356
9,BEHAVIOUR & INFORMATION TECHNOLOGY,1.380,0.319
10,Cognition Technology & Work,1.260,0.322
11,INTERNATIONAL JOURNAL OF HUMAN-COMPUTER INTERACTION,1.259,0.286
12,Universal Access in the Information Society,1.176,0.177
13,Human Factors and Ergonomics in Manufacturing & Service Industries,0.917,0.184
14,TRAVAIL HUMAIN,0.879,0.062
15,INTERACTING WITH COMPUTERS,0.809,0.248
16,International Journal of Occupational Safety and Ergonomics,0.648,0.186
Copyright © 2019 Clarivate Analytics,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,
