"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Categories: 'ETHICS' Selected Category Scheme: WoS",,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
1,AMERICAN JOURNAL OF BIOETHICS,4.847,1.849
2,Business Ethics-A European Review,3.029,0.274
3,JOURNAL OF BUSINESS ETHICS,2.917,0.689
4,JOURNAL OF POLITICAL PHILOSOPHY,2.362,1.120
5,BMC Medical Ethics,1.969,0.694
6,JOURNAL OF MEDICAL ETHICS,1.889,0.483
7,SCIENCE AND ENGINEERING ETHICS,1.859,0.465
8,ENVIRONMENTAL VALUES,1.852,0.408
9,BUSINESS ETHICS QUARTERLY,1.757,1.219
10,BIOETHICS,1.660,0.528
11,HASTINGS CENTER REPORT,1.472,0.616
12,Medicine Health Care and Philosophy,1.407,0.361
13,ECONOMICS AND PHILOSOPHY,1.257,0.832
14,PHILOSOPHY & PUBLIC AFFAIRS,1.250,1.533
15,JOURNAL OF AGRICULTURAL & ENVIRONMENTAL ETHICS,1.240,0.385
16,Philosophy Ethics and Humanities in Medicine,1.222,Not Available
17,Neuroethics,1.214,0.344
18,HEALTH CARE ANALYSIS,1.180,0.381
19,ETHICS,1.159,0.759
20,Public Health Ethics,1.083,0.317
21,Ethics and Information Technology,1.080,0.366
22,PHILOSOPHICAL PSYCHOLOGY,1.076,0.302
23,Ethics & International Affairs,1.045,0.403
24,Journal of Applied Philosophy,1.018,0.421
25,JOURNAL OF LAW MEDICINE & ETHICS,0.986,0.579
26,Developing World Bioethics,0.980,0.493
27,Journal of Empirical Research on Human Research Ethics,0.953,0.423
28,NanoEthics,0.950,0.166
29,ETHICS & BEHAVIOR,0.942,0.235
30,JOURNAL OF MEDICINE AND PHILOSOPHY,0.854,0.338
30,RADICAL PHILOSOPHY,0.854,0.333
32,Journal of Bioethical Inquiry,0.809,0.280
33,Politics Philosophy & Economics,0.795,0.474
34,JOURNAL OF THE PHILOSOPHY OF SPORT,0.767,0.067
35,KENNEDY INSTITUTE OF ETHICS JOURNAL,0.639,0.347
36,THEORETICAL MEDICINE AND BIOETHICS,0.615,0.311
37,INQUIRY-AN INTERDISCIPLINARY JOURNAL OF PHILOSOPHY,0.597,0.263
38,Journal of Mass Media Ethics,0.594,0.277
39,HUMAN STUDIES,0.582,0.232
40,PHILOSOPHY OF THE SOCIAL SCIENCES,0.559,0.216
41,SOCIAL PHILOSOPHY & POLICY,0.545,0.271
42,LAW AND PHILOSOPHY,0.512,0.346
43,Journal of Social Philosophy,0.491,0.203
44,Journal of Moral Philosophy,0.458,0.227
45,Ethics & Global Politics,0.368,0.313
46,ENVIRONMENTAL ETHICS,0.340,0.118
47,Acta Bioethica,0.288,0.011
48,JOURNAL OF VALUE INQUIRY,0.219,0.100
49,Etikk i Praksis,0.192,0.074
50,International Journal of Feminist Approaches To Bioethics,0.184,0.164
51,STUDIES IN EAST EUROPEAN THOUGHT,0.075,0.049
52,Ethical Perspectives,0.043,0.084
Copyright © 2019 Clarivate Analytics,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,
