"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Categories: 'ETHNIC STUDIES' Selected Category Scheme: WoS",,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
1,JOURNAL OF ETHNIC AND MIGRATION STUDIES,1.871,0.858
2,ETHNICITY & HEALTH,1.766,0.745
3,Cultural Diversity & Ethnic Minority Psychology,1.756,0.817
4,PATTERNS OF PREJUDICE,1.674,0.706
5,Asian American Journal of Psychology,1.452,0.497
6,Journal of Refugee Studies,1.404,0.631
7,Du Bois Review-Social Science Research on Race,1.310,0.788
8,Race Ethnicity and Education,1.202,0.535
9,Ethnicities,1.178,0.720
10,ETHNIC AND RACIAL STUDIES,1.176,0.597
11,Race and Social Problems,1.104,Not Available
12,IDENTITIES-GLOBAL STUDIES IN CULTURE AND POWER,0.920,0.479
13,RACE & CLASS,0.782,0.359
14,Nations and Nationalism,0.679,0.480
15,JOURNAL OF BLACK STUDIES,0.571,0.204
16,Souls,0.526,0.098
Copyright © 2019 Clarivate Analytics,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,
