"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Categories: 'EVOLUTIONARY BIOLOGY' Selected Category Scheme: WoS",,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
1,TRENDS IN ECOLOGY & EVOLUTION,15.938,7.678
2,MOLECULAR BIOLOGY AND EVOLUTION,10.217,5.511
3,Annual Review of Ecology Evolution and Systematics,10.160,6.375
4,SYSTEMATIC BIOLOGY,8.523,5.554
5,Molecular Ecology Resources,7.059,2.010
6,MOLECULAR ECOLOGY,6.131,2.210
7,CLADISTICS,5.877,1.857
8,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,4.847,2.171
9,Evolutionary Applications,4.694,1.821
10,MOLECULAR PHYLOGENETICS AND EVOLUTION,4.412,1.384
11,AMERICAN NATURALIST,4.265,1.828
12,SYSTEMATIC ENTOMOLOGY,4.237,1.232
13,JOURNAL OF HUMAN EVOLUTION,3.992,1.447
14,Genome Biology and Evolution,3.940,1.592
15,HEREDITY,3.872,1.426
16,EVOLUTION,3.818,1.674
17,Biology Letters,3.345,1.308
18,EvoDevo,3.313,1.327
19,JOURNAL OF ZOOLOGICAL SYSTEMATICS AND EVOLUTIONARY RESEARCH,3.286,0.707
20,ZOOLOGICA SCRIPTA,3.057,1.007
21,BMC EVOLUTIONARY BIOLOGY,3.027,1.283
22,AMERICAN JOURNAL OF PHYSICAL ANTHROPOLOGY,2.901,0.824
23,TAXON,2.680,0.893
24,JOURNAL OF HEREDITY,2.574,0.858
25,JOURNAL OF EVOLUTIONARY BIOLOGY,2.538,1.115
26,BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,2.532,0.756
27,JOURNAL OF EXPERIMENTAL ZOOLOGY PART B-MOLECULAR AND DEVELOPMENTAL EVOLUTION,2.432,0.769
28,PALEOBIOLOGY,2.400,1.169
29,ORGANISMS DIVERSITY & EVOLUTION,2.369,1.099
30,Ecology and Evolution,2.340,0.928
31,JOURNAL OF SYSTEMATIC PALAEONTOLOGY,2.326,0.842
32,Evolutionary Biology,2.250,0.854
33,EVOLUTIONARY ECOLOGY,2.133,0.832
34,DEVELOPMENT GENES AND EVOLUTION,2.125,0.771
35,EVOLUTION & DEVELOPMENT,2.000,0.820
36,JOURNAL OF MOLECULAR EVOLUTION,1.957,0.651
37,Evolutionary Bioinformatics,1.877,0.611
38,INVERTEBRATE SYSTEMATICS,1.651,0.653
39,AUSTRALIAN SYSTEMATIC BOTANY,1.614,0.420
40,SYSTEMATIC BOTANY,1.515,0.434
41,PLANT SYSTEMATICS AND EVOLUTION,1.452,0.396
42,THEORETICAL POPULATION BIOLOGY,1.259,0.689
43,Israel Journal of Ecology & Evolution,0.976,0.227
44,BIOCHEMICAL SYSTEMATICS AND ECOLOGY,0.847,0.252
45,INSECT SYSTEMATICS & EVOLUTION,0.763,0.458
46,ANTHROPOLOGICAL SCIENCE,0.618,0.337
47,EVOLUTIONARY ECOLOGY RESEARCH,0.612,0.410
48,JOURNAL OF EVOLUTIONARY BIOCHEMISTRY AND PHYSIOLOGY,0.455,0.062
49,Nature Ecology & Evolution,Not Available,Not Available
Copyright © 2019 Clarivate Analytics,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,
