"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Categories: 'FAMILY STUDIES' Selected Category Scheme: WoS",,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
1,Trauma Violence & Abuse,4.329,1.827
2,FAMILY PROCESS,3.116,0.763
3,CHILD MALTREATMENT,2.984,1.255
4,CHILD ABUSE & NEGLECT,2.899,1.016
5,JOURNAL OF MARRIAGE AND FAMILY,2.802,1.343
6,Psychology of Violence,2.500,1.024
7,PERSPECTIVES ON SEXUAL AND REPRODUCTIVE HEALTH,2.450,1.749
8,JOURNAL OF INTERPERSONAL VIOLENCE,2.443,0.795
9,Child Abuse Review,2.353,0.558
10,JOURNAL OF FAMILY PSYCHOLOGY,2.231,0.936
11,JOURNAL OF RESEARCH ON ADOLESCENCE,2.087,1.097
12,JOURNAL OF FAMILY PLANNING AND REPRODUCTIVE HEALTH CARE,2.027,0.631
13,Journal of Family Nursing,1.955,0.446
14,Parenting-Science and Practice,1.943,0.905
15,JOURNAL OF MARITAL AND FAMILY THERAPY,1.929,0.527
16,Child & Family Social Work,1.907,0.525
17,Journal of Family Theory & Review,1.837,Not Available
18,JOURNAL OF SEX & MARITAL THERAPY,1.832,0.730
19,JOURNAL OF EARLY ADOLESCENCE,1.828,0.681
20,CULTURE HEALTH & SEXUALITY,1.742,0.631
21,FAMILY RELATIONS,1.727,0.713
22,JOURNAL OF SOCIAL AND PERSONAL RELATIONSHIPS,1.697,0.710
23,FUTURE OF CHILDREN,1.588,1.540
23,Journal of Child and Family Studies,1.588,0.558
25,JOURNAL OF FAMILY ISSUES,1.489,0.711
26,Journal of Family Studies,1.444,0.499
27,CHILDREN AND YOUTH SERVICES REVIEW,1.383,0.465
28,FAMILY & COMMUNITY HEALTH,1.365,0.402
29,Journal of Child Sexual Abuse,1.133,0.341
30,Families Systems & Health,1.077,0.517
31,JOURNAL OF FAMILY THERAPY,1.066,0.324
32,JOURNAL OF FAMILY VIOLENCE,1.025,0.452
33,Journal of Family and Economic Issues,0.924,Not Available
34,Families Relationships and Societies,0.754,0.290
35,CHILD WELFARE,0.711,Not Available
36,Journal of Aggression Maltreatment & Trauma,0.698,Not Available
37,Australian and New Zealand Journal of Family Therapy,0.575,0.157
38,AMERICAN JOURNAL OF FAMILY THERAPY,0.571,0.239
39,Families In Society-The Journal of Contemporary Social Services,0.537,0.156
40,CHILD & FAMILY BEHAVIOR THERAPY,0.531,0.211
41,History of the Family,0.456,0.208
42,FAMILY LAW QUARTERLY,0.439,0.125
43,International Journal of Law Policy and the Family,0.429,0.166
44,JOURNAL OF COMPARATIVE FAMILY STUDIES,0.340,0.298
45,JOURNAL OF FAMILY HISTORY,0.333,0.219
46,ZEITSCHRIFT FUR FAMILIENFORSCHUNG,0.189,0.067
Copyright © 2019 Clarivate Analytics,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,
