"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Categories: 'FISHERIES' Selected Category Scheme: WoS",,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
1,Reviews in Aquaculture,7.139,1.551
2,FISH AND FISHERIES,6.990,2.577
3,Reviews in Fisheries Science & Aquaculture,4.750,0.947
4,REVIEWS IN FISH BIOLOGY AND FISHERIES,3.299,1.153
5,FISH & SHELLFISH IMMUNOLOGY,3.185,0.497
6,DEVELOPMENTAL AND COMPARATIVE IMMUNOLOGY,2.913,0.645
7,ICES JOURNAL OF MARINE SCIENCE,2.906,0.871
8,FISHERIES,2.734,0.745
9,AQUACULTURE,2.710,0.601
10,CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES,2.631,0.869
11,Aquaculture Environment Interactions,2.105,0.571
12,AQUACULTURE NUTRITION,2.078,0.488
13,JOURNAL OF FISH DISEASES,2.004,0.418
14,FISHERIES RESEARCH,1.874,0.569
15,Marine Resource Economics,1.851,0.440
16,ECOLOGY OF FRESHWATER FISH,1.832,0.567
17,FISHERIES OCEANOGRAPHY,1.794,0.624
18,FISH PHYSIOLOGY AND BIOCHEMISTRY,1.735,0.477
19,JOURNAL OF FISH BIOLOGY,1.702,0.529
20,MARINE AND FRESHWATER RESEARCH,1.674,0.546
21,FISHERIES MANAGEMENT AND ECOLOGY,1.624,0.596
22,Marine and Coastal Fisheries,1.580,0.516
23,DISEASES OF AQUATIC ORGANISMS,1.543,0.477
24,Knowledge and Management of Aquatic Ecosystems,1.525,0.436
25,NORTH AMERICAN JOURNAL OF FISHERIES MANAGEMENT,1.519,0.408
26,AQUACULTURAL ENGINEERING,1.490,0.367
27,AQUACULTURE RESEARCH,1.475,0.352
28,TRANSACTIONS OF THE AMERICAN FISHERIES SOCIETY,1.406,0.475
29,JOURNAL OF THE WORLD AQUACULTURE SOCIETY,1.338,0.271
30,AQUACULTURE INTERNATIONAL,1.283,0.344
31,CALIFORNIA COOPERATIVE OCEANIC FISHERIES INVESTIGATIONS REPORTS,1.231,0.305
32,FISHERY BULLETIN,1.216,0.473
33,JOURNAL OF AQUATIC ANIMAL HEALTH,1.017,0.258
34,NEW ZEALAND JOURNAL OF MARINE AND FRESHWATER RESEARCH,0.972,0.312
35,JOURNAL OF SHELLFISH RESEARCH,0.951,0.276
36,CCAMLR SCIENCE,0.833,0.466
37,FISHERIES SCIENCE,0.794,0.220
38,JOURNAL OF APPLIED ICHTHYOLOGY,0.774,0.232
39,NORTH AMERICAN JOURNAL OF AQUACULTURE,0.737,0.194
40,ACTA ICHTHYOLOGICA ET PISCATORIA,0.708,0.193
41,FISH PATHOLOGY,0.644,0.197
42,AQUATIC LIVING RESOURCES,0.525,0.340
43,Latin American Journal of Aquatic Research,0.482,0.194
43,Turkish Journal of Fisheries and Aquatic Sciences,0.482,0.173
45,BULLETIN OF THE EUROPEAN ASSOCIATION OF FISH PATHOLOGISTS,0.448,0.112
46,IRANIAN JOURNAL OF FISHERIES SCIENCES,0.446,0.107
47,ISRAELI JOURNAL OF AQUACULTURE-BAMIDGEH,0.439,0.078
48,BOLETIM DO INSTITUTO DE PESCA,0.348,0.099
49,INDIAN JOURNAL OF FISHERIES,0.275,0.082
50,CALIFORNIA FISH AND GAME,0.175,0.095
51,NIPPON SUISAN GAKKAISHI,0.128,0.037
Copyright © 2019 Clarivate Analytics,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,
