"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Categories: 'FOOD SCIENCE & TECHNOLOGY' Selected Category Scheme: WoS",,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
1,Annual Review of Food Science and Technology,9.523,2.404
2,COMPREHENSIVE REVIEWS IN FOOD SCIENCE AND FOOD SAFETY,7.028,2.048
3,TRENDS IN FOOD SCIENCE & TECHNOLOGY,6.609,1.645
4,CRITICAL REVIEWS IN FOOD SCIENCE AND NUTRITION,6.202,1.478
5,MOLECULAR NUTRITION & FOOD RESEARCH,5.151,1.141
6,FOOD HYDROCOLLOIDS,5.089,0.981
7,FOOD CHEMISTRY,4.946,0.899
8,Food Engineering Reviews,4.833,0.981
9,FOOD MICROBIOLOGY,4.090,0.966
10,FOOD AND CHEMICAL TOXICOLOGY,3.977,0.722
11,Current Opinion in Food Science,3.734,0.764
12,FOOD CONTROL,3.667,0.745
13,FOOD QUALITY AND PREFERENCE,3.652,0.813
14,FOOD RESEARCH INTERNATIONAL,3.520,0.882
15,Global Food Security-Agriculture Policy Economics and Environment,3.491,1.514
16,Journal of Functional Foods,3.470,0.707
17,INTERNATIONAL JOURNAL OF FOOD MICROBIOLOGY,3.451,0.877
18,JOURNAL OF AGRICULTURAL AND FOOD CHEMISTRY,3.412,0.783
19,Food Packaging and Shelf Life,3.347,Not Available
20,Food & Function,3.289,0.735
21,Toxins,3.273,0.788
22,CHEMICAL SENSES,3.235,0.985
23,JOURNAL OF FOOD ENGINEERING,3.197,0.750
24,LWT-FOOD SCIENCE AND TECHNOLOGY,3.129,0.681
25,Innovative Food Science & Emerging Technologies,3.116,0.762
26,POSTHARVEST BIOLOGY AND TECHNOLOGY,3.112,0.664
27,FOOD POLICY,3.111,1.070
28,FOOD REVIEWS INTERNATIONAL,3.100,0.825
29,Food and Energy Security,3.032,0.674
30,Food and Bioprocess Technology,2.998,0.687
31,Food Security,2.970,0.787
32,JOURNAL OF FOOD COMPOSITION AND ANALYSIS,2.956,0.682
33,JOURNAL OF FOOD AND DRUG ANALYSIS,2.852,0.447
34,MEAT SCIENCE,2.821,0.697
35,JOURNAL OF DAIRY SCIENCE,2.749,0.562
36,FOOD AND BIOPRODUCTS PROCESSING,2.744,0.664
37,FOOD AND AGRICULTURAL IMMUNOLOGY,2.568,0.192
38,Foodborne Pathogens and Disease,2.476,0.673
39,PLANT FOODS FOR HUMAN NUTRITION,2.465,0.521
40,Food Additives & Contaminants Part B-Surveillance,2.407,0.336
41,INTERNATIONAL JOURNAL OF FOOD SCIENCE AND TECHNOLOGY,2.383,0.394
42,JOURNAL OF THE SCIENCE OF FOOD AND AGRICULTURE,2.379,0.542
43,Food Bioscience,2.371,Not Available
44,INTERNATIONAL JOURNAL OF FOOD SCIENCES AND NUTRITION,2.317,0.464
45,JOURNAL OF CEREAL SCIENCE,2.302,0.604
46,Food Analytical Methods,2.245,0.404
47,INTERNATIONAL DAIRY JOURNAL,2.201,0.546
48,EUROPEAN JOURNAL OF LIPID SCIENCE AND TECHNOLOGY,2.200,0.492
49,STARCH-STARKE,2.173,0.384
50,Food Additives and Contaminants Part A-Chemistry Analysis Control Exposure & Risk Assessment,2.129,0.465
51,Food & Nutrition Research,2.086,0.669
52,Analytical Methods,2.073,0.382
53,Food Biophysics,2.051,0.442
54,JOURNAL OF FOOD SCIENCE,2.018,0.499
55,JOURNAL OF BIOSCIENCE AND BIOENGINEERING,2.015,0.476
56,Dairy Science & Technology,1.982,0.471
57,JOURNAL OF FOOD PROCESS ENGINEERING,1.955,0.281
58,JOURNAL OF MEDICINAL FOOD,1.954,0.423
59,FLAVOUR AND FRAGRANCE JOURNAL,1.950,0.423
60,BIOTECHNOLOGY PROGRESS,1.947,0.449
61,EUROPEAN FOOD RESEARCH AND TECHNOLOGY,1.919,0.427
62,AUSTRALIAN JOURNAL OF GRAPE AND WINE RESEARCH,1.913,0.515
63,FOOD AND NUTRITION BULLETIN,1.881,0.672
64,INTERNATIONAL JOURNAL OF FOOD PROPERTIES,1.845,0.228
65,PACKAGING TECHNOLOGY AND SCIENCE,1.808,0.309
66,JOURNAL OF FOOD SCIENCE AND TECHNOLOGY-MYSORE,1.797,0.362
67,AMERICAN JOURNAL OF ENOLOGY AND VITICULTURE,1.765,0.405
68,JOURNAL OF SENSORY STUDIES,1.753,0.428
69,World Mycotoxin Journal,1.727,0.360
70,POLISH JOURNAL OF FOOD AND NUTRITION SCIENCES,1.697,0.347
71,Chemosensory Perception,1.641,0.525
72,JOURNAL OF THE AMERICAN OIL CHEMISTS SOCIETY,1.601,0.379
73,JOURNAL OF TEXTURE STUDIES,1.591,0.338
74,CEREAL FOODS WORLD,1.558,0.164
75,JOURNAL OF FOOD BIOCHEMISTRY,1.552,0.242
76,Food Science & Nutrition,1.521,Not Available
77,JOURNAL OF FOOD PROCESSING AND PRESERVATION,1.510,0.261
77,JOURNAL OF FOOD PROTECTION,1.510,0.458
79,CyTA-Journal of Food,1.371,0.243
80,Applied Biological Chemistry,1.362,0.210
81,British Food Journal,1.289,0.275
