"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Categories: 'FORESTRY' Selected Category Scheme: WoS",,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
1,AGRICULTURAL AND FOREST METEOROLOGY,4.039,1.412
2,Current Forestry Reports,3.548,1.039
3,TREE PHYSIOLOGY,3.389,1.044
4,FOREST ECOLOGY AND MANAGEMENT,3.169,0.868
5,URBAN FORESTRY & URBAN GREENING,2.782,0.647
6,JOURNAL OF FORESTRY,2.675,0.694
7,NEW FORESTS,2.664,0.541
8,JOURNAL OF VEGETATION SCIENCE,2.658,1.098
9,FORESTRY,2.638,0.777
10,FOREST POLICY AND ECONOMICS,2.496,0.572
11,INTERNATIONAL JOURNAL OF WILDLAND FIRE,2.445,0.715
12,Forest Ecosystems,2.426,Not Available
13,EUROPEAN JOURNAL OF FOREST RESEARCH,2.409,0.667
14,ANNALS OF FOREST SCIENCE,2.357,0.645
15,APPLIED VEGETATION SCIENCE,2.331,0.656
16,HOLZFORSCHUNG,2.079,0.265
17,DENDROCHRONOLOGIA,2.055,0.620
18,Forests,1.956,0.561
19,IAWA JOURNAL,1.903,0.391
20,CANADIAN JOURNAL OF FOREST RESEARCH,1.887,0.574
21,Tree Genetics & Genomes,1.829,0.537
22,TREES-STRUCTURE AND FUNCTION,1.782,0.505
23,PLANT ECOLOGY,1.759,0.587
24,Fire Ecology,1.756,0.515
25,FOREST PATHOLOGY,1.741,0.390
26,Croatian Journal of Forest Engineering,1.714,0.329
27,WOOD SCIENCE AND TECHNOLOGY,1.706,0.449
28,SILVA FENNICA,1.683,0.478
29,SCANDINAVIAN JOURNAL OF FOREST RESEARCH,1.600,0.437
30,INTERNATIONAL FORESTRY REVIEW,1.495,0.389
31,JOURNAL OF WOOD SCIENCE,1.413,0.276
32,Journal of Forest Economics,1.408,0.461
33,European Journal of Wood and Wood Products,1.401,0.328
34,FOREST SCIENCE,1.364,0.493
35,NEW ZEALAND JOURNAL OF FORESTRY SCIENCE,1.333,0.306
36,Annals of Forest Research,1.320,0.283
37,iForest-Biogeosciences and Forestry,1.246,0.355
38,AGROFORESTRY SYSTEMS,1.201,0.388
39,Tree-Ring Research,1.136,0.656
40,AUSTRALIAN FORESTRY,1.115,0.223
41,Small-Scale Forestry,1.044,0.263
42,NATURAL AREAS JOURNAL,0.980,0.243
43,Southern Forests,0.972,0.182
44,Forest Systems,0.960,0.306
45,Journal of Forest Research,0.908,0.202
46,WOOD AND FIBER SCIENCE,0.786,0.216
47,Dendrobiology,0.761,0.218
48,JOURNAL OF FORESTRY RESEARCH,0.748,Not Available
49,Journal of Sustainable Forestry,0.747,Not Available
50,JOURNAL OF TROPICAL FOREST SCIENCE,0.655,0.156
51,Sylwan,0.623,0.066
52,Austrian Journal of Forest Science,0.552,0.084
53,BALTIC FORESTRY,0.548,0.180
54,Cerne,0.500,0.157
54,Scientia Forestalis,0.500,0.131
56,Madera y Bosques,0.493,0.115
57,FOREST PRODUCTS JOURNAL,0.488,0.199
58,FORESTRY CHRONICLE,0.448,0.192
59,Revista Chapingo Serie Ciencias Forestales y del Ambiente,0.438,0.115
60,CIENCIA FLORESTAL,0.436,0.140
61,BOSQUE,0.409,0.183
62,REVISTA ARVORE,0.392,0.123
63,Sumarski List,0.352,0.073
64,ALLGEMEINE FORST UND JAGDZEITUNG,0.342,0.125
65,SILVAE GENETICA,0.277,0.106
66,BOIS ET FORETS DES TROPIQUES,0.245,0.065
Copyright © 2019 Clarivate Analytics,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,
