"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Categories: 'GASTROENTEROLOGY & HEPATOLOGY' Selected Category Scheme: WoS",,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
1,GASTROENTEROLOGY,20.773,7.269
2,Nature Reviews Gastroenterology & Hepatology,17.324,6.111
3,GUT,17.016,5.597
4,JOURNAL OF HEPATOLOGY,15.040,4.138
5,HEPATOLOGY,14.079,4.025
6,AMERICAN JOURNAL OF GASTROENTEROLOGY,10.231,4.215
7,Clinical Gastroenterology and Hepatology,7.683,2.820
8,ALIMENTARY PHARMACOLOGY & THERAPEUTICS,7.357,2.281
9,GASTROINTESTINAL ENDOSCOPY,7.204,1.796
10,Journal of Crohns & Colitis,6.637,2.355
11,ENDOSCOPY,6.629,1.813
12,JOURNAL OF GASTROENTEROLOGY,5.561,1.258
13,Gastric Cancer,5.045,1.017
14,Clinics in Liver Disease,4.771,1.362
15,Clinical and Translational Gastroenterology,4.621,1.551
16,LIVER INTERNATIONAL,4.500,1.352
17,INFLAMMATORY BOWEL DISEASES,4.347,1.634
18,JOURNAL OF VIRAL HEPATITIS,4.237,1.112
19,Therapeutic Advances in Gastroenterology,4.168,1.317
20,SEMINARS IN LIVER DISEASE,4.167,1.710
21,HELICOBACTER,4.123,0.899
22,Hepatology International,4.117,0.954
23,NEUROGASTROENTEROLOGY AND MOTILITY,3.842,1.124
24,LIVER TRANSPLANTATION,3.756,1.292
25,Best Practice & Research Clinical Gastroenterology,3.632,1.012
26,DISEASES OF THE COLON & RECTUM,3.616,1.177
27,JOURNAL OF GASTROENTEROLOGY AND HEPATOLOGY,3.483,0.990
28,United European Gastroenterology Journal,3.477,1.139
29,Hepatobiliary Surgery and Nutrition,3.451,Not Available
30,Journal of Neurogastroenterology and Motility,3.438,0.729
31,HEPATOLOGY RESEARCH,3.418,0.600
32,CURRENT OPINION IN GASTROENTEROLOGY,3.414,0.979
33,Digestive Endoscopy,3.375,0.738
34,Endoscopic Ultrasound,3.323,0.662
35,WORLD JOURNAL OF GASTROENTEROLOGY,3.300,0.818
36,AMERICAN JOURNAL OF PHYSIOLOGY-GASTROINTESTINAL AND LIVER PHYSIOLOGY,3.293,1.193
37,DIGESTIVE AND LIVER DISEASE,3.287,0.993
38,GASTROENTEROLOGY CLINICS OF NORTH AMERICA,3.265,0.942
39,World Journal of Gastrointestinal Oncology,3.140,0.709
40,HPB,3.131,0.972
41,JOURNAL OF CLINICAL GASTROENTEROLOGY,2.968,0.973
42,Expert Review of Gastroenterology & Hepatology,2.963,0.719
43,PANCREAS,2.958,0.919
44,Journal of Hepato-Biliary-Pancreatic Sciences,2.877,0.991
45,Gut and Liver,2.849,0.661
46,DIGESTIVE DISEASES AND SCIENCES,2.819,0.830
47,JOURNAL OF GASTROINTESTINAL SURGERY,2.813,0.964
48,Gut Pathogens,2.809,0.687
49,Colorectal Disease,2.778,0.793
50,PANCREATOLOGY,2.763,0.953
51,JOURNAL OF PEDIATRIC GASTROENTEROLOGY AND NUTRITION,2.752,0.934
52,BMC GASTROENTEROLOGY,2.731,0.856
53,DISEASES OF THE ESOPHAGUS,2.702,0.607
54,Gastroenterology Report,2.688,Not Available
55,SCANDINAVIAN JOURNAL OF GASTROENTEROLOGY,2.629,0.806
56,Clinics and Research in Hepatology and Gastroenterology,2.623,0.609
57,INTERNATIONAL JOURNAL OF COLORECTAL DISEASE,2.533,0.732
58,ABDOMINAL IMAGING,2.443,0.598
59,Techniques in Coloproctology,2.378,0.543
60,DIGESTION,2.037,0.603
61,DIGESTIVE SURGERY,2.031,0.613
62,EUROPEAN JOURNAL OF GASTROENTEROLOGY & HEPATOLOGY,2.014,0.642
63,Journal of Gastrointestinal and Liver Diseases,1.964,0.551
64,Gastroenterology Research and Practice,1.859,0.509
65,Hepatitis Monthly,1.810,0.411
66,REVISTA ESPANOLA DE ENFERMEDADES DIGESTIVAS,1.632,0.335
67,Journal of Digestive Diseases,1.623,0.495
68,Canadian Journal of Gastroenterology and Hepatology,1.622,0.739
69,ZEITSCHRIFT FUR GASTROENTEROLOGIE,1.612,0.279
70,Annals of Hepatology,1.576,0.497
71,Saudi Journal of Gastroenterology,1.520,0.379
72,Hepatobiliary & Pancreatic Diseases International,1.500,0.434
73,Journal of Gastric Cancer,1.400,Not Available
74,Clinics in Colon and Rectal Surgery,1.316,Not Available
75,Gastroenterologia y Hepatologia,1.078,0.180
76,Esophagus,0.991,0.157
77,Turkish Journal of Gastroenterology,0.869,0.190
78,Arab Journal of Gastroenterology,0.843,Not Available
79,ACTA GASTRO-ENTEROLOGICA BELGICA,0.630,0.205
80,Gastroenterology Nursing,0.577,0.200
Copyright © 2019 Clarivate Analytics,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,
