"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Categories: 'GENETICS & HEREDITY' Selected Category Scheme: WoS",,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
1,NATURE REVIEWS GENETICS,41.465,22.960
2,NATURE GENETICS,27.125,16.653
3,TRENDS IN ECOLOGY & EVOLUTION,15.938,7.678
4,GENOME BIOLOGY,13.214,8.899
5,TRENDS IN GENETICS,10.556,4.971
6,MOLECULAR BIOLOGY AND EVOLUTION,10.217,5.511
7,GENOME RESEARCH,10.101,8.082
8,GENETICS IN MEDICINE,9.937,3.301
9,Annual Review of Genetics,9.589,7.047
10,GENES & DEVELOPMENT,9.462,6.040
11,Genome Medicine,8.898,3.534
12,AMERICAN JOURNAL OF HUMAN GENETICS,8.855,5.240
13,Annual Review of Genomics and Human Genetics,8.676,5.048
14,MOLECULAR THERAPY,7.008,2.165
15,ONCOGENE,6.854,1.996
16,GENOMICS PROTEOMICS & BIOINFORMATICS,6.615,Not Available
17,Mobile DNA,5.891,1.877
18,Molecular Autism,5.872,2.004
19,JOURNAL OF MEDICAL GENETICS,5.751,2.545
20,Circulation-Cardiovascular Genetics,5.664,2.123
21,Forensic Science International-Genetics,5.637,0.821
22,PLoS Genetics,5.540,3.329
23,DNA RESEARCH,5.415,1.715
24,HUMAN MUTATION,5.359,2.312
25,Epigenetics & Chromatin,5.351,2.611
26,MUTATION RESEARCH-REVIEWS IN MUTATION RESEARCH,5.205,1.549
27,CURRENT OPINION IN GENETICS & DEVELOPMENT,4.995,2.888
28,Epigenomics,4.979,1.349
29,JOURNAL OF MOLECULAR MEDICINE-JMM,4.938,1.434
30,Epigenetics,4.918,1.566
31,HUMAN MOLECULAR GENETICS,4.902,2.291
32,Advances in Genetics,4.689,1.713
33,DNA REPAIR,4.461,1.719
34,MOLECULAR PHYLOGENETICS AND EVOLUTION,4.412,1.384
35,HUMAN GENE THERAPY,4.241,1.193
36,Frontiers in Genetics,4.151,Not Available
37,JOURNAL OF INHERITED METABOLIC DISEASE,4.092,1.359
38,GENETICS,4.075,2.521
39,Journal of Genetics and Genomics,4.066,1.084
40,CANCER GENE THERAPY,4.044,0.657
41,CHROMOSOMA,4.021,1.822
42,Genome Biology and Evolution,3.940,1.592
43,HUMAN GENETICS,3.930,1.849
43,THEORETICAL AND APPLIED GENETICS,3.930,1.070
45,FUNCTIONAL & INTEGRATIVE GENOMICS,3.889,0.732
46,HEREDITY,3.872,1.426
47,AMERICAN JOURNAL OF MEDICAL GENETICS PART C-SEMINARS IN MEDICAL GENETICS,3.822,1.760
48,EVOLUTION,3.818,1.674
49,PHARMACOGENOMICS JOURNAL,3.812,0.967
50,Briefings in Functional Genomics,3.783,1.299
51,MOLECULAR GENETICS AND METABOLISM,3.774,1.029
52,GENETICS SELECTION EVOLUTION,3.743,1.024
53,BMC GENOMICS,3.730,1.347
54,EUROPEAN JOURNAL OF HUMAN GENETICS,3.636,1.469
55,Orphanet Journal of Rare Diseases,3.607,1.404
56,CURRENT GENETICS,3.574,0.935
57,Biology of Sex Differences,3.543,1.490
58,CLINICAL GENETICS,3.512,1.332
59,Human Genomics,3.500,1.128
60,FUNGAL GENETICS AND BIOLOGY,3.476,0.879
61,npj Genomic Medicine,3.467,1.630
62,GENES CHROMOSOMES & CANCER,3.362,1.065
63,BMC Medical Genomics,3.317,1.119
64,ENVIRONMENTAL AND MOLECULAR MUTAGENESIS,3.254,0.845
65,MITOCHONDRION,3.226,1.095
66,Genes and Nutrition,3.211,0.732
67,GENE THERAPY,3.203,0.917
68,Genes,3.191,1.079
69,NEUROGENETICS,3.090,1.191
70,BMC EVOLUTIONARY BIOLOGY,3.027,1.283
71,AMERICAN JOURNAL OF MEDICAL GENETICS PART B-NEUROPSYCHIATRIC GENETICS,3.016,0.991
72,DISEASE MARKERS,2.949,0.651
73,JOURNAL OF HUMAN GENETICS,2.942,0.900
74,Plant Genome,2.923,1.089
75,Comparative Biochemistry and Physiology D-Genomics & Proteomics,2.913,0.625
76,GENOMICS,2.910,1.226
77,CHROMOSOME RESEARCH,2.909,0.929
78,MUTAGENESIS,2.840,0.602
79,JOURNAL OF ASSISTED REPRODUCTION AND GENETICS,2.788,0.736
80,PHYSIOLOGICAL GENOMICS,2.782,0.872
81,PRENATAL DIAGNOSIS,2.779,0.822
82,G3-Genes Genomes Genetics,2.742,1.221
83,MOLECULAR GENETICS AND GENOMICS,2.734,0.737
84,Molecular Diagnosis & Therapy,2.716,0.623
85,Molecular Genetics & Genomic Medicine,2.695,Not Available
86,MAMMALIAN GENOME,2.687,1.118
87,GENESIS,2.667,1.042
88,DNA AND CELL BIOLOGY,2.634,0.457
89,JOURNAL OF HEREDITY,2.574,0.858
90,GENETIC EPIDEMIOLOGY,2.544,1.451
91,JOURNAL OF EVOLUTIONARY BIOLOGY,2.538,1.115
92,GENE,2.498,0.570
93,BMC GENETICS,2.469,0.835
94,Cancer Genomics & Proteomics,2.432,0.603
95,MUTATION RESEARCH-FUNDAMENTAL AND MOLECULAR MECHANISMS OF MUTAGENESIS,2.398,0.818
96,OMICS-A JOURNAL OF INTEGRATIVE BIOLOGY,2.370,0.766
97,Cancer Genetics,2.351,0.727
98,GENES AND IMMUNITY,2.339,0.912
99,Human Gene Therapy Methods,2.300,0.713
100,AMERICAN JOURNAL OF MEDICAL GENETICS PART A,2.264,0.753
101,Pharmacogenetics and Genomics,2.250,0.712
102,PLASMID,2.228,0.654
103,CURRENT GENOMICS,2.172,0.820
104,EVOLUTIONARY ECOLOGY,2.133,0.832
105,IMMUNOGENETICS,2.094,0.648
106,MOLECULAR BREEDING,2.077,0.615
107,GENES TO CELLS,2.048,0.948
108,BEHAVIOR GENETICS,2.036,1.188
109,Journal of Nutrigenetics and Nutrigenomics,2.027,0.474
110,CONSERVATION GENETICS,2.025,0.648
111,European Journal of Medical Genetics,2.004,0.676
112,EVOLUTION & DEVELOPMENT,2.000,0.820
113,MUTATION RESEARCH-GENETIC TOXICOLOGY AND ENVIRONMENTAL MUTAGENESIS,1.996,0.492
114,JOURNAL OF MOLECULAR EVOLUTION,1.957,0.651
115,CURRENT GENE THERAPY,1.943,0.647
115,Familial Cancer,1.943,0.678
117,Marine Genomics,1.937,0.551
118,BIOCHEMICAL GENETICS,1.927,0.279
119,BMC Medical Genetics,1.913,0.698
120,International Journal of Genomics,1.904,0.578
121,GENOME,1.892,0.506
122,Public Health Genomics,1.867,0.721
123,ANIMAL GENETICS,1.841,0.597
124,Tree Genetics & Genomes,1.829,0.537
125,JOURNAL OF APPLIED GENETICS,1.756,0.530
126,CRITICAL REVIEWS IN EUKARYOTIC GENE EXPRESSION,1.734,0.443
127,Biotechnology & Genetic Engineering Reviews,1.700,0.543
128,Journal of Genetic Counseling,1.698,0.561
129,Twin Research and Human Genetics,1.669,0.865
130,JOURNAL OF GENE MEDICINE,1.647,0.539
131,HEREDITAS,1.632,0.391
132,Standards in Genomic Sciences,1.600,0.490
133,CYTOGENETIC AND GENOME RESEARCH,1.587,0.473
134,PSYCHIATRIC GENETICS,1.586,0.635
135,OPHTHALMIC GENETICS,1.574,0.477
136,NEW GENETICS AND SOCIETY,1.571,0.491
137,VIRUS GENES,1.542,0.418
138,JOURNAL OF NEUROGENETICS,1.536,0.690
139,ANNALS OF HUMAN GENETICS,1.529,0.628
140,GENE EXPRESSION PATTERNS,1.515,0.474
141,GENETICS AND MOLECULAR BIOLOGY,1.493,0.449
142,Cellular Reprogramming,1.430,0.391
143,GENETICA,1.366,0.398
144,Comparative Cytogenetics,1.319,0.278
145,THEORETICAL POPULATION BIOLOGY,1.259,0.689
146,BIRTH DEFECTS RESEARCH PART B-DEVELOPMENTAL AND REPRODUCTIVE TOXICOLOGY,1.244,0.292
147,Genetic Testing and Molecular Biomarkers,1.181,0.286
148,Molecular Cytogenetics,1.167,0.488
149,Genetics Research,1.059,0.571
150,International Journal of Immunogenetics,1.000,0.226
151,Mitochondrial DNA,0.922,0.281
152,GENES & GENETIC SYSTEMS,0.913,0.395
153,Conservation Genetics Resources,0.742,0.369
154,Genes & Genomics,0.680,0.147
155,JOURNAL OF GENETICS,0.672,0.271
156,EVOLUTIONARY ECOLOGY RESEARCH,0.612,0.410
157,CARYOLOGIA,0.608,0.112
158,HUMAN BIOLOGY,0.600,0.594
159,Mitochondrial DNA Part A,0.575,0.134
160,HUMAN HEREDITY,0.542,0.539
161,RUSSIAN JOURNAL OF GENETICS,0.505,0.108
162,Mitochondrial DNA Part B-Resources,0.488,0.084
163,CYTOLOGIA,0.481,0.044
164,CLINICAL DYSMORPHOLOGY,0.427,0.133
165,Genetika-Belgrade,0.392,0.073
166,Balkan Journal of Medical Genetics,0.306,0.122
167,SILVAE GENETICA,0.277,0.106
168,Cytology and Genetics,0.239,0.067
169,Medizinische Genetik,0.213,0.062
170,INTERNATIONAL JOURNAL OF HUMAN GENETICS,0.146,0.053
171,GENETIC COUNSELING,0.140,0.106
Copyright © 2019 Clarivate Analytics,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,
