"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Categories: 'GEOCHEMISTRY & GEOPHYSICS' Selected Category Scheme: WoS",,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
1,REVIEWS OF GEOPHYSICS,13.529,8.266
2,Annual Review of Marine Science,12.867,6.441
3,Reviews in Mineralogy & Geochemistry,8.846,3.521
4,IEEE Geoscience and Remote Sensing Magazine,4.932,2.009
5,GEOCHIMICA ET COSMOCHIMICA ACTA,4.690,1.751
6,IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,4.662,1.230
7,JOURNAL OF GEODESY,4.633,1.287
8,EARTH AND PLANETARY SCIENCE LETTERS,4.581,2.368
9,Elements,4.329,2.097
10,Solid Earth,4.165,1.067
11,JOURNAL OF PETROLOGY,4.100,2.207
12,Geochemical Perspectives,4.000,4.477
13,GEOSTANDARDS AND GEOANALYTICAL RESEARCH,3.929,1.380
14,LITHOS,3.857,1.628
15,SURVEYS IN GEOPHYSICS,3.761,1.774
16,SEISMOLOGICAL RESEARCH LETTERS,3.734,1.672
17,CONTRIBUTIONS TO MINERALOGY AND PETROLOGY,3.626,1.837
18,TECTONICS,3.583,1.605
19,CHEMICAL GEOLOGY,3.570,1.560
20,JOURNAL OF GEOPHYSICAL RESEARCH-PLANETS,3.544,1.848
21,JOURNAL OF GEOPHYSICAL RESEARCH-SOLID EARTH,3.482,1.785
22,MINERALIUM DEPOSITA,3.370,1.165
23,ECONOMIC GEOLOGY,3.295,0.999
24,APPLIED GEOCHEMISTRY,3.088,0.773
25,GEOCHEMISTRY GEOPHYSICS GEOSYSTEMS,2.981,1.616
26,METEORITICS & PLANETARY SCIENCE,2.949,0.988
27,IEEE Geoscience and Remote Sensing Letters,2.893,0.786
28,SPACE WEATHER-THE INTERNATIONAL JOURNAL OF RESEARCH AND APPLICATIONS,2.887,0.862
29,JOURNAL OF GEOCHEMICAL EXPLORATION,2.858,0.684
30,ORGANIC GEOCHEMISTRY,2.810,0.954
31,Lithosphere,2.766,1.385
32,TECTONOPHYSICS,2.686,1.140
33,AMERICAN MINERALOGIST,2.645,0.944
34,GEOFLUIDS,2.540,0.945
35,GEOPHYSICAL JOURNAL INTERNATIONAL,2.528,1.175
36,GEOPHYSICS,2.368,0.909
37,BULLETIN OF THE SEISMOLOGICAL SOCIETY OF AMERICA,2.343,1.099
38,Journal of Space Weather and Space Climate,2.333,1.111
39,PHYSICS OF THE EARTH AND PLANETARY INTERIORS,2.156,1.144
40,JOURNAL OF GEODYNAMICS,2.142,0.939
41,JOURNAL OF SEISMIC EXPLORATION,1.828,0.518
42,RADIOCARBON,1.807,1.484
43,GEOPHYSICAL PROSPECTING,1.744,1.039
44,GEOCHEMICAL TRANSACTIONS,1.727,0.633
45,CHEMIE DER ERDE-GEOCHEMISTRY,1.723,0.743
46,MINERALOGY AND PETROLOGY,1.664,0.601
47,PURE AND APPLIED GEOPHYSICS,1.652,0.645
48,MARINE GEODESY,1.547,0.456
49,JOURNAL OF ATMOSPHERIC AND SOLAR-TERRESTRIAL PHYSICS,1.492,0.485
50,AQUATIC GEOCHEMISTRY,1.418,0.460
50,RADIO SCIENCE,1.418,0.550
52,GEOPHYSICAL AND ASTROPHYSICAL FLUID DYNAMICS,1.417,0.576
53,Journal of Geosciences,1.415,0.591
54,Journal of Geophysics and Engineering,1.411,0.486
55,Periodico di Mineralogia,1.351,0.272
56,JOURNAL OF ENVIRONMENTAL AND ENGINEERING GEOPHYSICS,1.341,0.340
57,DYNAMICS OF ATMOSPHERES AND OCEANS,1.219,0.573
58,ANNALS OF GEOPHYSICS,1.216,0.376
59,GEOCHEMISTRY-EXPLORATION ENVIRONMENT ANALYSIS,1.191,0.363
60,Near Surface Geophysics,1.186,0.549
61,GEOTECTONICS,1.134,0.407
62,NONLINEAR PROCESSES IN GEOPHYSICS,1.129,0.592
63,JOURNAL OF SEISMOLOGY,1.128,0.628
64,GEOCHEMICAL JOURNAL,1.057,0.469
65,Applied Geophysics,1.000,0.233
66,STUDIA GEOPHYSICA ET GEODAETICA,0.987,0.313
67,Petrophysics,0.985,0.345
68,Exploration Geophysics,0.950,0.457
69,Interpretation-A Journal of Subsurface Characterization,0.937,0.361
70,MARINE GEOPHYSICAL RESEARCH,0.913,0.391
71,Acta Geodynamica et Geomaterialia,0.886,0.172
72,CHINESE JOURNAL OF GEOPHYSICS-CHINESE EDITION,0.880,0.181
73,Acta Geodaetica et Geophysica,0.738,0.213
74,Acta Geophysica,0.709,0.295
75,Journal of Earthquake and Tsunami,0.702,0.206
76,GEOCHEMISTRY INTERNATIONAL,0.699,0.205
77,Geofizika,0.680,0.288
78,Bollettino di Geofisica Teorica ed Applicata,0.667,0.264
79,IZVESTIYA-PHYSICS OF THE SOLID EARTH,0.642,0.203
80,Geofisica Internacional,0.633,0.175
81,LITHOLOGY AND MINERAL RESOURCES,0.613,0.275
82,GEOMAGNETISM AND AERONOMY,0.555,0.124
83,Journal of Volcanology and Seismology,0.548,0.175
84,ASTRONOMY & GEOPHYSICS,0.291,0.083
85,ACS Earth and Space Chemistry,Not Available,Not Available
Copyright © 2019 Clarivate Analytics,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,
