"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Categories: 'GEOGRAPHY, PHYSICAL' Selected Category Scheme: WoS",,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
1,ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING,5.994,1.509
2,GLOBAL ECOLOGY AND BIOGEOGRAPHY,5.958,2.709
3,LANDSCAPE AND URBAN PLANNING,4.994,1.249
4,Cryosphere,4.524,2.211
5,QUATERNARY SCIENCE REVIEWS,4.334,1.726
6,PROGRESS IN PHYSICAL GEOGRAPHY,4.177,1.229
7,JOURNAL OF BIOGEOGRAPHY,4.154,1.700
8,GLOBAL AND PLANETARY CHANGE,3.982,1.464
9,LANDSCAPE ECOLOGY,3.833,1.244
10,EARTH SURFACE PROCESSES AND LANDFORMS,3.722,1.210
11,PERMAFROST AND PERIGLACIAL PROCESSES,3.529,0.952
12,Quaternary Geochronology,3.440,1.216
13,GEOMORPHOLOGY,3.308,1.015
14,JOURNAL OF GLACIOLOGY,3.200,1.392
15,Earth Surface Dynamics,3.176,1.192
16,PHOTOGRAMMETRIC ENGINEERING AND REMOTE SENSING,3.150,0.557
17,GIScience & Remote Sensing,2.852,0.491
18,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,2.777,0.838
19,ANNALS OF GLACIOLOGY,2.761,1.015
20,International Journal of Digital Earth,2.746,0.767
21,BOREAS,2.638,0.872
22,HOLOCENE,2.419,0.944
23,PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY,2.375,0.898
24,INTERNATIONAL JOURNAL OF GEOGRAPHICAL INFORMATION SCIENCE,2.370,0.613
25,Aeolian Research,2.346,0.822
26,QUATERNARY RESEARCH,2.329,0.967
27,JOURNAL OF QUATERNARY SCIENCE,2.324,0.972
28,ARCTIC ANTARCTIC AND ALPINE RESEARCH,2.231,0.722
29,QUATERNARY INTERNATIONAL,2.163,0.646
30,GEOINFORMATICA,2.091,0.395
31,DENDROCHRONOLOGIA,2.055,0.620
32,PHOTOGRAMMETRIC RECORD,1.917,0.417
33,ISPRS International Journal of Geo-Information,1.723,0.336
34,Journal of Geographical Sciences,1.623,0.479
35,GEOGRAFISKA ANNALER SERIES A-PHYSICAL GEOGRAPHY,1.616,0.528
36,Journal of Maps,1.600,0.343
37,ANTARCTIC SCIENCE,1.394,0.590
38,Acta Geographica Slovenica-Geografski Zbornik,1.333,0.124
39,MOUNTAIN RESEARCH AND DEVELOPMENT,1.216,0.399
40,ARCTIC,1.141,0.372
41,PHYSICAL GEOGRAPHY,1.086,0.340
42,Journal of Spatial Science,1.078,0.316
43,Erdkunde,1.024,0.362
44,Geografia Fisica e Dinamica Quaternaria,1.000,0.285
45,ZEITSCHRIFT FUR GEOMORPHOLOGIE,0.991,0.299
46,JOURNAL OF COASTAL RESEARCH,0.804,0.302
47,ERDE,0.738,0.293
48,Revista de Geografia Norte Grande,0.609,0.175
49,Geomorphologie-Relief Processus Environnement,0.596,0.201
Copyright © 2019 Clarivate Analytics,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,
