"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Categories: 'GEOGRAPHY' Selected Category Scheme: WoS",,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
1,Dialogues in Human Geography,10.214,Not Available
2,PROGRESS IN HUMAN GEOGRAPHY,6.885,2.935
3,ECONOMIC GEOGRAPHY,6.438,1.716
4,GLOBAL ENVIRONMENTAL CHANGE-HUMAN AND POLICY DIMENSIONS,6.371,2.784
5,LANDSCAPE AND URBAN PLANNING,4.994,1.249
6,Cambridge Journal of Regions Economy and Society,3.968,1.187
7,ANNALS OF THE ASSOCIATION OF AMERICAN GEOGRAPHERS,3.810,1.449
8,COMPUTERS ENVIRONMENT AND URBAN SYSTEMS,3.724,0.848
9,POLITICAL GEOGRAPHY,3.495,1.476
10,JOURNAL OF ECONOMIC GEOGRAPHY,3.453,1.684
11,CULTURAL GEOGRAPHIES,3.350,1.270
12,TRANSACTIONS OF THE INSTITUTE OF BRITISH GEOGRAPHERS,3.207,1.628
13,REGIONAL STUDIES,3.147,0.952
14,APPLIED GEOGRAPHY,3.117,0.898
15,ANTIPODE,3.108,1.308
16,Journal of Transport Geography,2.699,0.997
17,JOURNAL OF RURAL STUDIES,2.658,0.694
18,SOCIOLOGIA RURALIS,2.632,0.531
19,GEOFORUM,2.566,0.941
20,GEOGRAPHICAL JOURNAL,2.563,0.853
21,ENVIRONMENT AND PLANNING D-SOCIETY & SPACE,2.466,1.359
22,Population Space and Place,2.439,0.901
23,Mobilities,2.419,0.919
24,INTERNATIONAL JOURNAL OF GEOGRAPHICAL INFORMATION SCIENCE,2.370,0.613
25,URBAN GEOGRAPHY,2.307,0.849
26,INTERNATIONAL JOURNAL OF URBAN AND REGIONAL RESEARCH,2.239,1.017
27,AREA,2.195,0.725
28,Geography Compass,2.161,Not Available
29,Environment and Planning A-Economy and Space,2.152,0.986
30,Annals of the American Association of Geographers,2.097,0.674
31,Environment and Planning B-Urban Analytics and City Science,2.046,0.507
32,Territory Politics Governance,2.023,0.815
33,Emotion Space and Society,1.916,Not Available
34,Transactions in GIS,1.910,0.538
35,Childrens Geographies,1.867,0.621
36,Environment and Planning C-Politics and Space,1.864,0.709
37,EUROPEAN PLANNING STUDIES,1.863,0.450
38,GEOGRAPHICAL ANALYSIS,1.860,0.767
39,Geopolitics,1.852,0.760
40,Cartography and Geographic Information Science,1.785,0.653
41,PAPERS IN REGIONAL SCIENCE,1.657,0.645
42,Journal of Maps,1.600,0.343
43,Gender Place and Culture,1.594,0.442
44,GLOBAL NETWORKS-A JOURNAL OF TRANSNATIONAL AFFAIRS,1.587,0.707
45,SOCIAL & CULTURAL GEOGRAPHY,1.573,0.805
46,CANADIAN GEOGRAPHER-GEOGRAPHE CANADIEN,1.477,0.387
47,Moravian Geographical Reports,1.435,0.218
48,Asia Pacific Viewpoint,1.377,0.763
49,Applied Spatial Analysis and Policy,1.367,0.388
50,AUSTRALIAN GEOGRAPHER,1.350,0.419
51,PROFESSIONAL GEOGRAPHER,1.347,0.625
52,Geographical Research,1.343,0.483
53,ANNALS OF REGIONAL SCIENCE,1.336,0.345
54,Journal of Geographical Systems,1.324,0.770
55,Urban Policy and Research,1.286,0.378
56,JOURNAL OF GEOGRAPHY IN HIGHER EDUCATION,1.213,0.226
57,Landscape Research,1.198,0.266
58,South African Geographical Journal,1.180,0.163
59,EURASIAN GEOGRAPHY AND ECONOMICS,1.104,0.488
60,Geografisk Tidsskrift-Danish Journal of Geography,1.100,0.319
61,JOURNAL OF GEOGRAPHY,1.080,0.201
62,GEOGRAPHICAL REVIEW,1.061,0.250
63,SINGAPORE JOURNAL OF TROPICAL GEOGRAPHY,1.043,0.627
64,Erdkunde,1.024,0.362
65,Norsk Geografisk Tidsskrift-Norwegian Journal of Geography,0.979,0.229
66,GEOGRAPHY,0.854,0.290
67,Island Studies Journal,0.839,0.164
68,JOURNAL OF HISTORICAL GEOGRAPHY,0.833,0.294
69,CARTOGRAPHIC JOURNAL,0.814,0.220
70,SCOTTISH GEOGRAPHICAL JOURNAL,0.778,0.208
71,Geografie,0.745,0.102
72,ERDE,0.738,0.293
73,Space and Culture,0.730,0.309
74,Scripta Nova-Revista Electronica de Geografia y Ciencias Sociales,0.727,0.076
75,TIJDSCHRIFT VOOR ECONOMISCHE EN SOCIALE GEOGRAFIE,0.653,0.371
76,GEOGRAFISKA ANNALER SERIES B-HUMAN GEOGRAPHY,0.630,0.393
77,New Zealand Geographer,0.622,0.285
78,Revista de Geografia Norte Grande,0.609,0.175
79,Revue de Geographie Alpine-Journal of Alpine Research,0.433,0.079
80,Geodetski Vestnik,0.337,0.035
81,Boletin de la Asociacion de Geografos Espanoles,0.333,0.073
82,Zeitschrift fur Wirtschaftsgeographie,0.276,0.228
83,Imago Mundi-The International Journal for the History of Cartography,0.231,0.128
84,MITTEILUNGEN DER OSTERREICHISCHEN GEOGRAPHISCHEN GESELLSCHAFT,0.188,0.025
Copyright © 2019 Clarivate Analytics,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,
