"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Categories: 'GEOLOGY' Selected Category Scheme: WoS",,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
1,GEOLOGY,5.073,2.434
2,JOURNAL OF METAMORPHIC GEOLOGY,4.418,1.695
3,ORE GEOLOGY REVIEWS,3.993,0.885
4,NEWSLETTERS ON STRATIGRAPHY,3.633,1.224
5,PERMAFROST AND PERIGLACIAL PROCESSES,3.529,0.952
6,SEDIMENTOLOGY,3.069,1.293
7,INTERNATIONAL GEOLOGY REVIEW,2.875,0.803
8,Lithosphere,2.766,1.385
9,SEDIMENTARY GEOLOGY,2.575,0.963
10,GEOFLUIDS,2.540,0.945
11,JOURNAL OF SEDIMENTARY RESEARCH,2.358,0.957
12,JOURNAL OF GEOLOGY,2.015,1.064
13,CRETACEOUS RESEARCH,1.928,0.492
14,GFF,1.814,0.446
15,PALAIOS,1.702,0.582
16,NEW ZEALAND JOURNAL OF GEOLOGY AND GEOPHYSICS,1.667,0.900
17,GEOGRAFISKA ANNALER SERIES A-PHYSICAL GEOGRAPHY,1.616,0.528
18,BULLETIN OF THE GEOLOGICAL SOCIETY OF FINLAND,1.615,0.420
19,PROCEEDINGS OF THE GEOLOGISTS ASSOCIATION,1.521,0.374
20,FACIES,1.367,0.499
21,Andean Geology,1.306,0.612
22,JOURNAL OF IBERIAN GEOLOGY,1.302,0.522
23,RESOURCE GEOLOGY,1.259,0.404
24,ACTA PETROLOGICA SINICA,1.238,0.365
25,ANNALES SOCIETATIS GEOLOGORUM POLONIAE,1.234,0.271
26,GEOLOGICAL QUARTERLY,1.128,0.266
27,ACTA GEOLOGICA POLONICA,1.085,0.360
28,RIVISTA ITALIANA DI PALEONTOLOGIA E STRATIGRAFIA,0.978,0.290
29,CARBONATES AND EVAPORITES,0.947,0.225
30,GEOLOGICA BELGICA,0.914,0.263
31,SCOTTISH JOURNAL OF GEOLOGY,0.897,0.251
32,STRATIGRAPHY AND GEOLOGICAL CORRELATION,0.824,0.309
33,Stratigraphy,0.765,0.358
34,CARNETS DE GEOLOGIE,0.761,0.266
35,PROCEEDINGS OF THE YORKSHIRE GEOLOGICAL SOCIETY,0.714,0.099
36,GEOLOGICA ACTA,0.692,0.390
37,ESTUDIOS GEOLOGICOS-MADRID,0.658,0.182
38,GEOLOGY OF ORE DEPOSITS,0.629,0.237
39,ATLANTIC GEOLOGY,0.621,0.249
40,LITHOLOGY AND MINERAL RESOURCES,0.613,0.275
41,SOUTH AFRICAN JOURNAL OF GEOLOGY,0.552,0.351
42,Boletin de la Sociedad Geologica Mexicana,0.530,0.170
43,Baltica,0.500,0.117
44,GEOLOGICAL SURVEY OF DENMARK AND GREENLAND BULLETIN,0.479,0.205
45,GEOLOGIA CROATICA,0.449,0.188
46,HIMALAYAN GEOLOGY,0.410,0.092
47,OFIOLITI,0.385,0.240
Copyright © 2019 Clarivate Analytics,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,
