"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Categories: 'GEOSCIENCES, MULTIDISCIPLINARY' Selected Category Scheme: WoS",,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
1,Nature Geoscience,14.391,7.421
2,Annual Review of Earth and Planetary Sciences,11.391,5.486
3,Earth System Science Data,8.792,4.119
4,EARTH-SCIENCE REVIEWS,7.491,3.421
5,ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING,5.994,1.509
6,GONDWANA RESEARCH,5.657,2.085
7,Earths Future,4.594,2.882
8,Cryosphere,4.524,2.211
9,Advances in Geophysics,4.500,1.829
10,GLOBAL BIOGEOCHEMICAL CYCLES,4.457,2.220
11,GEOPHYSICAL RESEARCH LETTERS,4.339,2.107
12,QUATERNARY SCIENCE REVIEWS,4.334,1.726
13,HYDROLOGY AND EARTH SYSTEM SCIENCES,4.256,1.476
14,Geoscientific Model Development,4.252,1.916
15,PROGRESS IN PHYSICAL GEOGRAPHY,4.177,1.229
16,Geobiology,4.158,1.555
17,INTERNATIONAL JOURNAL OF COAL GEOLOGY,4.130,1.294
18,Geoscience Frontiers,4.051,1.443
19,GEOLOGICAL SOCIETY OF AMERICA BULLETIN,4.039,1.851
20,GLOBAL AND PLANETARY CHANGE,3.982,1.464
21,PRECAMBRIAN RESEARCH,3.907,1.259
22,AMERICAN JOURNAL OF SCIENCE,3.893,1.886
23,BASIN RESEARCH,3.886,1.455
24,LANDSCAPE ECOLOGY,3.833,1.244
25,Landslides,3.811,1.008
26,Earth System Dynamics,3.769,1.957
27,JOURNAL OF HYDROLOGY,3.727,1.097
28,EARTH SURFACE PROCESSES AND LANDFORMS,3.722,1.210
29,GEOTEXTILES AND GEOMEMBRANES,3.715,0.750
30,ASTROBIOLOGY,3.610,1.076
31,Journal of Geophysical Research-Biogeosciences,3.484,1.515
32,Biogeosciences,3.441,1.562
33,Quaternary Geochronology,3.440,1.216
34,JOURNAL OF GEOPHYSICAL RESEARCH-EARTH SURFACE,3.337,1.591
35,GEOMORPHOLOGY,3.308,1.015
36,JOURNAL OF GEOTECHNICAL AND GEOENVIRONMENTAL ENGINEERING,3.305,1.079
37,MARINE AND PETROLEUM GEOLOGY,3.281,1.067
38,BIOGEOCHEMISTRY,3.265,1.215
39,CATENA,3.256,0.825
40,Earth and Space Science,3.221,Not Available
41,AAPG BULLETIN,3.208,1.619
42,JOURNAL OF GLACIOLOGY,3.200,1.392
43,Earth Surface Dynamics,3.176,1.192
44,Climate of the Past,3.174,1.635
45,PHOTOGRAMMETRIC ENGINEERING AND REMOTE SENSING,3.150,0.557
46,COMPUTERS AND GEOTECHNICS,3.138,0.944
47,ENGINEERING GEOLOGY,3.100,0.954
48,Natural Resources Research,3.094,Not Available
49,JOURNAL OF ARCHAEOLOGICAL SCIENCE,3.061,0.846
50,JOURNAL OF ASIAN EARTH SCIENCES,2.866,0.990
51,ROCK MECHANICS AND ROCK ENGINEERING,2.819,1.035
52,Geosphere,2.811,1.176
53,EARTH PLANETS AND SPACE,2.773,0.902
54,ANNALS OF GLACIOLOGY,2.761,1.015
55,COMPUTATIONAL GEOSCIENCES,2.726,1.185
56,PALEOCEANOGRAPHY,2.718,1.527
57,GEOTHERMICS,2.693,0.774
58,JOURNAL OF THE GEOLOGICAL SOCIETY,2.683,1.169
59,BOREAS,2.638,0.872
60,Journal of Palaeogeography-English,2.632,Not Available
61,JOURNAL OF STRUCTURAL GEOLOGY,2.622,1.080
62,COMPUTERS & GEOSCIENCES,2.567,0.859
63,CANADIAN GEOTECHNICAL JOURNAL,2.565,0.935
64,ACTA GEOLOGICA SINICA-ENGLISH EDITION,2.506,0.463
64,JOURNAL OF MARINE SYSTEMS,2.506,0.818
66,Progress in Earth and Planetary Science,2.481,Not Available
67,BULLETIN OF VOLCANOLOGY,2.423,1.014
68,HOLOCENE,2.419,0.944
69,Archaeological and Anthropological Sciences,2.414,0.828
70,GEOSYNTHETICS INTERNATIONAL,2.406,0.719
71,PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY,2.375,0.898
72,JOURNAL OF VOLCANOLOGY AND GEOTHERMAL RESEARCH,2.368,0.938
73,MARINE GEOLOGY,2.364,1.054
74,GEOLOGICAL MAGAZINE,2.341,0.808
75,Geoheritage,2.333,0.272
76,QUATERNARY RESEARCH,2.329,0.967
77,JOURNAL OF QUATERNARY SCIENCE,2.324,0.972
78,Bulletin of Earthquake Engineering,2.303,0.860
79,JOURNAL OF CONTAMINANT HYDROLOGY,2.284,0.673
80,NATURAL HAZARDS AND EARTH SYSTEM SCIENCES,2.281,0.795
81,INTERNATIONAL JOURNAL OF EARTH SCIENCES,2.276,0.787
82,TERRA NOVA,2.229,1.010
83,International Journal of Disaster Risk Science,2.225,0.426
84,JOURNAL OF PALEOLIMNOLOGY,2.168,0.660
85,QUATERNARY INTERNATIONAL,2.163,0.646
86,JOURNAL OF THE AMERICAN WATER RESOURCES ASSOCIATION,2.160,0.629
87,SOIL DYNAMICS AND EARTHQUAKE ENGINEERING,2.077,0.645
88,HYDROGEOLOGY JOURNAL,2.071,0.680
89,Petroleum Exploration and Development,2.065,0.567
90,Science China-Earth Sciences,2.058,0.646
91,International Journal of Disaster Risk Reduction,1.968,0.517
92,COLD REGIONS SCIENCE AND TECHNOLOGY,1.925,0.497
93,PHYSICS AND CHEMISTRY OF THE EARTH,1.923,0.561
94,International Journal of Astrobiology,1.921,0.459
95,PHOTOGRAMMETRIC RECORD,1.917,0.417
96,NATURAL HAZARDS,1.901,0.551
97,Groundwater,1.900,0.659
98,Earth Interactions,1.884,0.785
99,JOURNAL OF PETROLEUM GEOLOGY,1.872,0.695
100,Geoscience Data Journal,1.867,1.084
101,Bulletin of Engineering Geology and the Environment,1.825,0.516
101,CLAYS AND CLAY MINERALS,1.825,0.478
103,JOURNAL OF EARTHQUAKE ENGINEERING,1.763,0.551
104,Geocarto International,1.759,0.343
105,GEO-MARINE LETTERS,1.733,0.531
106,Italian Journal of Geosciences,1.731,0.468
107,Geomatics Natural Hazards & Risk,1.713,0.349
108,JOURNAL OF CULTURAL HERITAGE,1.706,0.369
109,NEW ZEALAND JOURNAL OF GEOLOGY AND GEOPHYSICS,1.667,0.900
110,GEOLOGICAL JOURNAL,1.654,0.540
111,JOURNAL OF APPLIED GEOPHYSICS,1.646,0.659
112,JOURNAL OF SOUTH AMERICAN EARTH SCIENCES,1.639,0.546
113,Earth Science Informatics,1.628,0.359
114,ANNALES GEOPHYSICAE,1.621,0.611
114,COMPTES RENDUS GEOSCIENCE,1.621,0.642
116,SPE RESERVOIR EVALUATION & ENGINEERING,1.615,0.734
117,EPISODES,1.614,1.019
118,Swiss Journal of Geosciences,1.604,0.492
119,SOILS AND FOUNDATIONS,1.599,0.716
120,Mathematical Geosciences,1.573,0.715
121,ARCHAEOMETRY,1.545,0.497
122,JOURNAL OF AFRICAN EARTH SCIENCES,1.532,0.479
123,ADVANCES IN SPACE RESEARCH,1.529,0.439
124,Journal of Earth Science,1.500,0.340
124,POLAR RESEARCH,1.500,0.609
126,GEOARCHAEOLOGY-AN INTERNATIONAL JOURNAL,1.453,0.562
127,Environmental Earth Sciences,1.435,0.343
128,GEOMICROBIOLOGY JOURNAL,1.433,0.374
129,PETROLEUM GEOSCIENCE,1.415,0.639
130,BULLETIN OF GEOSCIENCES,1.395,0.510
131,ANTARCTIC SCIENCE,1.394,0.590
132,INTERNATIONAL JOURNAL OF SPELEOLOGY,1.392,0.566
133,ENVIRONMENTAL ARCHAEOLOGY,1.349,0.452
134,Russian Geology and Geophysics,1.323,0.426
135,Geoscientific Instrumentation Methods and Data Systems,1.319,0.525
136,CANADIAN JOURNAL OF EARTH SCIENCES,1.317,0.490
137,GEOTECHNICAL TESTING JOURNAL,1.279,0.492
138,Natural Hazards Review,1.278,0.595
139,BULLETIN DE LA SOCIETE GEOLOGIQUE DE FRANCE,1.262,0.409
140,Brazilian Journal of Geology,1.250,0.315
141,Archaeological Prospection,1.239,0.399
142,POLISH POLAR RESEARCH,1.231,0.413
143,AUSTRALIAN JOURNAL OF EARTH SCIENCES,1.220,0.531
144,CLAY MINERALS,1.219,0.397
145,Jokull,1.214,0.432
146,GEOSCIENCES JOURNAL,1.193,0.278
147,GEOLOGICA CARPATHICA,1.169,0.411
148,SURVEY REVIEW,1.163,0.217
149,PETROLOGY,1.136,0.525
150,TURKISH JOURNAL OF EARTH SCIENCES,1.133,0.472
151,Geochronometria,1.119,0.493
152,Frontiers of Earth Science,1.096,0.337
153,PHYSICAL GEOGRAPHY,1.086,0.340
154,GEODINAMICA ACTA,1.049,0.388
155,Polar Science,1.031,0.385
156,Spatial Statistics,1.026,0.927
157,ZEITSCHRIFT FUR GEOMORPHOLOGIE,0.991,0.299
158,Acta Montanistica Slovaca,0.973,0.062
159,ACTA CARSOLOGICA,0.959,0.243
160,REVISTA MEXICANA DE CIENCIAS GEOLOGICAS,0.935,0.297
161,Estonian Journal of Earth Sciences,0.927,0.356
162,NETHERLANDS JOURNAL OF GEOSCIENCES-GEOLOGIE EN MIJNBOUW,0.925,0.379
163,PROCEEDINGS OF THE INSTITUTION OF CIVIL ENGINEERS-GEOTECHNICAL ENGINEERING,0.906,0.352
164,Journal of Earth System Science,0.890,0.332
165,ISLAND ARC,0.889,0.527
166,Earth and Environmental Science Transactions of the Royal Society of Edinburgh,0.870,0.677
167,Arabian Journal of Geosciences,0.860,0.231
168,QUARTERLY JOURNAL OF ENGINEERING GEOLOGY AND HYDROGEOLOGY,0.818,0.238
169,NORWEGIAN JOURNAL OF GEOLOGY,0.806,0.557
170,JOURNAL OF COASTAL RESEARCH,0.804,0.302
171,ERDE,0.738,0.293
172,EARTH MOON AND PLANETS,0.721,0.364
173,QUATERNAIRE,0.707,0.248
174,Open Geosciences,0.696,0.186
175,JOURNAL OF COLD REGIONS ENGINEERING,0.688,0.299
176,GEOSCIENCE CANADA,0.649,0.504
177,BULLETIN OF THE GEOLOGICAL SOCIETY OF DENMARK,0.636,0.277
178,JOURNAL OF THE GEOLOGICAL SOCIETY OF INDIA,0.632,0.181
179,Austrian Journal of Earth Sciences,0.620,0.365
180,DOKLADY EARTH SCIENCES,0.597,0.204
181,Geomorphologie-Relief Processus Environnement,0.596,0.201
182,JOURNAL OF CAVE AND KARST STUDIES,0.561,0.324
183,TERRESTRIAL ATMOSPHERIC AND OCEANIC SCIENCES,0.543,0.196
184,Russian Journal of Pacific Geology,0.397,0.158
185,ArcheoSciences-Revue d Archeometrie,0.375,0.154
186,Zeitschrift der Deutschen Gesellschaft fur Geowissenschaften,0.356,0.226
187,ENVIRONMENTAL & ENGINEERING GEOSCIENCE,0.318,0.238
188,History of Geo- and Space Sciences,0.294,0.186
189,Earth Sciences Research Journal,0.262,0.157
190,EARTH SCIENCES HISTORY,0.108,0.095
Copyright © 2019 Clarivate Analytics,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,
