"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Categories: 'GERIATRICS & GERONTOLOGY' Selected Category Scheme: WoS",,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
1,Journal of Cachexia Sarcopenia and Muscle,12.511,2.193
2,AGEING RESEARCH REVIEWS,8.973,2.569
3,AGING CELL,7.627,2.299
4,Journal of the American Medical Directors Association,5.325,1.543
5,Aging-US,5.179,1.522
6,Aging and Disease,5.058,1.087
7,JOURNALS OF GERONTOLOGY SERIES A-BIOLOGICAL SCIENCES AND MEDICAL SCIENCES,4.902,1.811
8,NEUROBIOLOGY OF AGING,4.454,1.594
9,JOURNAL OF THE AMERICAN GERIATRICS SOCIETY,4.155,1.783
10,Immunity & Ageing,4.019,0.797
11,AGE AND AGEING,4.013,1.458
12,MECHANISMS OF AGEING AND DEVELOPMENT,3.748,1.050
13,BIOGERONTOLOGY,3.702,0.916
14,Frontiers in Aging Neuroscience,3.582,1.265
15,GERONTOLOGY,3.532,1.237
16,AMERICAN JOURNAL OF GERIATRIC PSYCHIATRY,3.480,1.169
17,Journal of Geriatric Oncology,3.359,0.892
18,MATURITAS,3.315,0.901
19,EXPERIMENTAL GERONTOLOGY,3.224,0.962
20,REJUVENATION RESEARCH,3.220,0.548
21,European Review of Aging and Physical Activity,3.091,0.753
22,JOURNALS OF GERONTOLOGY SERIES B-PSYCHOLOGICAL SCIENCES AND SOCIAL SCIENCES,3.054,1.303
23,INTERNATIONAL JOURNAL OF GERIATRIC PSYCHIATRY,2.940,1.035
24,AGE,2.900,0.979
25,DEMENTIA AND GERIATRIC COGNITIVE DISORDERS,2.886,0.962
26,Journal of Nutrition Health & Aging,2.868,0.801
27,BMC Geriatrics,2.866,0.933
28,AGING & MENTAL HEALTH,2.663,0.832
29,Geriatrics & Gerontology International,2.656,0.677
30,Clinical Interventions in Aging,2.505,0.761
31,DRUGS & AGING,2.381,0.837
32,CLINICS IN GERIATRIC MEDICINE,2.378,0.783
33,INTERNATIONAL PSYCHOGERIATRICS,2.261,0.801
34,ARCHIVES OF GERONTOLOGY AND GERIATRICS,2.241,0.686
35,JOURNAL OF GERIATRIC PSYCHIATRY AND NEUROLOGY,2.183,0.822
36,AGING CLINICAL AND EXPERIMENTAL RESEARCH,2.121,0.494
37,Journal of Geriatric Physical Therapy,2.096,0.548
38,JOURNAL OF AGING AND PHYSICAL ACTIVITY,2.038,0.669
39,American Journal of Alzheimers Disease and Other Dementias,1.602,0.507
40,Journal of Geriatric Cardiology,1.581,0.419
41,GERIATRIC NURSING,1.541,0.447
42,GERODONTOLOGY,1.439,0.409
43,International Journal of Older People Nursing,1.333,Not Available
44,Psychogeriatrics,1.209,0.371
45,European Geriatric Medicine,1.169,0.264
46,ZEITSCHRIFT FUR GERONTOLOGIE UND GERIATRIE,1.160,0.200
47,AUSTRALASIAN JOURNAL ON AGEING,1.080,0.352
48,EXPERIMENTAL AGING RESEARCH,1.065,0.452
49,Clinical Gerontologist,0.862,0.292
50,Journal of Gerontological Nursing,0.752,0.274
51,International Journal of Gerontology,0.378,0.124
52,Turkish Journal of Geriatrics-Turk Geriatri Dergisi,0.141,0.017
53,GeroScience,Not Available,Not Available
Copyright © 2019 Clarivate Analytics,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,
