"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Categories: 'GERONTOLOGY' Selected Category Scheme: WoS",,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
1,JOURNALS OF GERONTOLOGY SERIES A-BIOLOGICAL SCIENCES AND MEDICAL SCIENCES,4.902,1.811
2,JOURNAL OF THE AMERICAN GERIATRICS SOCIETY,4.155,1.783
3,GERONTOLOGIST,4.078,1.277
4,AMERICAN JOURNAL OF GERIATRIC PSYCHIATRY,3.480,1.169
5,JOURNALS OF GERONTOLOGY SERIES B-PSYCHOLOGICAL SCIENCES AND SOCIAL SCIENCES,3.054,1.303
6,INTERNATIONAL JOURNAL OF GERIATRIC PSYCHIATRY,2.940,1.035
7,BMC Geriatrics,2.866,0.933
8,AGING & MENTAL HEALTH,2.663,0.832
9,Geriatrics & Gerontology International,2.656,0.677
10,PSYCHOLOGY AND AGING,2.361,1.266
11,INTERNATIONAL PSYCHOGERIATRICS,2.261,0.801
12,JOURNAL OF AGING AND HEALTH,2.134,0.865
13,JOURNAL OF AGING AND PHYSICAL ACTIVITY,2.038,0.669
14,RESEARCH ON AGING,2.000,0.679
15,JOURNAL OF APPLIED GERONTOLOGY,1.992,0.548
16,Dementia-International Journal of Social Research and Practice,1.671,0.512
17,AGEING & SOCIETY,1.620,0.577
18,GERIATRIC NURSING,1.541,0.447
19,Journal of Aging & Social Policy,1.512,0.442
20,European Journal of Ageing,1.450,0.657
21,International Journal of Older People Nursing,1.333,Not Available
21,JOURNAL OF ELDER ABUSE & NEGLECT,1.333,Not Available
23,JOURNAL OF AGING STUDIES,1.228,0.543
24,ZEITSCHRIFT FUR GERONTOLOGIE UND GERIATRIE,1.160,0.200
25,Journal of the Economics of Ageing,1.159,Not Available
26,AUSTRALASIAN JOURNAL ON AGEING,1.080,0.352
27,INTERNATIONAL JOURNAL OF AGING & HUMAN DEVELOPMENT,0.881,0.296
28,Clinical Gerontologist,0.862,0.292
29,CANADIAN JOURNAL ON AGING-REVUE CANADIENNE DU VIEILLISSEMENT,0.771,0.325
30,Journal of Gerontological Nursing,0.752,0.274
31,JOURNAL OF GERONTOLOGICAL SOCIAL WORK,0.690,Not Available
32,EDUCATIONAL GERONTOLOGY,0.674,0.201
33,JOURNAL OF WOMEN & AGING,0.522,0.270
34,TOPICS IN GERIATRIC REHABILITATION,0.461,0.107
35,GENERATIONS-JOURNAL OF THE AMERICAN SOCIETY ON AGING,0.296,0.115
36,Turkish Journal of Geriatrics-Turk Geriatri Dergisi,0.141,0.017
Copyright © 2019 Clarivate Analytics,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,
