"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Categories: 'GREEN & SUSTAINABLE SCIENCE &amp; TECHNOLOGY' Selected Category Scheme: WoS",,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
1,RENEWABLE & SUSTAINABLE ENERGY REVIEWS,9.184,1.734
2,GREEN CHEMISTRY,8.586,1.580
3,ChemSusChem,7.411,1.671
4,IEEE Transactions on Sustainable Energy,6.235,1.922
5,ACS Sustainable Chemistry & Engineering,6.140,1.142
6,JOURNAL OF CLEANER PRODUCTION,5.651,0.815
7,RENEWABLE ENERGY,4.900,0.925
8,Agronomy for Sustainable Development,4.503,1.327
9,JOURNAL OF INDUSTRIAL ECOLOGY,4.356,0.966
10,Current Opinion in Environmental Sustainability,4.186,1.585
11,International Journal of Greenhouse Gas Control,4.078,0.854
12,Sustainability Science,3.855,0.961
13,International Journal of Precision Engineering and Manufacturing-Green Technology,3.774,0.715
14,IET Renewable Power Generation,3.488,0.794
15,Green Chemistry Letters and Reviews,3.364,0.265
16,Journal of Sustainable Tourism,3.329,0.532
17,Sustainable Cities and Society,3.073,0.523
18,SUSTAINABLE DEVELOPMENT,2.750,0.510
19,International Journal of Agricultural Sustainability,2.702,0.600
20,Energy for Sustainable Development,2.658,0.691
21,INTERNATIONAL JOURNAL OF SUSTAINABLE DEVELOPMENT AND WORLD ECOLOGY,2.373,0.334
22,Clean Technologies and Environmental Policy,2.343,0.350
23,Sustainability,2.075,0.323
23,Sustainability,2.075,0.323
25,International Journal of Sustainable Transportation,1.892,0.578
26,International Journal of Sustainability in Higher Education,1.876,0.187
27,Energy Efficiency,1.634,0.379
27,Energy Efficiency,1.634,0.379
29,Energy Sustainability and Society,1.625,Not Available
30,Proceedings of the Institution of Civil Engineers-Engineering Sustainability,1.500,0.296
31,ENVIRONMENT DEVELOPMENT AND SUSTAINABILITY,1.379,Not Available
32,Green Materials,1.344,0.327
33,CLEAN-Soil Air Water,1.338,0.288
34,Journal of Renewable and Sustainable Energy,1.337,0.264
35,Environmental Progress & Sustainable Energy,1.326,0.286
36,International Journal of Green Energy,1.171,0.207
37,Agroecology and Sustainable Food Systems,1.140,0.342
38,Journal of Renewable Materials,0.986,0.188
39,Green Processing and Synthesis,0.736,0.225
Copyright © 2019 Clarivate Analytics,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,
