"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Categories: 'HEALTH CARE SCIENCES & SERVICES' Selected Category Scheme: WoS",,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
1,BMJ Quality & Safety,7.226,2.185
2,MILBANK QUARTERLY,6.000,3.939
3,VALUE IN HEALTH,5.494,1.934
4,HEALTH AFFAIRS,4.843,3.201
5,ACADEMIC MEDICINE,4.801,1.833
6,JOURNAL OF MEDICAL INTERNET RESEARCH,4.671,1.591
7,JMIR mHealth and uHealth,4.541,1.130
8,HEALTH TECHNOLOGY ASSESSMENT,4.513,2.145
9,MEDICAL EDUCATION,4.405,1.661
10,Implementation Science,4.345,1.680
11,JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION,4.270,1.334
12,JOURNAL OF CLINICAL EPIDEMIOLOGY,4.245,2.301
13,PHARMACOECONOMICS,4.011,1.217
14,JOURNAL OF GENERAL INTERNAL MEDICINE,4.005,2.006
15,PALLIATIVE MEDICINE,3.780,1.404
16,MEDICAL CARE,3.338,1.868
17,JOURNAL OF HEALTH ECONOMICS,3.250,2.349
18,JOURNAL OF PAIN AND SYMPTOM MANAGEMENT,3.249,1.066
19,JOURNAL OF TELEMEDICINE AND TELECARE,3.046,0.757
20,MEDICAL DECISION MAKING,3.012,1.575
21,INTERNATIONAL JOURNAL OF MEDICAL INFORMATICS,2.957,0.826
22,Journal of Patient Safety,2.683,0.988
23,SUPPORTIVE CARE IN CANCER,2.676,0.862
24,HEALTH SERVICES RESEARCH,2.667,1.816
25,Patient-Patient Centered Outcomes Research,2.660,1.007
26,INTERNATIONAL JOURNAL FOR QUALITY IN HEALTH CARE,2.554,0.766
27,ADVANCES IN HEALTH SCIENCES EDUCATION,2.552,1.170
28,BMC Medical Research Methodology,2.524,1.868
29,JOURNAL OF PALLIATIVE MEDICINE,2.490,1.001
30,Journal of Managed Care & Specialty Pharmacy,2.469,0.758
31,MEDICAL TEACHER,2.450,0.836
32,HEALTH POLICY AND PLANNING,2.420,1.139
33,EUROPEAN JOURNAL OF CANCER CARE,2.409,0.706
34,QUALITY OF LIFE RESEARCH,2.392,1.029
35,BMJ Supportive & Palliative Care,2.385,Not Available
36,Simulation in Healthcare-Journal of the Society for Simulation in Healthcare,2.340,0.627
37,BMC Palliative Care,2.335,0.760
38,HEALTH ECONOMICS,2.319,1.274
39,MEDICAL CARE RESEARCH AND REVIEW,2.315,1.653
40,HEALTH POLICY,2.293,0.858
41,STATISTICAL METHODS IN MEDICAL RESEARCH,2.284,2.048
42,Health and Quality of Life Outcomes,2.278,0.879
43,JOURNAL OF MEDICAL ECONOMICS,2.264,Not Available
44,HEALTH EXPECTATIONS,2.173,0.735
45,Telemedicine and e-Health,2.165,0.728
46,JOURNAL OF MEDICAL SYSTEMS,2.098,0.449
47,Current Opinion in Supportive and Palliative Care,2.073,0.678
48,Therapeutics and Clinical Risk Management,1.995,0.491
49,JOURNAL OF SCHOOL HEALTH,1.935,0.624
50,Journal of Comparative Effectiveness Research,1.906,0.632
51,Applied Health Economics and Health Policy,1.885,Not Available
52,Disability and Health Journal,1.863,0.663
53,BMC HEALTH SERVICES RESEARCH,1.843,0.788
54,International Journal of Integrated Care,1.837,0.569
55,Health Informatics Journal,1.833,0.527
56,SCANDINAVIAN JOURNAL OF PRIMARY HEALTH CARE,1.809,0.562
57,Expert Review of Pharmacoeconomics & Outcomes Research,1.797,0.634
58,JOURNAL OF BEHAVIORAL HEALTH SERVICES & RESEARCH,1.769,0.701
59,JOURNAL OF RURAL HEALTH,1.762,0.789
60,AMERICAN JOURNAL OF MEDICAL QUALITY,1.662,0.659
61,Journal of Interprofessional Care,1.601,0.420
62,Gaceta Sanitaria,1.581,0.328
63,American Journal of Hospice & Palliative Medicine,1.533,0.440
64,EVALUATION & THE HEALTH PROFESSIONS,1.531,0.710
64,METHODS OF INFORMATION IN MEDICINE,1.531,0.516
66,AMERICAN JOURNAL OF MANAGED CARE,1.512,0.879
67,JOURNAL OF EVALUATION IN CLINICAL PRACTICE,1.483,0.531
68,HASTINGS CENTER REPORT,1.472,0.616
69,JOURNAL OF MANIPULATIVE AND PHYSIOLOGICAL THERAPEUTICS,1.426,0.354
70,JOURNAL OF PUBLIC HEALTH POLICY,1.375,0.726
71,INTERNATIONAL JOURNAL OF TECHNOLOGY ASSESSMENT IN HEALTH CARE,1.333,0.720
72,JOURNAL OF HEALTH POLITICS POLICY AND LAW,1.323,0.881
73,Population Health Management,1.295,0.561
74,INTERNATIONAL JOURNAL OF HEALTH SERVICES,1.292,0.611
74,TEACHING AND LEARNING IN MEDICINE,1.292,0.518
76,Journal of Healthcare Engineering,1.261,0.271
77,Journal for Healthcare Quality,1.226,0.483
78,Geospatial Health,1.225,0.428
79,CAMBRIDGE QUARTERLY OF HEALTHCARE ETHICS,1.204,0.226
80,Informatics for Health & Social Care,1.137,0.263
81,Journal of the American Association of Nurse Practitioners,1.136,0.367
82,JOURNAL OF CONTINUING EDUCATION IN THE HEALTH PROFESSIONS,1.088,0.545
83,Families Systems & Health,1.077,0.517
84,Australian Health Review,1.036,0.339
85,FORSCHENDE KOMPLEMENTARMEDIZIN,1.000,0.228
86,Australian Journal of Primary Health,0.935,0.298
87,Quality Management in Health Care,0.898,Not Available
88,JOURNAL OF PALLIATIVE CARE,0.882,0.427
89,MEDICAL HISTORY,0.867,0.417
90,BULLETIN OF THE HISTORY OF MEDICINE,0.750,0.515
91,TECHNOLOGY AND HEALTH CARE,0.719,0.183
92,EASTERN MEDITERRANEAN HEALTH JOURNAL,0.717,Not Available
93,INQUIRY-THE JOURNAL OF HEALTH CARE ORGANIZATION PROVISION AND FINANCING,0.574,0.508
94,JOURNAL OF THE HISTORY OF MEDICINE AND ALLIED SCIENCES,0.500,0.418
Copyright © 2019 Clarivate Analytics,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,
