"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Categories: 'HEALTH POLICY & SERVICES' Selected Category Scheme: WoS",,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
1,BMJ Quality & Safety,7.226,2.185
2,MILBANK QUARTERLY,6.000,3.939
3,VALUE IN HEALTH,5.494,1.934
4,HEALTH AFFAIRS,4.843,3.201
5,Implementation Science,4.345,1.680
6,PHARMACOECONOMICS,4.011,1.217
7,MEDICAL CARE,3.338,1.868
8,JOURNAL OF HEALTH ECONOMICS,3.250,2.349
9,Administration and Policy in Mental Health and Mental Health Services Research,2.821,0.897
10,Journal of Patient Safety,2.683,0.988
11,HEALTH SERVICES RESEARCH,2.667,1.816
12,Patient-Patient Centered Outcomes Research,2.660,1.007
13,European Journal of Health Economics,2.601,0.912
14,INTERNATIONAL JOURNAL FOR QUALITY IN HEALTH CARE,2.554,0.766
15,HEALTH CARE MANAGEMENT REVIEW,2.477,0.655
16,Human Resources for Health,2.446,0.772
17,HEALTH POLICY AND PLANNING,2.420,1.139
18,QUALITY OF LIFE RESEARCH,2.392,1.029
19,BMC Palliative Care,2.335,0.760
20,HEALTH ECONOMICS,2.319,1.274
21,MEDICAL CARE RESEARCH AND REVIEW,2.315,1.653
22,HEALTH POLICY,2.293,0.858
23,Health and Quality of Life Outcomes,2.278,0.879
24,PSYCHIATRIC SERVICES,2.205,1.024
25,Health Research Policy and Systems,2.179,0.767
26,HEALTH EXPECTATIONS,2.173,0.735
27,JOURNAL OF AGING AND HEALTH,2.134,0.865
28,AIDS CARE-PSYCHOLOGICAL AND SOCIO-MEDICAL ASPECTS OF AIDS/HIV,1.994,0.710
29,PSYCHOLOGY PUBLIC POLICY AND LAW,1.892,1.001
30,Applied Health Economics and Health Policy,1.885,Not Available
31,Health Economics Policy and Law,1.881,0.769
32,American Journal of Health Economics,1.878,1.594
33,HEALTH PROMOTION INTERNATIONAL,1.866,0.605
33,Journal of Health Services Research & Policy,1.866,0.772
35,Disability and Health Journal,1.863,0.663
36,International Journal of Integrated Care,1.837,0.569
37,Expert Review of Pharmacoeconomics & Outcomes Research,1.797,0.634
38,Cost Effectiveness and Resource Allocation,1.788,Not Available
39,JOURNAL OF BEHAVIORAL HEALTH SERVICES & RESEARCH,1.769,0.701
40,BMC International Health and Human Rights,1.762,0.733
40,JOURNAL OF RURAL HEALTH,1.762,0.789
42,HEALTH COMMUNICATION,1.710,0.608
43,Journal of Genetic Counseling,1.698,0.561
44,Israel Journal of Health Policy Research,1.652,0.621
45,Journal of Interprofessional Care,1.601,0.420
46,FUTURE OF CHILDREN,1.588,1.540
47,EVALUATION & THE HEALTH PROFESSIONS,1.531,0.710
48,JOURNAL OF COMMUNITY HEALTH,1.530,0.637
49,AMERICAN JOURNAL OF MANAGED CARE,1.512,0.879
50,Palliative & Supportive Care,1.494,0.497
51,Health Economics Review,1.451,Not Available
52,Journal of Pediatric Health Care,1.450,0.529
53,Health Information Management Journal,1.393,0.247
54,JOURNAL OF PUBLIC HEALTH POLICY,1.375,0.726
55,JOURNAL OF HEALTH POLITICS POLICY AND LAW,1.323,0.881
56,Health Care Management Science,1.306,0.571
57,INTERNATIONAL JOURNAL OF HEALTH SERVICES,1.292,0.611
58,Journal for Healthcare Quality,1.226,0.483
59,CAMBRIDGE QUARTERLY OF HEALTHCARE ETHICS,1.204,0.226
60,Health Sociology Review,1.196,0.379
61,HEALTH CARE ANALYSIS,1.180,0.381
62,COMMUNITY MENTAL HEALTH JOURNAL,1.159,0.379
63,JOURNAL OF HEALTHCARE MANAGEMENT,1.102,0.609
64,Australian Health Review,1.036,0.339
65,Health Policy and Technology,1.013,0.252
66,INTERNATIONAL JOURNAL OF HEALTH PLANNING AND MANAGEMENT,0.977,0.399
67,Journal of Mental Health Policy and Economics,0.967,0.715
68,Australian Journal of Primary Health,0.935,0.298
69,Quality Management in Health Care,0.898,Not Available
70,JOURNAL OF PALLIATIVE CARE,0.882,0.427
71,JOURNAL OF HEALTH CARE FOR THE POOR AND UNDERSERVED,0.860,0.503
72,Journal of Policy and Practice in Intellectual Disabilities,0.851,0.371
73,Journal of Health Organization and Management,0.801,Not Available
74,EASTERN MEDITERRANEAN HEALTH JOURNAL,0.717,Not Available
75,Sahara J-Journal of Social Aspects of HIV-AIDS,0.639,0.358
76,International Journal of Health  Economics and Management,0.600,0.268
77,INQUIRY-THE JOURNAL OF HEALTH CARE ORGANIZATION PROVISION AND FINANCING,0.574,0.508
78,SCIENCES SOCIALES ET SANTE,0.357,0.120
79,Asian Journal of WTO & International Health Law and Policy,0.344,0.046
Copyright © 2019 Clarivate Analytics,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,
