"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Categories: 'HISTORY & PHILOSOPHY OF SCIENCE' Selected Category Scheme: WoS",,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
1,AGRICULTURE AND HUMAN VALUES,2.568,0.749
1,AGRICULTURE AND HUMAN VALUES,2.568,0.749
3,SOCIAL STUDIES OF SCIENCE,2.464,1.459
3,SOCIAL STUDIES OF SCIENCE,2.464,1.459
5,PUBLIC UNDERSTANDING OF SCIENCE,2.452,0.786
6,BRITISH JOURNAL FOR THE PHILOSOPHY OF SCIENCE,2.053,0.845
6,BRITISH JOURNAL FOR THE PHILOSOPHY OF SCIENCE,2.053,0.845
8,SCIENCE AND ENGINEERING ETHICS,1.859,0.465
9,MINERVA,1.784,0.477
10,NEW GENETICS AND SOCIETY,1.571,0.491
11,Biosemiotics,1.527,0.086
11,Biosemiotics,1.527,0.086
13,Medicine Health Care and Philosophy,1.407,0.361
14,BIOLOGY & PHILOSOPHY,1.311,0.408
14,BIOLOGY & PHILOSOPHY,1.311,0.408
16,European Journal for Philosophy of Science,1.295,0.584
17,Science & Education,1.265,0.288
18,JOURNAL OF AGRICULTURAL & ENVIRONMENTAL ETHICS,1.240,0.385
19,Philosophy Ethics and Humanities in Medicine,1.222,Not Available
19,Philosophy Ethics and Humanities in Medicine,1.222,Not Available
21,SCIENCE AS CULTURE,1.196,0.548
22,ISIS,1.070,0.954
22,ISIS,1.070,0.954
24,SYNTHESE,1.034,0.270
24,SYNTHESE,1.034,0.270
26,PHILOSOPHY OF SCIENCE,0.973,0.523
26,PHILOSOPHY OF SCIENCE,0.973,0.523
28,JOURNAL OF THE HISTORY OF BIOLOGY,0.953,0.508
28,JOURNAL OF THE HISTORY OF BIOLOGY,0.953,0.508
30,NanoEthics,0.950,0.166
30,NanoEthics,0.950,0.166
32,OSIRIS,0.875,0.703
32,OSIRIS,0.875,0.703
34,MEDICAL HISTORY,0.867,0.417
34,MEDICAL HISTORY,0.867,0.417
36,HYLE,0.800,0.178
36,HYLE,0.800,0.178
38,HISTORY OF SCIENCE,0.795,0.579
38,HISTORY OF SCIENCE,0.795,0.579
40,BULLETIN OF THE HISTORY OF MEDICINE,0.750,0.515
40,BULLETIN OF THE HISTORY OF MEDICINE,0.750,0.515
42,STUDIES IN HISTORY AND PHILOSOPHY OF SCIENCE,0.748,0.374
42,STUDIES IN HISTORY AND PHILOSOPHY OF SCIENCE,0.748,0.374
44,Historical Studies in the Natural Sciences,0.700,0.371
44,Historical Studies in the Natural Sciences,0.700,0.371
46,STUDIES IN HISTORY AND PHILOSOPHY OF MODERN PHYSICS,0.696,0.218
47,Foundations of Science,0.661,0.118
48,PHYSICS IN PERSPECTIVE,0.625,0.306
48,PHYSICS IN PERSPECTIVE,0.625,0.306
50,IEEE ANNALS OF THE HISTORY OF COMPUTING,0.619,0.185
51,ARCHIVE FOR HISTORY OF EXACT SCIENCES,0.583,0.472
51,ARCHIVE FOR HISTORY OF EXACT SCIENCES,0.583,0.472
53,HISTORY AND PHILOSOPHY OF THE LIFE SCIENCES,0.559,0.184
53,HISTORY AND PHILOSOPHY OF THE LIFE SCIENCES,0.559,0.184
55,European Physical Journal H,0.519,0.319
56,ENDEAVOUR,0.500,0.297
56,Historical Records of Australian Science,0.500,0.034
56,JOURNAL OF THE HISTORY OF MEDICINE AND ALLIED SCIENCES,0.500,0.418
56,JOURNAL OF THE HISTORY OF MEDICINE AND ALLIED SCIENCES,0.500,0.418
60,TECHNOLOGY AND CULTURE,0.493,0.358
60,TECHNOLOGY AND CULTURE,0.493,0.358
62,Notes and Records-The Royal Society Journal of the History of Science,0.475,0.360
63,SOCIAL HISTORY OF MEDICINE,0.473,0.378
63,SOCIAL HISTORY OF MEDICINE,0.473,0.378
65,HERALD OF THE RUSSIAN ACADEMY OF SCIENCES,0.472,0.085
66,Early Science and Medicine,0.452,0.236
67,Philosophia Mathematica,0.438,0.216
68,Foundations of Chemistry,0.424,0.121
69,Ambix,0.419,0.222
70,BRITISH JOURNAL FOR THE HISTORY OF SCIENCE,0.409,0.397
71,ANNALS OF SCIENCE,0.405,0.393
71,ANNALS OF SCIENCE,0.405,0.393
73,SCIENCE IN CONTEXT,0.366,0.323
73,SCIENCE IN CONTEXT,0.366,0.323
75,HISTORY OF THE HUMAN SCIENCES,0.351,0.286
75,HISTORY OF THE HUMAN SCIENCES,0.351,0.286
77,Theology and Science,0.346,Not Available
78,Revue d Histoire des Mathematiques,0.333,0.140
79,CRYPTOLOGIA,0.326,0.041
80,Nexus Network Journal,0.316,0.043
80,Social Epistemology,0.316,0.405
82,Dynamis,0.314,0.097
82,Dynamis,0.314,0.097
84,JOURNAL FOR THE HISTORY OF ASTRONOMY,0.311,0.235
85,HISTORY AND PHILOSOPHY OF LOGIC,0.294,0.127
85,History of Geo- and Space Sciences,0.294,0.186
85,History of Geo- and Space Sciences,0.294,0.186
88,Journal of the History of the Neurosciences,0.288,0.125
88,PERSPECTIVES IN BIOLOGY AND MEDICINE,0.288,0.167
90,HISTORIA MATHEMATICA,0.267,0.300
90,HISTORIA MATHEMATICA,0.267,0.300
92,Imago Mundi-The International Journal for the History of Cartography,0.231,0.128
93,Nuncius-Journal of the History of Science,0.229,0.216
93,Nuncius-Journal of the History of Science,0.229,0.216
95,AGRICULTURAL HISTORY,0.225,0.103
95,AGRICULTURAL HISTORY,0.225,0.103
97,Engineering Studies,0.217,0.142
97,Engineering Studies,0.217,0.142
99,Berichte zur Wissenschaftsgeschichte,0.188,0.097
99,Berichte zur Wissenschaftsgeschichte,0.188,0.097
101,Bollettino di Storia delle Scienze Matematiche,0.154,0.051
102,CENTAURUS,0.111,0.489
102,CENTAURUS,0.111,0.489
104,EARTH SCIENCES HISTORY,0.108,0.095
104,EARTH SCIENCES HISTORY,0.108,0.095
106,ARCHIVES OF NATURAL HISTORY,0.082,0.030
106,ARCHIVES OF NATURAL HISTORY,0.082,0.030
Copyright © 2019 Clarivate Analytics,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,
