"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Categories: 'HISTORY OF SOCIAL SCIENCES' Selected Category Scheme: WoS",,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
1,HISTORY OF POLITICAL ECONOMY,1.415,0.232
2,JOURNAL OF ECONOMIC HISTORY,1.379,1.301
3,History of Psychology,1.220,0.286
4,ECONOMIC HISTORY REVIEW,1.187,1.122
5,EXPLORATIONS IN ECONOMIC HISTORY,1.176,1.150
6,BUSINESS HISTORY REVIEW,1.162,0.495
7,BUSINESS HISTORY,1.075,0.382
8,European Review of Economic History,1.023,1.005
9,JOURNAL OF PHILOSOPHY OF EDUCATION,0.878,0.212
10,History of Education,0.857,0.254
11,JOURNAL OF HISTORICAL GEOGRAPHY,0.833,0.294
12,LABOR HISTORY,0.725,0.169
13,Cliometrica,0.704,0.945
14,PAEDAGOGICA HISTORICA,0.700,0.228
15,HISTORY OF PSYCHIATRY,0.641,0.253
16,Law and History Review,0.635,0.403
17,ENTERPRISE & SOCIETY,0.556,0.308
18,JOURNAL OF THE HISTORY OF THE BEHAVIORAL SCIENCES,0.515,0.272
19,History of the Family,0.456,0.208
20,Revista de Historia Economica,0.438,0.261
21,SOCIAL SCIENCE HISTORY,0.393,0.231
22,AUSTRALIAN ECONOMIC HISTORY REVIEW,0.370,0.234
23,Planning Perspectives,0.368,0.225
24,Psychoanalysis and History,0.357,0.158
25,Historical Social Research-Historische Sozialforschung,0.352,0.194
26,HISTORY OF THE HUMAN SCIENCES,0.351,0.286
27,JOURNAL OF FAMILY HISTORY,0.333,0.219
28,JOURNAL OF URBAN HISTORY,0.261,0.129
29,Revista de Historia Industrial,0.254,0.207
30,Imago Mundi-The International Journal for the History of Cartography,0.231,0.128
31,Information & Culture,0.229,0.163
Copyright © 2019 Clarivate Analytics,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,
