"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Categories: 'HISTORY' Selected Category Scheme: WoS",,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
1,AMERICAN HISTORICAL REVIEW,1.730,1.428
2,ECONOMIC HISTORY REVIEW,1.187,1.122
3,JOURNAL OF AMERICAN HISTORY,1.032,0.674
4,Journal of Global History,0.952,0.507
5,Memory Studies,0.922,0.300
6,HISTORY WORKSHOP JOURNAL,0.917,0.561
7,JOURNAL OF CONTEMPORARY HISTORY,0.915,0.443
8,PAST & PRESENT,0.913,0.850
9,HISTORY AND THEORY,0.810,0.722
10,JOURNAL OF HISTORICAL SOCIOLOGY,0.809,0.299
11,Journal of the Economic and Social History of the Orient,0.766,0.312
12,Oral History Review,0.759,0.156
13,JOURNAL OF AFRICAN HISTORY,0.718,0.456
14,Cliometrica,0.704,0.945
15,ENVIRONMENTAL HISTORY,0.696,0.372
16,Nations and Nationalism,0.679,0.480
17,History and Anthropology,0.672,Not Available
18,Estudios Atacamenos,0.667,0.277
19,Law and History Review,0.635,0.403
20,JOURNAL OF BRITISH STUDIES,0.625,0.375
21,COMPARATIVE STUDIES IN SOCIETY AND HISTORY,0.623,0.706
22,SCOTTISH HISTORICAL REVIEW,0.588,0.032
23,JOURNAL OF MODERN HISTORY,0.583,0.754
24,JOURNAL OF INTERDISCIPLINARY HISTORY,0.563,0.435
25,Journal of Victorian Culture,0.543,0.230
26,German History,0.541,0.732
27,ENVIRONMENT AND HISTORY,0.538,0.222
28,Acta Histriae,0.523,0.005
29,HAHR-Hispanic American Historical Review,0.500,0.147
29,INDIAN ECONOMIC AND SOCIAL HISTORY REVIEW,0.500,0.335
29,Rural History-Economy Society Culture,0.500,0.392
32,BMGN-The Low Countries Historical Review,0.489,0.106
33,CENTRAL EUROPEAN HISTORY,0.485,0.361
34,SOCIAL HISTORY OF MEDICINE,0.473,0.378
35,INTERNATIONAL REVIEW OF SOCIAL HISTORY,0.469,0.386
36,JOURNAL OF THE HISTORY OF SEXUALITY,0.455,0.132
37,AMERICAS,0.452,0.170
38,Revista de Historia Economica,0.438,0.261
39,INTERNATIONAL LABOR AND WORKING-CLASS HISTORY,0.429,0.354
40,EUROPEAN HISTORY QUARTERLY,0.422,0.186
41,Cold War History,0.420,0.342
42,ENGLISH HISTORICAL REVIEW,0.418,0.497
43,HISTORICAL METHODS,0.412,0.347
44,DIPLOMATIC HISTORY,0.405,0.280
45,Historia Agraria,0.400,0.210
46,HISTORICAL JOURNAL,0.396,0.365
47,SOCIAL SCIENCE HISTORY,0.393,0.231
48,Postcolonial Studies,0.386,Not Available
49,Psychoanalysis and History,0.357,0.158
50,Historical Social Research-Historische Sozialforschung,0.352,0.194
51,Journal of Modern European History,0.348,0.359
51,RETHINKING HISTORY,0.348,0.227
53,JOURNAL OF FAMILY HISTORY,0.333,0.219
54,Historia y Politica,0.313,0.226
55,Journal of Australian Studies,0.311,0.144
56,WAR IN HISTORY,0.310,0.218
57,Contemporary European History,0.308,0.350
57,Journal of Early Modern History,0.308,0.278
59,SOUTH AFRICAN HISTORICAL JOURNAL,0.302,0.202
60,International Journal of the History of Sport,0.294,0.079
61,ETHNOHISTORY,0.291,0.163
62,JOURNAL OF WOMENS HISTORY,0.286,0.174
63,Journal of Israeli History,0.263,0.195
64,Ayer,0.262,0.149
65,Scandia,0.259,0.009
66,JOURNAL OF SOCIAL HISTORY,0.257,0.295
67,Revista de Historia Industrial,0.254,0.207
68,Journal of Policy History,0.245,0.304
69,Historia Critica,0.242,0.027
70,Britain and the World,0.238,0.124
71,Interventions-International Journal of Postcolonial Studies,0.235,0.188
72,Imago Mundi-The International Journal for the History of Cartography,0.231,0.128
73,AUSTRALIAN JOURNAL OF POLITICS AND HISTORY,0.208,0.182
74,Austrian History Yearbook,0.200,0.132
75,Journal of the Gilded Age and Progressive Era,0.197,0.140
76,LABOUR-LE TRAVAIL,0.189,0.069
77,JOURNAL OF MODERN ITALIAN STUDIES,0.183,0.118
78,Labour History,0.182,0.177
79,Journal of Cold War Studies,0.167,0.394
80,NORTHERN HISTORY,0.161,0.077
81,War & Society,0.156,0.107
82,Mediterranean Historical Review,0.154,0.130
83,MOUVEMENT SOCIAL,0.125,0.062
84,Dutch Crossing-Journal of Low Countries Studies,0.118,0.027
85,Tijdschrift voor Rechtsgeschiedenis-Revue d Histoire du Droit-The Legal History Review,0.114,0.020
86,Itinerario-International Journal on the History of European Expansion and Global Interaction,0.108,0.148
87,French History,0.104,0.159
88,London Journal,0.097,0.322
89,ZEITGESCHICHTE,0.050,0.002
Copyright © 2019 Clarivate Analytics,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,
