"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Categories: 'HORTICULTURE' Selected Category Scheme: WoS",,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
1,THEORETICAL AND APPLIED GENETICS,3.930,1.070
2,Horticulture Research,3.368,0.978
3,POSTHARVEST BIOLOGY AND TECHNOLOGY,3.112,0.664
4,MOLECULAR BREEDING,2.077,0.615
5,AUSTRALIAN JOURNAL OF GRAPE AND WINE RESEARCH,1.913,0.515
6,Tree Genetics & Genomes,1.829,0.537
7,AMERICAN JOURNAL OF ENOLOGY AND VITICULTURE,1.765,0.405
8,SCIENTIA HORTICULTURAE,1.760,0.414
9,EUPHYTICA,1.546,0.400
10,EUROPEAN JOURNAL OF PLANT PATHOLOGY,1.466,0.432
11,Horticulture Environment and Biotechnology,1.193,0.185
12,BIOLOGICAL AGRICULTURE & HORTICULTURE,1.106,0.276
13,Horticulture Journal,1.035,0.216
14,JOURNAL INTERNATIONAL DES SCIENCES DE LA VIGNE ET DU VIN,0.848,0.278
15,HORTSCIENCE,0.830,0.218
16,VITIS,0.824,0.212
17,JOURNAL OF THE AMERICAN SOCIETY FOR HORTICULTURAL SCIENCE,0.816,0.286
18,JOURNAL OF HORTICULTURAL SCIENCE & BIOTECHNOLOGY,0.715,0.182
19,Horticultura Brasileira,0.677,0.128
20,NEW ZEALAND JOURNAL OF CROP AND HORTICULTURAL SCIENCE,0.647,0.163
21,Fruits,0.644,0.211
22,SEED SCIENCE AND TECHNOLOGY,0.593,0.102
23,EUROPEAN JOURNAL OF HORTICULTURAL SCIENCE,0.590,0.175
24,HORTTECHNOLOGY,0.573,0.167
25,Erwerbs-Obstbau,0.559,0.108
26,HORTICULTURAL SCIENCE,0.500,0.188
27,Revista Brasileira de Fruticultura,0.475,0.139
28,Acta Scientiarum Polonorum-Hortorum Cultus,0.448,0.107
29,TAIWANIA,0.421,Not Available
30,Propagation of Ornamental Plants,0.395,0.067
31,Korean Journal of Horticultural Science & Technology,0.301,0.050
32,JOURNAL OF THE AMERICAN POMOLOGICAL SOCIETY,0.277,0.064
33,Folia Horticulturae,0.244,Not Available
34,Indian Journal of Horticulture,0.096,0.048
35,JOURNAL OF THE PROFESSIONAL ASSOCIATION FOR CACTUS DEVELOPMENT,0.083,0.055
36,MITTEILUNGEN KLOSTERNEUBURG,0.074,0.013
37,Horticultural Science & Technology,Not Available,Not Available
Copyright © 2019 Clarivate Analytics,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,
