"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Categories: 'HOSPITALITY, LEISURE, SPORT & TOURISM' Selected Category Scheme: WoS",,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
1,TOURISM MANAGEMENT,5.921,1.007
2,Journal of Travel Research,5.169,0.987
3,ANNALS OF TOURISM RESEARCH,5.086,1.067
4,Journal of Destination Marketing & Management,3.667,0.400
5,Sport Management Review,3.516,0.450
6,Current Issues in Tourism,3.462,0.507
7,International Journal of Hospitality Management,3.445,0.608
8,Journal of Sustainable Tourism,3.329,0.532
9,PSYCHOLOGY OF SPORT AND EXERCISE,2.878,0.754
10,International Journal of Contemporary Hospitality Management,2.874,0.396
11,SPORT EDUCATION AND SOCIETY,2.769,0.449
12,Journal of Hospitality & Tourism Research,2.685,0.573
13,Journal of Hospitality Marketing & Management,2.683,Not Available
14,Journal of Sport and Health Science,2.591,0.706
15,International Journal of Tourism Research,2.449,0.481
16,JOURNAL OF SPORT & EXERCISE PSYCHOLOGY,2.410,0.912
17,Communication & Sport,2.395,0.485
18,International Review of Sport and Exercise Psychology,2.391,1.238
19,RESEARCH QUARTERLY FOR EXERCISE AND SPORT,2.268,0.663
20,Leisure Studies,2.247,0.405
21,Journal of Vacation Marketing,2.170,Not Available
22,JOURNAL OF SPORT MANAGEMENT,2.169,0.403
23,JOURNAL OF APPLIED SPORT PSYCHOLOGY,2.092,0.453
24,Tourism Geographies,2.068,0.497
25,Cornell Hospitality Quarterly,2.060,0.583
26,Journal of Travel & Tourism Marketing,1.975,0.345
27,European Sport Management Quarterly,1.966,0.304
28,International Review for the Sociology of Sport,1.914,0.377
29,Tourism Management Perspectives,1.779,Not Available
30,Sport Exercise and Performance Psychology,1.714,0.591
31,LEISURE SCIENCES,1.585,0.363
32,Tourist Studies,1.537,0.440
33,SPORT PSYCHOLOGIST,1.354,0.354
34,Asia Pacific Journal of Tourism Research,1.352,0.209
35,Journal of Hospitality Leisure Sport & Tourism Education,1.265,0.100
36,Scandinavian Journal of Hospitality and Tourism,1.235,0.190
37,JOURNAL OF LEISURE RESEARCH,1.172,0.322
38,Journal of Sports Economics,1.107,0.368
39,Journal of Tourism and Cultural Change,1.105,0.208
40,JOURNAL OF SPORT & SOCIAL ISSUES,1.093,0.428
41,SOCIOLOGY OF SPORT JOURNAL,1.000,0.336
42,Tourism Economics,0.942,0.174
43,International Journal of Sports Science & Coaching,0.856,0.174
44,International Journal of Sport Finance,0.775,0.266
45,JOURNAL OF THE PHILOSOPHY OF SPORT,0.767,0.067
46,Sport Marketing Quarterly,0.694,Not Available
47,INTERNATIONAL JOURNAL OF SPORT PSYCHOLOGY,0.684,0.228
48,Sport in Society,0.667,Not Available
49,International Journal of Sports Marketing & Sponsorship,0.622,0.110
50,International Journal of the History of Sport,0.294,0.079
Copyright © 2019 Clarivate Analytics,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,
