"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Categories: 'IMAGING SCIENCE & PHOTOGRAPHIC TECHNOLOGY' Selected Category Scheme: WoS",,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
1,REMOTE SENSING OF ENVIRONMENT,6.457,1.976
2,IEEE TRANSACTIONS ON MEDICAL IMAGING,6.131,1.732
3,ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING,5.994,1.509
4,IEEE Geoscience and Remote Sensing Magazine,4.932,2.009
5,IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,4.662,1.230
6,PHOTOGRAMMETRIC ENGINEERING AND REMOTE SENSING,3.150,0.557
7,IEEE Geoscience and Remote Sensing Letters,2.893,0.786
8,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,2.777,0.838
9,SIAM Journal on Imaging Sciences,2.361,2.036
10,PHOTOGRAMMETRIC RECORD,1.917,0.417
11,INTERNATIONAL JOURNAL OF REMOTE SENSING,1.782,0.503
12,Geocarto International,1.759,0.343
13,EURASIP Journal on Image and Video Processing,1.737,0.705
14,Signal Image and Video Processing,1.643,0.304
15,Journal of Real-Time Image Processing,1.574,0.408
16,Remote Sensing Letters,1.524,0.473
17,Image Analysis & Stereology,1.424,0.312
18,INTERNATIONAL JOURNAL OF IMAGING SYSTEMS AND TECHNOLOGY,1.423,0.402
19,IET Image Processing,1.401,0.305
20,VIRTUAL REALITY,1.375,0.245
21,Photogrammetrie Fernerkundung Geoinformation,1.085,0.193
22,Journal of Applied Remote Sensing,0.976,0.280
23,JOURNAL OF VISUALIZATION,0.971,0.325
24,JOURNAL OF ELECTRONIC IMAGING,0.780,0.196
25,JOURNAL OF IMAGING SCIENCE AND TECHNOLOGY,0.535,0.124
26,IMAGING SCIENCE JOURNAL,0.366,0.087
27,PFG-Journal of Photogrammetry Remote Sensing and Geoinformation Science,Not Available,Not Available
Copyright © 2019 Clarivate Analytics,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,
