"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Categories: 'IMMUNOLOGY' Selected Category Scheme: WoS",,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
1,NATURE REVIEWS IMMUNOLOGY,41.982,20.511
2,Annual Review of Immunology,22.714,16.990
3,NATURE IMMUNOLOGY,21.809,11.314
4,IMMUNITY,19.734,11.465
5,TRENDS IN IMMUNOLOGY,14.188,5.461
6,JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY,13.258,3.879
7,Lancet HIV,11.355,5.548
8,JOURNAL OF EXPERIMENTAL MEDICINE,10.790,6.038
9,IMMUNOLOGICAL REVIEWS,9.217,3.990
10,Cancer Immunology Research,9.188,3.586
11,CLINICAL INFECTIOUS DISEASES,9.117,3.573
12,AUTOIMMUNITY REVIEWS,8.745,2.067
13,Journal for ImmunoTherapy of Cancer,8.374,Not Available
14,CURRENT OPINION IN IMMUNOLOGY,7.932,2.973
15,JOURNAL OF AUTOIMMUNITY,7.607,2.120
16,Cellular & Molecular Immunology,7.551,1.877
17,EMERGING INFECTIOUS DISEASES,7.422,2.562
18,Mucosal Immunology,7.360,2.900
19,SEMINARS IN IMMUNOLOGY,7.206,2.933
20,EXERCISE IMMUNOLOGY REVIEW,7.105,1.836
21,Journal of Allergy and Clinical Immunology-In Practice,6.966,1.905
22,CLINICAL REVIEWS IN ALLERGY & IMMUNOLOGY,6.442,1.441
23,Seminars in Immunopathology,6.437,2.487
24,BRAIN BEHAVIOR AND IMMUNITY,6.306,1.935
25,ALLERGY,6.048,1.938
26,Emerging Microbes & Infections,6.032,2.142
27,Advances in Immunology,5.935,2.490
28,Current Topics in Microbiology and Immunology,5.829,1.670
29,World Allergy Organization Journal,5.676,Not Available
30,Frontiers in Immunology,5.511,1.897
31,OncoImmunology,5.503,1.558
32,INFECTIOUS DISEASE CLINICS OF NORTH AMERICA,5.449,1.556
33,Journal of Neuroinflammation,5.193,1.533
34,INTERNATIONAL IMMUNOLOGY,5.189,1.321
35,JOURNAL OF INFECTIOUS DISEASES,5.186,2.108
36,CLINICAL AND EXPERIMENTAL ALLERGY,5.158,1.456
37,Journal of the International AIDS Society,5.135,2.254
38,AIDS,4.914,1.815
39,JOURNAL OF IMMUNOLOGY,4.539,1.817
40,BONE MARROW TRANSPLANTATION,4.497,1.485
41,BIOLOGY OF BLOOD AND MARROW TRANSPLANTATION,4.484,1.440
42,Current Opinion in HIV and AIDS,4.409,1.573
43,Expert Review of Vaccines,4.271,1.279
44,EUROPEAN JOURNAL OF IMMUNOLOGY,4.248,1.483
45,JOURNAL OF CLINICAL IMMUNOLOGY,4.227,1.069
46,CANCER IMMUNOLOGY IMMUNOTHERAPY,4.225,1.208
47,JOURNAL OF LEUKOCYTE BIOLOGY,4.224,1.473
48,PEDIATRIC ALLERGY AND IMMUNOLOGY,4.137,1.022
49,JAIDS-JOURNAL OF ACQUIRED IMMUNE DEFICIENCY SYNDROMES,4.116,1.478
50,ALLERGOLOGY INTERNATIONAL,4.045,0.893
51,Immunity & Ageing,4.019,0.797
52,TRANSPLANTATION,3.960,1.287
53,Virulence,3.947,1.627
54,Journal of Innate Immunity,3.837,1.290
55,JOURNAL OF IMMUNOTHERAPY,3.826,1.248
56,BIODRUGS,3.825,0.829
57,Allergy Asthma & Immunology Research,3.809,0.733
58,IMMUNOLOGY AND CELL BIOLOGY,3.795,1.449
59,IMMUNOLOGY AND ALLERGY CLINICS OF NORTH AMERICA,3.694,0.866
60,CLINICAL IMMUNOLOGY,3.557,1.223
61,MEDIATORS OF INFLAMMATION,3.549,1.005
62,Current Opinion in Allergy and Clinical Immunology,3.544,1.038
63,CLINICAL AND EXPERIMENTAL IMMUNOLOGY,3.542,0.989
64,Frontiers in Cellular and Infection Microbiology,3.520,1.400
65,CYTOKINE,3.514,0.861
66,Immunotherapy,3.461,0.713
67,JOURNAL OF INVESTIGATIONAL ALLERGOLOGY AND CLINICAL IMMUNOLOGY,3.457,0.695
68,CURRENT ALLERGY AND ASTHMA REPORTS,3.449,0.916
69,Expert Review of Clinical Immunology,3.436,0.972
70,IMMUNOLOGY,3.358,1.223
71,INFLAMMOPHARMACOLOGY,3.304,Not Available
72,Journal of Immunology Research,3.298,0.928
73,VACCINE,3.285,1.054
74,ANNALS OF ALLERGY ASTHMA & IMMUNOLOGY,3.263,0.897
75,INFECTION AND IMMUNITY,3.256,1.137
76,MEDICAL MICROBIOLOGY AND IMMUNOLOGY,3.202,0.830
77,MOLECULAR IMMUNOLOGY,3.188,0.918
78,FISH & SHELLFISH IMMUNOLOGY,3.185,0.497
79,npj Vaccines,3.143,2.036
80,INTERNATIONAL IMMUNOPHARMACOLOGY,3.118,0.624
81,CELLULAR IMMUNOLOGY,2.995,0.763
82,ARCHIVUM IMMUNOLOGIAE ET THERAPIAE EXPERIMENTALIS,2.991,0.698
83,INFLAMMATION RESEARCH,2.990,0.680
84,INTERNATIONAL REVIEWS OF IMMUNOLOGY,2.933,1.050
85,MICROBES AND INFECTION,2.924,0.768
86,DEVELOPMENTAL AND COMPARATIVE IMMUNOLOGY,2.913,0.645
87,INFLAMMATION,2.884,0.601
88,IMMUNOBIOLOGY,2.873,0.849
89,Clinical and Vaccine Immunology,2.872,0.820
90,PARASITE IMMUNOLOGY,2.836,0.667
91,AIDS REVIEWS,2.775,0.964
92,AMERICAN JOURNAL OF REPRODUCTIVE IMMUNOLOGY,2.745,0.735
93,TUBERCULOSIS,2.727,0.789
94,JOURNAL OF NEUROIMMUNOLOGY,2.655,0.698
95,AUTOIMMUNITY,2.648,0.683
96,BMC IMMUNOLOGY,2.615,0.751
97,Journal of Inflammation-London,2.610,0.762
98,IMMUNOLOGICAL INVESTIGATIONS,2.588,0.411
99,FOOD AND AGRICULTURAL IMMUNOLOGY,2.568,0.192
100,HLA,2.558,0.673
101,Immune Network,2.524,Not Available
102,IMMUNOLOGIC RESEARCH,2.487,0.950
103,INTERNATIONAL ARCHIVES OF ALLERGY AND IMMUNOLOGY,2.437,0.633
104,IMMUNOLOGY LETTERS,2.436,0.748
105,JOURNAL OF INTERFERON AND CYTOKINE RESEARCH,2.419,0.658
106,Transplantation Reviews,2.364,1.048
107,GENES AND IMMUNITY,2.339,0.912
108,Pathogens and Disease,2.337,0.856
109,MICROBIAL PATHOGENESIS,2.332,0.493
110,JOURNAL OF REPRODUCTIVE IMMUNOLOGY,2.322,0.738
111,SCANDINAVIAN JOURNAL OF IMMUNOLOGY,2.314,0.564
112,Innate Immunity,2.312,0.700
113,PEDIATRIC INFECTIOUS DISEASE JOURNAL,2.305,0.909
114,NEUROIMMUNOMODULATION,2.238,0.557
115,Human Vaccines & Immunotherapeutics,2.229,0.734
116,JOURNAL OF IMMUNOLOGICAL METHODS,2.190,0.752
117,TRANSFUSION MEDICINE AND HEMOTHERAPY,2.152,0.722
118,Infectious Agents and Cancer,2.123,0.632
119,INTERNATIONAL JOURNAL OF IMMUNOPATHOLOGY AND PHARMACOLOGY,2.117,0.408
120,IMMUNOGENETICS,2.094,0.648
120,JOURNAL OF MICROBIOLOGY IMMUNOLOGY AND INFECTION,2.094,0.519
122,Allergy Asthma and Clinical Immunology,2.051,0.723
123,JOURNAL OF ANTIBIOTICS,2.033,0.598
124,APMIS,2.026,0.555
125,IMMUNOPHARMACOLOGY AND IMMUNOTOXICOLOGY,2.024,0.343
126,Endocrine Metabolic & Immune Disorders-Drug Targets,2.013,Not Available
127,HUMAN IMMUNOLOGY,1.994,0.547
128,AIDS RESEARCH AND HUMAN RETROVIRUSES,1.935,0.616
129,COMPARATIVE IMMUNOLOGY MICROBIOLOGY AND INFECTIOUS DISEASES,1.920,0.616
130,Transplant Infectious Disease,1.869,0.652
131,Central European Journal of Immunology,1.787,0.203
132,EUROPEAN CYTOKINE NETWORK,1.720,0.621
133,TRANSPLANT IMMUNOLOGY,1.655,0.515
134,ALLERGOLOGIA ET IMMUNOPATHOLOGIA,1.644,0.411
135,VETERINARY IMMUNOLOGY AND IMMUNOPATHOLOGY,1.632,0.412
136,CURRENT HIV RESEARCH,1.562,0.602
137,VIRAL IMMUNOLOGY,1.531,0.429
