"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Categories: 'INDUSTRIAL RELATIONS & LABOR' Selected Category Scheme: WoS",,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
1,JOURNAL OF HUMAN RESOURCES,6.531,4.564
2,JOURNAL OF LABOR ECONOMICS,3.607,5.913
3,Human Resources for Health,2.446,0.772
4,Human Resource Management Journal,2.343,0.723
5,WORK AND OCCUPATIONS,2.276,1.191
6,WORK EMPLOYMENT AND SOCIETY,2.195,0.840
7,BRITISH JOURNAL OF INDUSTRIAL RELATIONS,1.953,0.813
8,Human Resource Development Quarterly,1.875,0.437
9,EUROPEAN JOURNAL OF INDUSTRIAL RELATIONS,1.870,0.536
10,ILR Review,1.779,1.355
11,EMPLOYEE RELATIONS,1.645,0.269
12,PERSONNEL REVIEW,1.395,0.308
13,Journal of Industrial Relations,1.392,0.311
14,PUBLIC PERSONNEL MANAGEMENT,1.364,0.180
15,ECONOMIC AND INDUSTRIAL DEMOCRACY,1.361,0.527
16,INDUSTRIAL RELATIONS,1.280,0.857
17,Asia Pacific Journal of Human Resources,1.163,0.300
18,INTERNATIONAL LABOUR REVIEW,0.964,0.340
19,Economic and Labour Relations Review,0.887,0.201
20,LABOR HISTORY,0.725,0.169
21,INTERNATIONAL JOURNAL OF MANPOWER,0.661,0.302
22,MONTHLY LABOR REVIEW,0.508,0.397
23,RELATIONS INDUSTRIELLES-INDUSTRIAL RELATIONS,0.431,0.169
24,INTERNATIONAL LABOR AND WORKING-CLASS HISTORY,0.429,0.354
25,JOURNAL OF LABOR RESEARCH,0.395,0.180
26,LABOUR-LE TRAVAIL,0.189,0.069
27,Labour History,0.182,0.177
Copyright © 2019 Clarivate Analytics,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,
