"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Categories: 'INFECTIOUS DISEASES' Selected Category Scheme: WoS",,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
1,LANCET INFECTIOUS DISEASES,25.148,9.418
2,Lancet HIV,11.355,5.548
3,CLINICAL INFECTIOUS DISEASES,9.117,3.573
4,EMERGING INFECTIOUS DISEASES,7.422,2.562
5,Eurosurveillance,7.127,2.292
6,INFECTIOUS DISEASE CLINICS OF NORTH AMERICA,5.449,1.556
7,CLINICAL MICROBIOLOGY AND INFECTION,5.394,1.981
8,JOURNAL OF ANTIMICROBIAL CHEMOTHERAPY,5.217,1.645
9,JOURNAL OF INFECTIOUS DISEASES,5.186,2.108
10,Journal of the International AIDS Society,5.135,2.254
11,AIDS,4.914,1.815
12,INTERNATIONAL JOURNAL OF HYGIENE AND ENVIRONMENTAL HEALTH,4.848,1.033
13,Current HIV/AIDS Reports,4.710,1.523
14,JOURNAL OF INFECTION,4.603,1.522
15,Travel Medicine and Infectious Disease,4.450,0.923
16,Current Opinion in HIV and AIDS,4.409,1.573
17,ACS Infectious Diseases,4.325,1.488
18,INTERNATIONAL JOURNAL OF ANTIMICROBIAL AGENTS,4.253,1.279
19,JOURNAL OF VIRAL HEPATITIS,4.237,1.112
20,JAIDS-JOURNAL OF ACQUIRED IMMUNE DEFICIENCY SYNDROMES,4.116,1.478
21,AIDS PATIENT CARE AND STDS,4.041,1.254
22,Virulence,3.947,1.627
23,CURRENT OPINION IN INFECTIOUS DISEASES,3.782,1.492
24,Antimicrobial Resistance and Infection Control,3.568,1.111
25,Transboundary and Emerging Diseases,3.504,0.822
26,Infection and Drug Resistance,3.443,Not Available
27,Epidemics,3.364,1.198
28,JOURNAL OF HOSPITAL INFECTION,3.354,0.992
29,SEXUALLY TRANSMITTED INFECTIONS,3.346,1.108
30,INFECTION AND IMMUNITY,3.256,1.137
31,Open Forum Infectious Diseases,3.240,Not Available
32,INTERNATIONAL JOURNAL OF INFECTIOUS DISEASES,3.202,0.919
33,INFECTION CONTROL AND HOSPITAL EPIDEMIOLOGY,3.084,1.372
34,Influenza and Other Respiratory Viruses,2.954,0.896
35,HIV MEDICINE,2.932,1.058
36,MICROBES AND INFECTION,2.924,0.768
37,Clinical and Vaccine Immunology,2.872,0.820
38,MALARIA JOURNAL,2.845,0.851
39,MEDICAL MYCOLOGY,2.799,0.744
40,AIDS REVIEWS,2.775,0.964
41,INFECTION,2.773,0.739
42,Infectious Diseases of Poverty,2.708,0.908
43,Zoonoses and Public Health,2.688,0.768
44,BMC INFECTIOUS DISEASES,2.620,0.976
45,Ticks and Tick-Borne Diseases,2.612,0.848
46,INFECTION GENETICS AND EVOLUTION,2.545,0.781
47,EUROPEAN JOURNAL OF CLINICAL MICROBIOLOGY & INFECTIOUS DISEASES,2.537,0.802
48,Journal of the Pediatric Infectious Diseases Society,2.456,Not Available
49,INTERNATIONAL JOURNAL OF TUBERCULOSIS AND LUNG DISEASE,2.392,0.866
50,AIDS Research and Therapy,2.357,0.751
51,Microbial Drug Resistance,2.344,0.646
52,DIAGNOSTIC MICROBIOLOGY AND INFECTIOUS DISEASE,2.341,0.737
53,Pathogens and Disease,2.337,0.856
54,PEDIATRIC INFECTIOUS DISEASE JOURNAL,2.305,0.909
55,VECTOR-BORNE AND ZOONOTIC DISEASES,2.171,0.826
56,ANTIVIRAL THERAPY,2.146,0.705
57,Journal of Infection and Public Health,2.118,Not Available
58,JOURNAL OF MICROBIOLOGY IMMUNOLOGY AND INFECTION,2.094,0.519
59,Current Infectious Disease Reports,2.085,0.502
60,Brazilian Journal of Infectious Diseases,2.083,0.500
61,EPIDEMIOLOGY AND INFECTION,2.044,0.741
62,Journal of Global Antimicrobial Resistance,2.022,0.498
63,SEXUALLY TRANSMITTED DISEASES,1.981,0.961
64,AIDS RESEARCH AND HUMAN RETROVIRUSES,1.935,0.616
65,Infectious Diseases,1.932,0.580
66,AMERICAN JOURNAL OF INFECTION CONTROL,1.929,0.749
67,Transplant Infectious Disease,1.869,0.652
68,JOURNAL OF TRAVEL MEDICINE,1.800,0.562
69,JOURNAL OF INFECTION AND CHEMOTHERAPY,1.777,0.459
70,ENFERMEDADES INFECCIOSAS Y MICROBIOLOGIA CLINICA,1.707,0.367
71,Surgical Infections,1.689,0.588
72,CURRENT HIV RESEARCH,1.562,0.602
73,INTERNATIONAL JOURNAL OF STD & AIDS,1.494,0.424
74,JOURNAL OF CHEMOTHERAPY,1.490,0.399
75,HIV CLINICAL TRIALS,1.379,0.543
76,Journal of Infection in Developing Countries,1.330,0.389
77,MEDECINE ET MALADIES INFECTIEUSES,1.307,0.525
78,Canadian Journal of Infectious Diseases & Medical Microbiology,1.271,0.389
79,Sexual Health,1.246,0.437
80,Mediterranean Journal of Hematology and Infectious Diseases,1.183,Not Available
81,SOUTHERN AFRICAN JOURNAL OF HIV MEDICINE,1.089,0.357
82,JAPANESE JOURNAL OF INFECTIOUS DISEASES,1.014,0.309
83,JOURNAL OF VECTOR BORNE DISEASES,0.886,0.325
84,SOUTHEAST ASIAN JOURNAL OF TROPICAL MEDICINE AND PUBLIC HEALTH,0.817,0.202
85,LEPROSY REVIEW,0.752,0.253
86,Revista Chilena de Infectologia,0.418,0.087
87,Boletin de Malariologia y Salud Ambiental,0.214,0.053
88,Journal of Pediatric Infectious Diseases,0.115,Not Available
Copyright © 2019 Clarivate Analytics,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,
