"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Categories: 'INFORMATION SCIENCE & LIBRARY SCIENCE' Selected Category Scheme: WoS",,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
1,MIS QUARTERLY,5.430,3.262
2,JOURNAL OF INFORMATION TECHNOLOGY,4.535,1.069
3,INTERNATIONAL JOURNAL OF INFORMATION MANAGEMENT,4.516,0.716
4,JOURNAL OF STRATEGIC INFORMATION SYSTEMS,4.313,0.922
5,JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION,4.270,1.334
6,INFORMATION SYSTEMS JOURNAL,4.267,1.062
7,GOVERNMENT INFORMATION QUARTERLY,4.009,0.683
8,Journal of Computer-Mediated Communication,4.000,2.032
9,INFORMATION & MANAGEMENT,3.890,0.859
10,TELEMATICS AND INFORMATICS,3.789,0.600
11,Journal of Informetrics,3.484,0.804
12,INFORMATION PROCESSING & MANAGEMENT,3.444,0.623
13,International Journal of Computer-Supported Collaborative Learning,3.273,0.537
14,SOCIAL SCIENCE COMPUTER REVIEW,3.253,1.134
15,EUROPEAN JOURNAL OF INFORMATION SYSTEMS,3.197,1.138
16,Journal of the Association for Information Systems,2.839,1.100
17,Journal of the Association for Information Science and Technology,2.835,0.738
18,JOURNAL OF MANAGEMENT INFORMATION SYSTEMS,2.744,1.264
19,Journal of Knowledge Management,2.551,0.309
20,Journal of Enterprise Information Management,2.482,Not Available
21,RESEARCH EVALUATION,2.449,0.657
22,QUALITATIVE HEALTH RESEARCH,2.413,0.715
23,INTERNATIONAL JOURNAL OF GEOGRAPHICAL INFORMATION SCIENCE,2.370,0.613
24,INFORMATION SYSTEMS RESEARCH,2.301,2.239
25,SCIENTOMETRICS,2.173,0.502
26,TELECOMMUNICATIONS POLICY,2.087,0.361
27,JOURNAL OF INFORMATION SCIENCE,1.939,0.442
28,INFORMATION SOCIETY,1.889,0.698
29,MIS Quarterly Executive,1.862,0.518
30,Information and Organization,1.857,0.970
31,ONLINE INFORMATION REVIEW,1.675,0.360
32,JOURNAL OF HEALTH COMMUNICATION,1.648,0.807
33,Information Technology & People,1.639,0.325
34,Information Technology & Management,1.635,0.290
35,LEARNED PUBLISHING,1.632,0.354
36,COLLEGE & RESEARCH LIBRARIES,1.626,0.301
37,JOURNAL OF THE MEDICAL LIBRARY ASSOCIATION,1.541,0.309
38,PORTAL-LIBRARIES AND THE ACADEMY,1.473,0.275
39,Aslib Journal of Information Management,1.461,0.380
40,JOURNAL OF ACADEMIC LIBRARIANSHIP,1.459,0.248
41,Information Technology for Development,1.387,0.222
42,LIBRARY & INFORMATION SCIENCE RESEARCH,1.372,0.364
43,Profesional de la Informacion,1.318,0.095
44,Health Information and Libraries Journal,1.190,0.243
45,PROGRAM-ELECTRONIC LIBRARY AND INFORMATION SYSTEMS,1.170,0.211
46,JOURNAL OF DOCUMENTATION,1.157,0.277
47,JOURNAL OF LIBRARIANSHIP AND INFORMATION SCIENCE,1.089,0.306
48,Ethics and Information Technology,1.080,0.366
49,Journal of Global Information Technology Management,1.000,0.147
50,INFORMATION TECHNOLOGY AND LIBRARIES,0.968,0.166
