"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Categories: 'INTEGRATIVE & COMPLEMENTARY MEDICINE' Selected Category Scheme: WoS",,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
1,Journal of Ginseng Research,4.053,0.676
2,PHYTOMEDICINE,3.610,0.683
3,AMERICAN JOURNAL OF CHINESE MEDICINE,3.120,0.418
4,JOURNAL OF ETHNOPHARMACOLOGY,3.115,0.623
5,INTEGRATIVE CANCER THERAPIES,2.657,0.646
6,PLANTA MEDICA,2.494,0.518
7,Acupuncture in Medicine,2.275,0.373
8,BMC Complementary and Alternative Medicine,2.109,0.495
9,COMPLEMENTARY THERAPIES IN MEDICINE,2.084,0.578
10,Evidence-based Complementary and Alternative Medicine,2.064,0.494
11,Chinese Journal of Natural Medicines,1.991,0.326
12,Chinese Medicine,1.802,0.375
13,Complementary Therapies in Clinical Practice,1.701,Not Available
14,Journal of Herbal Medicine,1.685,0.358
15,Homeopathy,1.524,0.202
16,JOURNAL OF ALTERNATIVE AND COMPLEMENTARY MEDICINE,1.498,0.421
17,JOURNAL OF MANIPULATIVE AND PHYSIOLOGICAL THERAPEUTICS,1.426,0.354
18,Chinese Journal of Integrative Medicine,1.346,0.274
19,ALTERNATIVE THERAPIES IN HEALTH AND MEDICINE,1.011,0.332
20,FORSCHENDE KOMPLEMENTARMEDIZIN,1.000,0.228
21,Explore-The Journal of Science and Healing,0.991,0.312
22,Journal of Traditional Chinese Medicine,0.857,0.197
23,European Journal of Integrative Medicine,0.698,0.163
24,Holistic Nursing Practice,0.606,0.143
25,Boletin Latinoamericano y del Caribe de Plantas Medicinales y Aromaticas,0.560,0.095
26,ACUPUNCTURE & ELECTRO-THERAPEUTICS RESEARCH,0.435,0.129
27,Complementary Medicine Research,Not Available,Not Available
Copyright © 2019 Clarivate Analytics,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,
