"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Categories: 'LIMNOLOGY' Selected Category Scheme: WoS",,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
1,WATER RESOURCES RESEARCH,4.361,1.437
2,AQUATIC SCIENCES,3.622,1.011
3,LIMNOLOGY AND OCEANOGRAPHY,3.595,1.455
4,JOURNAL OF GREAT LAKES RESEARCH,2.354,0.598
5,JOURNAL OF PALEOLIMNOLOGY,2.168,0.660
6,LIMNOLOGY AND OCEANOGRAPHY-METHODS,2.015,0.928
7,AQUATIC ECOLOGY,1.978,0.570
8,LIMNOLOGICA,1.814,0.529
9,MARINE AND FRESHWATER RESEARCH,1.674,0.546
10,Inland Waters,1.663,0.609
11,Fundamental and Applied Limnology,1.361,0.351
12,JOURNAL OF LIMNOLOGY,1.277,0.474
13,WATER AND ENVIRONMENT JOURNAL,1.224,0.276
14,LIMNOLOGY,1.130,0.341
15,LAKE AND RESERVOIR MANAGEMENT,1.016,0.224
16,JOURNAL OF FRESHWATER ECOLOGY,0.979,0.259
17,ANNALES DE LIMNOLOGIE-INTERNATIONAL JOURNAL OF LIMNOLOGY,0.889,0.344
18,WATER ENVIRONMENT RESEARCH,0.825,0.155
19,LIMNETICA,0.736,0.234
20,CHINESE JOURNAL OF OCEANOLOGY AND LIMNOLOGY,0.717,0.188
Copyright © 2019 Clarivate Analytics,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,
