"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Categories: 'LINGUISTICS' Selected Category Scheme: WoS",,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
1,Annual Review of Applied Linguistics,4.880,1.496
2,JOURNAL OF SECOND LANGUAGE WRITING,3.324,1.306
3,APPLIED LINGUISTICS,3.225,1.401
4,BRAIN AND LANGUAGE,2.851,1.143
5,JOURNAL OF MEMORY AND LANGUAGE,2.829,1.949
6,MODERN LANGUAGE JOURNAL,2.789,0.705
7,Bilingualism-Language and Cognition,2.707,1.077
8,STUDIES IN SECOND LANGUAGE ACQUISITION,2.702,1.091
9,LANGUAGE,2.340,1.524
10,TESOL QUARTERLY,2.256,0.948
11,Language Teaching,2.255,0.961
12,Language Acquisition,2.250,0.681
13,ReCALL,2.206,0.811
14,LANGUAGE LEARNING & TECHNOLOGY,2.113,0.587
15,English World-Wide,2.100,0.958
16,Language Cognition and Neuroscience,2.086,0.716
16,Language Teaching Research,2.086,0.682
18,Annual Review of Linguistics,2.000,0.884
18,THEORETICAL LINGUISTICS,2.000,0.786
20,Computer Assisted Language Learning,1.928,0.462
21,Assessing Writing,1.906,Not Available
21,JOURNAL OF SPEECH LANGUAGE AND HEARING RESEARCH,1.906,0.722
23,COGNITIVE LINGUISTICS,1.902,0.771
24,APPLIED PSYCHOLINGUISTICS,1.836,0.770
25,RESEARCH ON LANGUAGE AND SOCIAL INTERACTION,1.826,1.155
26,JOURNAL OF CHILD LANGUAGE,1.791,0.779
27,International Journal of Bilingual Education and Bilingualism,1.765,0.533
28,JOURNAL OF FLUENCY DISORDERS,1.727,0.504
29,AMERICAN JOURNAL OF SPEECH-LANGUAGE PATHOLOGY,1.713,0.631
30,JOURNAL OF COMMUNICATION DISORDERS,1.696,0.581
31,Language Culture and Curriculum,1.658,0.402
32,LANGUAGE LEARNING,1.655,1.169
33,Journal of Linguistic Anthropology,1.636,0.557
34,JOURNAL OF SOCIOLINGUISTICS,1.623,0.744
35,MIND & LANGUAGE,1.596,0.615
36,JOURNAL OF NEUROLINGUISTICS,1.547,0.514
36,SYSTEM,1.547,0.424
38,JOURNAL OF PHONETICS,1.519,0.716
39,INTERNATIONAL JOURNAL OF LANGUAGE & COMMUNICATION DISORDERS,1.508,0.677
40,Journal of Semantics,1.500,0.626
41,International Journal of Bilingualism,1.463,0.600
42,Language and Cognition,1.444,Not Available
43,International Journal of Speech-Language Pathology,1.441,0.483
44,Language Testing,1.431,0.614
45,LANGUAGE IN SOCIETY,1.426,0.879
46,Journal of English for Academic Purposes,1.420,0.604
47,ENGLISH FOR SPECIFIC PURPOSES,1.362,0.545
48,Linguistic Approaches to Bilingualism,1.349,0.604
49,LINGUISTICS AND PHILOSOPHY,1.321,0.499
50,COMPUTATIONAL LINGUISTICS,1.319,0.674
51,Applied Linguistics Review,1.286,Not Available
52,ELT Journal,1.276,0.284
52,Phonology,1.276,0.494
54,Language and Education,1.262,0.453
55,LINGUISTIC INQUIRY,1.256,0.750
56,IRAL-INTERNATIONAL REVIEW OF APPLIED LINGUISTICS IN LANGUAGE TEACHING,1.242,0.393
57,SECOND LANGUAGE RESEARCH,1.239,0.800
58,LANGUAGE AND SPEECH,1.235,0.610
59,JOURNAL OF LANGUAGE AND SOCIAL PSYCHOLOGY,1.233,0.557
60,Corpus Linguistics and Linguistic Theory,1.200,0.530
61,Language Policy,1.195,0.426
62,CLINICAL LINGUISTICS & PHONETICS,1.191,0.352
63,Language Variation and Change,1.172,0.822
64,NATURAL LANGUAGE & LINGUISTIC THEORY,1.130,0.598
65,Intercultural Pragmatics,1.125,0.379
66,Argumentation,1.114,0.168
67,Language Awareness,1.077,0.272
68,Journal of Historical Pragmatics,1.063,0.147
69,Language and Intercultural Communication,1.061,0.261
70,LANGUAGE & COMMUNICATION,1.051,0.409
71,JOURNAL OF PRAGMATICS,1.039,0.559
72,JOURNAL OF LINGUISTICS,1.030,0.525
73,Journal of Politeness Research-Language Behaviour Culture,1.000,0.563
73,Laboratory Phonology,1.000,Not Available
