"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Categories: 'LOGIC' Selected Category Scheme: WoS",,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
1,Journal of Mathematical Logic,1.222,1.997
2,ANNALS OF PURE AND APPLIED LOGIC,1.000,0.930
3,THEORY AND PRACTICE OF LOGIC PROGRAMMING,0.875,0.526
4,Review of Symbolic Logic,0.831,0.381
5,JOURNAL OF SYMBOLIC LOGIC,0.793,0.808
6,JOURNAL OF LOGIC AND COMPUTATION,0.740,0.436
7,ACM Transactions on Computational Logic,0.731,0.485
8,Journal of Logical and Algebraic Methods in Programming,0.634,0.266
9,BULLETIN OF SYMBOLIC LOGIC,0.613,0.757
10,Journal of Logic Language and Information,0.536,Not Available
11,Algebra and Logic,0.527,0.261
12,MATHEMATICAL LOGIC QUARTERLY,0.522,0.405
13,ARCHIVE FOR MATHEMATICAL LOGIC,0.519,0.595
14,Logical Methods in Computer Science,0.508,0.370
15,Studia Logica,0.450,0.331
16,LOGIC JOURNAL OF THE IGPL,0.449,0.201
17,JOURNAL OF MULTIPLE-VALUED LOGIC AND SOFT COMPUTING,0.437,0.113
18,Notre Dame Journal of Formal Logic,0.403,0.481
19,HISTORY AND PHILOSOPHY OF LOGIC,0.294,0.127
20,Reports on Mathematical Logic,0.267,0.157
Copyright © 2019 Clarivate Analytics,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,
