"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Categories: 'MANAGEMENT' Selected Category Scheme: WoS",,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
1,Academy of Management Annals,9.281,8.618
2,ACADEMY OF MANAGEMENT REVIEW,8.855,6.392
3,JOURNAL OF MANAGEMENT,8.080,4.705
4,ACADEMY OF MANAGEMENT JOURNAL,6.700,5.301
5,INTERNATIONAL JOURNAL OF MANAGEMENT REVIEWS,6.489,2.155
6,JOURNAL OF INTERNATIONAL BUSINESS STUDIES,6.198,2.235
7,Journal of Supply Chain Management,6.105,1.648
8,TOURISM MANAGEMENT,5.921,1.007
9,ADMINISTRATIVE SCIENCE QUARTERLY,5.878,6.248
10,Annual Review of Organizational Psychology and Organizational Behavior,5.775,4.081
11,PERSONNEL PSYCHOLOGY,5.523,3.454
12,STRATEGIC MANAGEMENT JOURNAL,5.482,3.109
13,MIS QUARTERLY,5.430,3.262
14,Business Strategy and the Environment,5.355,0.815
15,JOURNAL OF MANAGEMENT STUDIES,5.329,2.921
16,ORGANIZATION & ENVIRONMENT,5.049,1.160
17,Corporate Social Responsibility and Environmental Management,4.918,0.556
17,ORGANIZATIONAL RESEARCH METHODS,4.918,3.996
19,JOURNAL OF OPERATIONS MANAGEMENT,4.899,2.265
20,TECHNOVATION,4.802,0.942
21,Academy of Management Perspectives,4.686,2.643
22,RESEARCH POLICY,4.661,1.877
23,JOURNAL OF APPLIED PSYCHOLOGY,4.643,3.031
24,JOURNAL OF INFORMATION TECHNOLOGY,4.535,1.069
25,HARVARD BUSINESS REVIEW,4.374,1.724
26,INTERNATIONAL JOURNAL OF PROJECT MANAGEMENT,4.328,0.644
27,JOURNAL OF STRATEGIC INFORMATION SYSTEMS,4.313,0.922
28,OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE,4.311,1.495
29,JOURNAL OF PRODUCT INNOVATION MANAGEMENT,4.305,1.037
30,JOURNAL OF ORGANIZATIONAL BEHAVIOR,4.229,2.165
31,INTERNATIONAL JOURNAL OF PHYSICAL DISTRIBUTION & LOGISTICS MANAGEMENT,4.215,0.641
32,International Small Business Journal-Researching Entrepreneurship,3.900,0.668
33,INFORMATION & MANAGEMENT,3.890,0.859
