"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Categories: 'MARINE & FRESHWATER BIOLOGY' Selected Category Scheme: WoS",,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
1,Annual Review of Marine Science,12.867,6.441
2,Oceanography and Marine Biology,5.071,1.902
3,HARMFUL ALGAE,4.138,0.938
4,AQUATIC TOXICOLOGY,3.884,0.802
5,FRESHWATER BIOLOGY,3.767,1.037
6,AQUATIC SCIENCES,3.622,1.011
7,MICROBIAL ECOLOGY,3.614,0.974
8,REVIEWS IN FISH BIOLOGY AND FISHERIES,3.299,1.153
9,MARINE POLLUTION BULLETIN,3.241,0.702
10,FISH & SHELLFISH IMMUNOLOGY,3.185,0.497
11,MARINE ENVIRONMENTAL RESEARCH,3.159,0.804
12,CORAL REEFS,3.095,0.992
13,JOURNAL OF PHYCOLOGY,3.000,0.868
14,AQUATIC CONSERVATION-MARINE AND FRESHWATER ECOSYSTEMS,2.988,0.753
15,ICES JOURNAL OF MARINE SCIENCE,2.906,0.871
16,BIOFOULING,2.786,0.709
17,AQUACULTURE,2.710,0.601
18,CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES,2.631,0.869
19,JOURNAL OF MARINE SYSTEMS,2.506,0.818
20,Freshwater Science,2.489,0.850
21,EUROPEAN JOURNAL OF PHYCOLOGY,2.481,0.634
22,Estuaries and Coasts,2.421,0.823
23,ESTUARINE COASTAL AND SHELF SCIENCE,2.413,0.741
24,JOURNAL OF APPLIED PHYCOLOGY,2.401,0.493
25,JOURNAL OF GREAT LAKES RESEARCH,2.354,0.598
26,MARINE BIOTECHNOLOGY,2.328,0.684
27,INTERNATIONAL REVIEW OF HYDROBIOLOGY,2.281,0.556
28,MARINE ECOLOGY PROGRESS SERIES,2.276,0.800
29,Advances in Marine Biology,2.225,1.143
30,MARINE BIOLOGY,2.215,0.720
31,HYDROBIOLOGIA,2.165,0.631
32,Aquaculture Environment Interactions,2.105,0.571
