"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Categories: 'MATERIALS SCIENCE, CERAMICS' Selected Category Scheme: WoS",,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
1,JOURNAL OF THE EUROPEAN CERAMIC SOCIETY,3.794,0.679
2,CERAMICS INTERNATIONAL,3.057,0.437
3,JOURNAL OF THE AMERICAN CERAMIC SOCIETY,2.956,0.643
4,JOURNAL OF NON-CRYSTALLINE SOLIDS,2.488,0.427
5,International Journal of Applied Glass Science,1.912,0.631
6,JOURNAL OF SOL-GEL SCIENCE AND TECHNOLOGY,1.745,0.277
7,Journal of Advanced Ceramics,1.605,0.346
8,JOURNAL OF ELECTROCERAMICS,1.238,0.323
9,International Journal of Applied Ceramic Technology,1.165,0.242
10,Processing and Application of Ceramics,1.152,Not Available
11,Advances in Applied Ceramics,1.092,0.216
12,Journal of Ceramic Science and Technology,1.069,0.236
13,BOLETIN DE LA SOCIEDAD ESPANOLA DE CERAMICA Y VIDRIO,1.049,0.100
14,AMERICAN CERAMIC SOCIETY BULLETIN,0.980,0.249
15,JOURNAL OF THE CERAMIC SOCIETY OF JAPAN,0.887,0.175
16,Transactions of the Indian Ceramic Society,0.761,0.125
17,GLASS PHYSICS AND CHEMISTRY,0.699,0.093
18,Physics and Chemistry of Glasses-European Journal of Glass Science and Technology Part B,0.696,0.139
19,CERAMICS-SILIKATY,0.680,0.170
20,SCIENCE OF SINTERING,0.667,0.143
21,Journal of the Australian Ceramic Society,0.587,0.143
22,REFRACTORIES AND INDUSTRIAL CERAMICS,0.542,0.052
23,JOURNAL OF INORGANIC MATERIALS,0.490,0.063
24,GLASS AND CERAMICS,0.473,0.051
25,JOURNAL OF CERAMIC PROCESSING RESEARCH,0.327,0.074
26,POWDER METALLURGY AND METAL CERAMICS,0.326,0.053
27,Glass Technology-European Journal of Glass Science and Technology Part A,0.282,0.105
Copyright © 2019 Clarivate Analytics,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,
