"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Categories: 'MATERIALS SCIENCE, BIOMATERIALS' Selected Category Scheme: WoS",,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
1,BIOMATERIALS,8.806,1.960
2,Biofabrication,6.838,1.399
3,Acta Biomaterialia,6.383,1.432
4,Biomaterials Science,5.831,1.021
5,Advanced Healthcare Materials,5.609,1.369
6,Materials Science & Engineering C-Materials for Biological Applications,5.080,0.694
7,Journal of Biomedical Nanotechnology,5.068,0.584
8,Journal of Materials Chemistry B,4.776,0.961
9,ACS Biomaterials Science & Engineering,4.432,0.984
10,DENTAL MATERIALS,4.039,0.989
11,COLLOIDS AND SURFACES B-BIOINTERFACES,3.997,0.738
12,EUROPEAN CELLS & MATERIALS,3.667,1.118
13,MACROMOLECULAR BIOSCIENCE,3.392,0.737
14,JOURNAL OF BIOMEDICAL MATERIALS RESEARCH PART B-APPLIED BIOMATERIALS,3.373,0.631
15,Journal of the Mechanical Behavior of Biomedical Materials,3.239,0.791
16,JOURNAL OF BIOMEDICAL MATERIALS RESEARCH PART A,3.231,0.629
17,Artificial Cells Nanomedicine and Biotechnology,3.026,0.307
18,Journal of Biobased Materials and Bioenergy,2.993,0.147
19,Biomedical Materials,2.897,0.643
20,Bioinspiration & Biomimetics,2.727,0.831
21,Biointerphases,2.455,0.600
22,JOURNAL OF MATERIALS SCIENCE-MATERIALS IN MEDICINE,2.448,0.498
23,Journal of Bionic Engineering,2.325,0.387
24,International Journal of Polymeric Materials and Polymeric Biomaterials,2.127,0.235
25,JOURNAL OF BIOMATERIALS APPLICATIONS,2.082,0.404
26,JOURNAL OF BIOMATERIALS SCIENCE-POLYMER EDITION,1.911,0.322
27,JOURNAL OF BIOACTIVE AND COMPATIBLE POLYMERS,1.598,0.258
28,Journal of Applied Biomaterials & Functional Materials,1.397,0.276
29,DENTAL MATERIALS JOURNAL,1.205,0.295
30,CELLULAR POLYMERS,1.000,0.129
31,BIO-MEDICAL MATERIALS AND ENGINEERING,0.872,0.181
32,Journal of Oral Science,0.853,0.251
33,Bioinspired Biomimetic and Nanobiomaterials,0.784,0.138
Copyright © 2019 Clarivate Analytics,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,
