"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Categories: 'MATERIALS SCIENCE, COATINGS & FILMS' Selected Category Scheme: WoS",,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
1,APPLIED SURFACE SCIENCE,4.439,0.627
2,JOURNAL OF THE ELECTROCHEMICAL SOCIETY,3.662,0.726
3,PROGRESS IN ORGANIC COATINGS,2.955,0.461
4,SURFACE & COATINGS TECHNOLOGY,2.906,0.517
5,Coatings,2.350,0.510
6,CHEMICAL VAPOR DEPOSITION,2.227,0.457
7,SURFACE ENGINEERING,1.978,0.257
8,JOURNAL OF THERMAL SPRAY TECHNOLOGY,1.949,0.376
9,THIN SOLID FILMS,1.939,0.356
10,JOURNAL OF VACUUM SCIENCE & TECHNOLOGY A,1.761,0.485
11,CORROSION REVIEWS,1.660,0.571
12,Journal of Coatings Technology and Research,1.619,0.301
13,JOURNAL OF PLASTIC FILM & SHEETING,1.333,0.179
14,Surface Innovations,1.268,0.276
15,International Journal of Surface Science and Engineering,0.841,0.094
16,TRANSACTIONS OF THE INSTITUTE OF METAL FINISHING,0.590,0.152
17,Pigment & Resin Technology,0.486,0.091
18,JCT COATINGSTECH,0.035,0.009
19,SURFACE COATINGS INTERNATIONAL,0.000,0.000
Copyright © 2019 Clarivate Analytics,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,
