"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Categories: 'MATERIALS SCIENCE, COMPOSITES' Selected Category Scheme: WoS",,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
1,COMPOSITES SCIENCE AND TECHNOLOGY,5.160,0.988
2,COMPOSITES PART B-ENGINEERING,4.920,0.903
3,CEMENT & CONCRETE COMPOSITES,4.660,1.421
4,COMPOSITES PART A-APPLIED SCIENCE AND MANUFACTURING,4.514,0.895
5,COMPOSITE STRUCTURES,4.101,0.938
6,STEEL AND COMPOSITE STRUCTURES,3.594,0.467
7,JOURNAL OF SANDWICH STRUCTURES & MATERIALS,2.776,0.641
8,MECHANICS OF ADVANCED MATERIALS AND STRUCTURES,2.645,0.483
9,JOURNAL OF COMPOSITES FOR CONSTRUCTION,2.592,0.861
10,CHEMICAL VAPOR DEPOSITION,2.227,0.457
11,POLYMER COMPOSITES,1.943,0.364
12,JOURNAL OF COMPOSITE MATERIALS,1.613,0.357
13,JOURNAL OF REINFORCED PLASTICS AND COMPOSITES,1.471,0.300
14,APPLIED COMPOSITE MATERIALS,1.333,0.349
15,ADVANCED COMPOSITE MATERIALS,1.124,0.221
16,COMPOSITE INTERFACES,1.048,0.168
17,Journal of Renewable Materials,0.986,0.188
18,JOURNAL OF THERMOPLASTIC COMPOSITE MATERIALS,0.912,0.163
19,PLASTICS RUBBER AND COMPOSITES,0.848,0.136
20,Beton- und Stahlbetonbau,0.717,0.154
21,SCIENCE AND ENGINEERING OF COMPOSITE MATERIALS,0.619,0.109
22,Progress in Rubber Plastics and Recycling Technology,0.559,0.052
23,MECHANICS OF COMPOSITE MATERIALS,0.490,0.127
24,Cement Wapno Beton,0.468,0.071
25,POLYMERS & POLYMER COMPOSITES,0.461,0.095
26,ADVANCED COMPOSITES LETTERS,0.422,0.087
Copyright © 2019 Clarivate Analytics,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,
