"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Categories: 'MATERIALS SCIENCE, PAPER & WOOD' Selected Category Scheme: WoS",,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
1,CELLULOSE,3.809,0.702
2,HOLZFORSCHUNG,2.079,0.265
3,WOOD SCIENCE AND TECHNOLOGY,1.706,0.449
4,JOURNAL OF WOOD CHEMISTRY AND TECHNOLOGY,1.418,0.290
5,JOURNAL OF WOOD SCIENCE,1.413,0.276
6,European Journal of Wood and Wood Products,1.401,0.328
7,BioResources,1.202,0.257
8,NORDIC PULP & PAPER RESEARCH JOURNAL,1.131,0.266
9,Maderas-Ciencia y Tecnologia,1.014,0.167
10,WOOD AND FIBER SCIENCE,0.786,0.216
11,CELLULOSE CHEMISTRY AND TECHNOLOGY,0.764,0.151
12,WOOD RESEARCH,0.642,0.096
13,Drvna Industrija,0.616,0.093
14,TAPPI JOURNAL,0.516,0.117
15,FOREST PRODUCTS JOURNAL,0.488,0.199
16,J-FOR-Journal of Science & Technology for Forest Products and Processes,0.475,0.162
17,Drewno,0.311,0.067
18,APPITA,0.186,0.075
19,PULP & PAPER-CANADA,0.098,0.018
20,MOKUZAI GAKKAISHI,0.057,0.017
21,WOCHENBLATT FUR PAPIERFABRIKATION,0.005,0.000
Copyright © 2019 Clarivate Analytics,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,
