"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Categories: 'MATERIALS SCIENCE, TEXTILES' Selected Category Scheme: WoS",,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
1,CELLULOSE,3.809,0.702
2,DYES AND PIGMENTS,3.767,0.534
3,TEXTILE RESEARCH JOURNAL,1.540,0.288
4,FIBERS AND POLYMERS,1.353,0.223
5,Journal of Industrial Textiles,1.283,0.283
6,JOURNAL OF THE TEXTILE INSTITUTE,1.174,0.196
7,COLORATION TECHNOLOGY,1.168,0.196
8,JOURNAL OF VINYL & ADDITIVE TECHNOLOGY,1.131,0.179
9,Journal of Natural Fibers,1.076,0.158
10,Autex Research Journal,0.957,0.178
11,WOOD AND FIBER SCIENCE,0.786,0.216
12,JOURNAL OF THE AMERICAN LEATHER CHEMISTS ASSOCIATION,0.699,0.084
13,Journal of Engineered Fibers and Fabrics,0.678,0.193
14,Journal of Fiber Science and Technology,0.605,0.089
15,FIBRES & TEXTILES IN EASTERN EUROPE,0.577,0.122
16,International Journal of Clothing Science and Technology,0.569,0.102
17,JOURNAL OF THE SOCIETY OF LEATHER TECHNOLOGISTS AND CHEMISTS,0.476,0.067
18,Industria Textila,0.438,0.035
19,INDIAN JOURNAL OF FIBRE & TEXTILE RESEARCH,0.366,0.144
20,AATCC Journal of Research,0.340,0.091
21,AATCC REVIEW,0.333,0.030
22,FIBRE CHEMISTRY,0.332,0.021
23,Tekstil ve Konfeksiyon,0.266,0.072
24,SEN-I GAKKAISHI,0.109,0.018
Copyright © 2019 Clarivate Analytics,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,
