"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Categories: 'MATHEMATICAL & COMPUTATIONAL BIOLOGY' Selected Category Scheme: WoS",,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
1,Wiley Interdisciplinary Reviews-Computational Molecular Science,8.836,5.670
2,BRIEFINGS IN BIOINFORMATICS,6.302,2.943
3,BIOINFORMATICS,5.481,3.979
4,Database-The Journal of Biological Databases and Curation,3.978,1.514
5,PLoS Computational Biology,3.955,2.178
6,IEEE Journal of Biomedical and Health Informatics,3.850,0.855
7,Research Synthesis Methods,3.218,3.343
8,Frontiers in Neuroinformatics,3.074,1.924
9,GENETIC EPIDEMIOLOGY,2.544,1.451
10,Journal of Mathematical Neuroscience,2.414,Not Available
11,International Journal for Numerical Methods in Biomedical Engineering,2.338,0.871
12,STATISTICAL METHODS IN MEDICAL RESEARCH,2.284,2.048
13,SAR AND QSAR IN ENVIRONMENTAL RESEARCH,2.227,0.296
14,BMC BIOINFORMATICS,2.213,1.313
15,COMPUTERS IN BIOLOGY AND MEDICINE,2.115,0.486
16,Frontiers in Computational Neuroscience,2.073,0.920
17,BMC Systems Biology,2.050,0.887
18,Theoretical Biology and Medical Modelling,2.000,0.446
19,MEDICAL & BIOLOGICAL ENGINEERING & COMPUTING,1.971,0.567
20,Molecular Informatics,1.955,0.429
21,STATISTICS IN MEDICINE,1.932,1.422
22,JOURNAL OF MOLECULAR GRAPHICS & MODELLING,1.885,0.402
23,Evolutionary Bioinformatics,1.877,0.611
24,BioData Mining,1.857,0.739
25,JOURNAL OF THEORETICAL BIOLOGY,1.833,0.675
26,JOURNAL OF MATHEMATICAL BIOLOGY,1.786,0.898
27,BIOMETRIKA,1.669,2.534
28,Computational Intelligence and Neuroscience,1.649,0.396
29,MATHEMATICAL MEDICINE AND BIOLOGY-A JOURNAL OF THE IMA,1.628,0.613
30,BIOSYSTEMS,1.619,0.421
31,JOURNAL OF COMPUTATIONAL NEUROSCIENCE,1.606,0.720
32,Journal of Biomedical Semantics,1.600,0.739
33,Journal of Biological Dynamics,1.576,0.608
34,THEORY IN BIOSCIENCES,1.552,0.767
35,Computational and Mathematical Methods in Medicine,1.545,0.426
36,Algorithms for Molecular Biology,1.536,1.052
37,BIOMETRICS,1.524,1.606
38,BIOSTATISTICS,1.504,1.770
39,MATHEMATICAL BIOSCIENCES,1.500,0.554
40,BULLETIN OF MATHEMATICAL BIOLOGY,1.484,0.622
41,THEORETICAL POPULATION BIOLOGY,1.259,0.689
42,Mathematical Biosciences and Engineering,1.230,0.458
43,JOURNAL OF COMPUTATIONAL BIOLOGY,1.191,1.341
44,BIOMETRICAL JOURNAL,1.114,0.922
45,Mathematical Modelling of Natural Phenomena,1.101,0.491
46,JOURNAL OF AGRICULTURAL BIOLOGICAL AND ENVIRONMENTAL STATISTICS,1.072,0.627
47,Journal of Bioinformatics and Computational Biology,0.991,0.280
48,IET Systems Biology,0.873,0.289
49,ACTA BIOTHEORETICA,0.857,0.278
50,International Journal of Biomathematics,0.846,0.191
51,International Journal of Biostatistics,0.840,0.920
52,Statistics in Biopharmaceutical Research,0.826,0.591
53,Statistical Applications in Genetics and Molecular Biology,0.812,0.596
54,Interdisciplinary Sciences-Computational Life Sciences,0.796,0.149
55,International Journal of Data Mining and Bioinformatics,0.652,0.078
56,JOURNAL OF BIOLOGICAL SYSTEMS,0.649,0.189
57,Journal of Medical Imaging and Health Informatics,0.549,0.081
58,Current Bioinformatics,0.540,0.156
59,Statistics and Its Interface,0.398,0.367
Copyright © 2019 Clarivate Analytics,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,
