"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Categories: 'MATHEMATICS, APPLIED' Selected Category Scheme: WoS",,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
1,SIAM REVIEW,4.886,3.736
2,Advances in Nonlinear Analysis,4.674,1.577
3,Nonlinear Analysis-Hybrid Systems,4.010,1.093
4,INTERNATIONAL JOURNAL OF ROBUST AND NONLINEAR CONTROL,3.856,1.212
5,COMMUNICATIONS ON PURE AND APPLIED MATHEMATICS,3.386,4.537
6,MATHEMATICAL MODELS & METHODS IN APPLIED SCIENCES,3.319,1.975
7,Communications in Nonlinear Science and Numerical Simulation,3.181,0.859
8,FOUNDATIONS OF COMPUTATIONAL MATHEMATICS,3.056,3.553
9,ACM TRANSACTIONS ON MATHEMATICAL SOFTWARE,2.905,1.845
10,Fractional Calculus and Applied Analysis,2.865,1.060
11,APPLIED AND COMPUTATIONAL HARMONIC ANALYSIS,2.833,1.968
12,FUZZY SETS AND SYSTEMS,2.675,0.639
13,MATHEMATICAL PROGRAMMING,2.665,2.494
14,APPLIED MATHEMATICS LETTERS,2.462,0.674
15,ARCHIVE FOR RATIONAL MECHANICS AND ANALYSIS,2.448,2.672
16,ANNALES DE L INSTITUT HENRI POINCARE-ANALYSE NON LINEAIRE,2.421,2.452
17,CHAOS,2.415,0.737
18,NUMERISCHE MATHEMATIK,2.370,1.691
19,Applied and Computational Mathematics,2.365,0.332
20,SIAM Journal on Imaging Sciences,2.361,2.036
21,APPLIED MATHEMATICS AND COMPUTATION,2.300,0.616
22,FINITE ELEMENTS IN ANALYSIS AND DESIGN,2.253,0.845
23,SIAM JOURNAL ON OPTIMIZATION,2.183,2.557
24,Communications in Applied Mathematics and Computational Science,2.125,1.229
25,JOURNAL OF NONLINEAR SCIENCE,2.108,1.457
26,SIAM JOURNAL ON NUMERICAL ANALYSIS,2.047,1.962
27,SIAM JOURNAL ON SCIENTIFIC COMPUTING,2.046,1.553
28,NONLINEAR ANALYSIS-REAL WORLD APPLICATIONS,2.012,0.958
29,JOURNAL OF THE EUROPEAN MATHEMATICAL SOCIETY,1.969,3.030
30,PHYSICA D-NONLINEAR PHENOMENA,1.960,0.923
31,INVERSE PROBLEMS,1.946,1.106
32,JOURNAL OF MATHEMATICAL IMAGING AND VISION,1.927,0.810
33,NONLINEARITY,1.926,1.371
34,COMPUTERS & MATHEMATICS WITH APPLICATIONS,1.860,0.733
35,ESAIM-MATHEMATICAL MODELLING AND NUMERICAL ANALYSIS-MODELISATION MATHEMATIQUE ET ANALYSE NUMERIQUE,1.850,1.513
36,JOURNAL DE MATHEMATIQUES PURES ET APPLIQUEES,1.848,2.400
37,IMA JOURNAL OF NUMERICAL ANALYSIS,1.837,1.421
38,STUDIES IN APPLIED MATHEMATICS,1.829,0.735
39,JOURNAL OF SCIENTIFIC COMPUTING,1.814,1.197
40,Analysis and Applications,1.787,1.027
41,MATHEMATICS OF COMPUTATION,1.750,1.360
42,Analysis & PDE,1.748,2.414
43,CALCULUS OF VARIATIONS AND PARTIAL DIFFERENTIAL EQUATIONS,1.741,1.828
44,ZEITSCHRIFT FUR ANGEWANDTE MATHEMATIK UND PHYSIK,1.711,0.773
45,SIAM JOURNAL ON APPLIED MATHEMATICS,1.698,1.149
46,International Journal of Applied Mathematics and Computer Science,1.694,0.372
47,SIAM JOURNAL ON MATRIX ANALYSIS AND APPLICATIONS,1.682,1.901
48,Advances in Calculus of Variations,1.676,1.554
49,JOURNAL OF COMPUTATIONAL AND APPLIED MATHEMATICS,1.632,0.684
50,OPTIMAL CONTROL APPLICATIONS & METHODS,1.614,0.548
51,CALCOLO,1.603,0.663
52,SIAM JOURNAL ON CONTROL AND OPTIMIZATION,1.594,1.509
53,Archives of Control Sciences,1.545,Not Available
54,APPLIED MATHEMATICS AND MECHANICS-ENGLISH EDITION,1.538,0.302
55,NUMERICAL ALGORITHMS,1.536,0.710
56,SIAM JOURNAL ON MATHEMATICAL ANALYSIS,1.528,1.560
57,JOURNAL OF FOURIER ANALYSIS AND APPLICATIONS,1.525,1.472
58,COMPUTER AIDED GEOMETRIC DESIGN,1.522,0.788
59,SIAM JOURNAL ON APPLIED DYNAMICAL SYSTEMS,1.486,0.919
60,MATHEMATICS AND COMPUTERS IN SIMULATION,1.476,0.525
61,Inverse Problems and Imaging,1.465,0.993
62,Communications in Mathematical Sciences,1.451,1.048
63,DISCRETE EVENT DYNAMIC SYSTEMS-THEORY AND APPLICATIONS,1.444,0.913
64,ADVANCES IN COMPUTATIONAL MATHEMATICS,1.439,0.941
65,JOURNAL OF NONLINEAR MATHEMATICAL PHYSICS,1.438,0.448
66,BIT NUMERICAL MATHEMATICS,1.425,1.189
