"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Categories: 'MATHEMATICS, INTERDISCIPLINARY APPLICATIONS' Selected Category Scheme: WoS",,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
1,ARCHIVES OF COMPUTATIONAL METHODS IN ENGINEERING,6.605,2.717
2,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,4.441,1.622
3,ECONOMETRICA,3.750,11.440
4,MULTIVARIATE BEHAVIORAL RESEARCH,3.691,2.332
5,JOURNAL OF THE FRANKLIN INSTITUTE-ENGINEERING AND APPLIED MATHEMATICS,3.576,0.875
6,STRUCTURAL EQUATION MODELING-A MULTIDISCIPLINARY JOURNAL,3.531,2.938
7,Annual Review of Statistics and Its Application,3.290,3.126
8,Communications in Nonlinear Science and Numerical Simulation,3.181,0.859
9,EPJ Data Science,2.982,1.015
10,RISK ANALYSIS,2.898,1.085
11,Fractional Calculus and Applied Analysis,2.865,1.060
12,COMPUTATIONAL MECHANICS,2.724,1.209
13,MATHEMATICAL FINANCE,2.714,2.427
14,CHEMOMETRICS AND INTELLIGENT LABORATORY SYSTEMS,2.701,0.595
15,APPLIED MATHEMATICAL MODELLING,2.617,0.742
16,INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN ENGINEERING,2.589,1.043
17,MATCH-COMMUNICATIONS IN MATHEMATICAL AND IN COMPUTER CHEMISTRY,2.580,0.864
18,INTERNATIONAL JOURNAL OF QUANTUM CHEMISTRY,2.568,0.551
19,MATHEMATICS AND MECHANICS OF SOLIDS,2.545,0.584
20,INTERNATIONAL JOURNAL OF NUMERICAL METHODS FOR HEAT & FLUID FLOW,2.450,0.348
21,IEEE-ACM Transactions on Computational Biology and Bioinformatics,2.428,0.707
22,Journal of Mathematical Neuroscience,2.414,Not Available
23,Bayesian Analysis,2.342,1.772
24,International Journal for Numerical Methods in Biomedical Engineering,2.338,0.871
25,MULTISCALE MODELING & SIMULATION,2.277,1.299
26,CHAOS SOLITONS & FRACTALS,2.213,0.529
27,Computational Particle Mechanics,2.206,0.970
28,JOURNAL OF MATHEMATICAL PSYCHOLOGY,2.176,1.352
