"Journal Data Filtered By:  Selected JCR Year: 2018 Selected Editions: SCIE,SSCI Selected Categories: 'MATHEMATICS','MATHEMATICS, APPLIED','MATHEMATICS, INTERDISCIPLINARY APPLICATIONS','PHYSICS, MATHEMATICAL','STATISTICS & PROBABILITY' Selected Category Scheme: WoS",,,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score,Article Influence Score
1,Journal of Statistical Software,"20,164",11.655,0.049130,9.120
2,ACTA NUMERICA,"1,999",7.417,0.003310,8.659
3,ARCHIVES OF COMPUTATIONAL METHODS IN ENGINEERING,"1,830",7.242,0.003170,2.207
4,SIAM REVIEW,"8,996",7.224,0.006490,4.472
5,Advances in Nonlinear Analysis,478,6.636,0.002860,2.044
6,AMERICAN STATISTICIAN,"5,898",5.381,0.004680,1.706
7,Nonlinear Analysis-Hybrid Systems,"1,853",5.266,0.004310,1.339
8,Forum of Mathematics Pi,130,5.250,0.002690,Not Available
9,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,"29,875",4.821,0.038350,1.635
10,STRUCTURAL EQUATION MODELING-A MULTIDISCIPLINARY JOURNAL,"15,561",4.426,0.009850,2.915
11,ECONOMETRICA,"35,295",4.281,0.049980,12.055
12,ANNALS OF MATHEMATICS,"12,419",4.165,0.020400,7.120
13,JOURNAL OF THE AMERICAN MATHEMATICAL SOCIETY,"3,694",4.091,0.012060,6.718
14,Communications in Nonlinear Science and Numerical Simulation,"11,888",3.967,0.019480,0.885
15,INTERNATIONAL JOURNAL OF ROBUST AND NONLINEAR CONTROL,"7,343",3.953,0.015800,1.186
16,Annual Review of Statistics and Its Application,353,3.857,0.002740,2.892
17,MATHEMATICAL PROGRAMMING,"10,771",3.785,0.022470,2.961
18,JOURNAL OF THE FRANKLIN INSTITUTE-ENGINEERING AND APPLIED MATHEMATICS,"8,584",3.653,0.017220,0.853
19,Fractional Calculus and Applied Analysis,"2,108",3.514,0.004610,0.997
20,APPLIED MATHEMATICS LETTERS,"7,381",3.487,0.011850,0.839
21,JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION,"36,025",3.412,0.027840,3.368
22,COMPUTER PHYSICS COMMUNICATIONS,"20,122",3.309,0.031830,1.625
23,JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY,"24,232",3.278,0.016910,5.669
24,EPJ Data Science,520,3.262,0.001630,1.088
25,International Journal for Uncertainty Quantification,474,3.259,0.001400,0.767
26,Applied and Computational Mathematics,348,3.160,0.000960,0.536
27,COMPUTATIONAL MECHANICS,"6,151",3.159,0.010300,1.116
28,COMMUNICATIONS ON PURE AND APPLIED MATHEMATICS,"9,332",3.138,0.015420,4.690
29,MATHEMATICAL MODELS & METHODS IN APPLIED SCIENCES,"3,366",3.127,0.010300,1.926
30,Journal of Numerical Mathematics,469,3.107,0.000890,0.819
31,APPLIED MATHEMATICS AND COMPUTATION,"28,774",3.092,0.043360,0.630
32,CHAOS SOLITONS & FRACTALS,"10,506",3.064,0.009710,0.559
33,ACTA MATHEMATICA,"4,401",3.045,0.004630,5.157
34,CMC-Computers Materials & Continua,611,3.024,0.000400,0.136
35,JOURNAL OF MATHEMATICAL PSYCHOLOGY,"3,047",3.022,0.004250,1.463
36,FRACTALS-COMPLEX GEOMETRY PATTERNS AND SCALING IN NATURE AND SOCIETY,"1,429",2.971,0.001120,0.344
37,APPLIED AND COMPUTATIONAL HARMONIC ANALYSIS,"3,385",2.964,0.006870,1.860
38,FUZZY SETS AND SYSTEMS,"17,630",2.907,0.008490,0.630
39,INVENTIONES MATHEMATICAE,"9,739",2.906,0.023790,5.331
40,ANNALS OF STATISTICS,"20,544",2.901,0.029490,4.803
41,IEEE-ACM Transactions on Computational Biology and Bioinformatics,"2,781",2.896,0.005850,0.707
42,SIAM JOURNAL ON OPTIMIZATION,"8,051",2.876,0.018200,2.715
43,JOURNAL OF COMPUTATIONAL PHYSICS,"51,597",2.845,0.057060,1.258
44,APPLIED MATHEMATICAL MODELLING,"16,888",2.841,0.027930,0.687
45,COMPUTERS & MATHEMATICS WITH APPLICATIONS,"15,594",2.811,0.017980,0.785
46,STOCHASTIC ENVIRONMENTAL RESEARCH AND RISK ASSESSMENT,"4,019",2.807,0.006860,0.655
47,CHEMOMETRICS AND INTELLIGENT LABORATORY SYSTEMS,"9,266",2.786,0.008160,0.652
48,INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN ENGINEERING,"19,525",2.746,0.015080,1.092
49,PSYCHOMETRIKA,"11,003",2.743,0.005950,1.928
50,JOURNAL OF BUSINESS & ECONOMIC STATISTICS,"5,249",2.716,0.008850,3.335
51,R Journal,"1,117",2.682,0.005950,1.953
52,CHAOS,"8,522",2.643,0.013510,0.777
53,COMPLEXITY,"2,753",2.591,0.003890,0.462
54,RISK ANALYSIS,"9,136",2.564,0.008140,0.858
55,FOUNDATIONS OF COMPUTATIONAL MATHEMATICS,"1,702",2.540,0.006690,2.535
56,MATHEMATICAL FINANCE,"2,149",2.529,0.003930,1.887
57,SIAM Journal on Imaging Sciences,"3,806",2.514,0.011200,1.928
58,FINITE ELEMENTS IN ANALYSIS AND DESIGN,"4,265",2.456,0.005020,0.818
59,PROBABILITY THEORY AND RELATED FIELDS,"3,513",2.448,0.014130,3.041
60,STUDIES IN APPLIED MATHEMATICS,"1,824",2.419,0.002260,0.989
61,NUMERICAL ALGORITHMS,"3,316",2.417,0.007350,0.793
62,IMA JOURNAL OF NUMERICAL ANALYSIS,"2,617",2.397,0.007270,1.612
63,STATISTICAL METHODS IN MEDICAL RESEARCH,"4,156",2.388,0.012220,1.937
64,STATISTICS AND COMPUTING,"4,275",2.383,0.010070,1.918
65,JOURNAL OF STATISTICAL MECHANICS-THEORY AND EXPERIMENT,"8,237",2.371,0.016350,0.777
66,JOURNAL OF SCIENTIFIC COMPUTING,"4,470",2.370,0.013300,1.204
67,ACM TRANSACTIONS ON MATHEMATICAL SOFTWARE,"4,297",2.365,0.004890,2.093
68,PHYSICAL REVIEW E,"100,870",2.353,0.121400,0.770
69,Nonlinear Analysis-Modelling and Control,790,2.339,0.001060,0.347
70,PROBABILISTIC ENGINEERING MECHANICS,"2,464",2.329,0.002820,0.917
71,SIAM JOURNAL ON NUMERICAL ANALYSIS,"12,567",2.322,0.015980,1.727
72,STATISTICAL SCIENCE,"6,246",2.320,0.008250,3.417
73,Advances in Calculus of Variations,211,2.316,0.001980,1.725
74,SIAM JOURNAL ON SCIENTIFIC COMPUTING,"13,387",2.310,0.025200,1.651
75,MEMOIRS OF THE AMERICAN MATHEMATICAL SOCIETY,"2,710",2.297,0.005970,2.049
76,INTERNATIONAL JOURNAL OF QUANTUM CHEMISTRY,"8,472",2.263,0.009400,0.730
76,Publications Mathematiques de l IHES,"1,683",2.263,0.004160,6.441
78,ENGINEERING ANALYSIS WITH BOUNDARY ELEMENTS,"4,273",2.243,0.006510,0.551
