"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Categories: 'MECHANICS' Selected Category Scheme: WoS",,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
1,Annual Review of Fluid Mechanics,14.814,7.659
2,Applied Mechanics Reviews,7.848,3.133
3,ENERGY CONVERSION AND MANAGEMENT,6.377,1.006
4,INTERNATIONAL JOURNAL OF PLASTICITY,5.502,1.629
5,Advances in Applied Mechanics,5.000,1.959
6,INTERNATIONAL COMMUNICATIONS IN HEAT AND MASS TRANSFER,4.463,0.795
7,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,4.441,1.622
8,NONLINEAR DYNAMICS,4.339,0.837
9,INTERNATIONAL JOURNAL OF HEAT AND MASS TRANSFER,3.891,0.767
10,APPLIED THERMAL ENGINEERING,3.771,0.675
11,INTERNATIONAL JOURNAL OF MECHANICAL SCIENCES,3.570,0.880
12,JOURNAL OF THE MECHANICS AND PHYSICS OF SOLIDS,3.566,1.474
13,INTERNATIONAL JOURNAL OF IMPACT ENGINEERING,3.344,0.870
14,Communications in Nonlinear Science and Numerical Simulation,3.181,0.859
15,JOURNAL OF RHEOLOGY,2.969,1.129
16,JOURNAL OF FLUID MECHANICS,2.893,1.061
17,EUROPEAN JOURNAL OF MECHANICS A-SOLIDS,2.881,0.858
18,STRUCTURAL AND MULTIDISCIPLINARY OPTIMIZATION,2.876,0.954
19,COMPUTATIONAL MECHANICS,2.724,1.209
20,MULTIBODY SYSTEM DYNAMICS,2.718,0.739
21,MECHANICS OF MATERIALS,2.697,0.882
22,JOURNAL OF WIND ENGINEERING AND INDUSTRIAL AERODYNAMICS,2.689,0.723
23,MECHANICS OF ADVANCED MATERIALS AND STRUCTURES,2.645,0.483
24,JOURNAL OF SOUND AND VIBRATION,2.618,0.790
25,APPLIED MATHEMATICAL MODELLING,2.617,0.742
26,INTERNATIONAL JOURNAL OF MULTIPHASE FLOW,2.592,0.892
26,JOURNAL OF COMPOSITES FOR CONSTRUCTION,2.592,0.861
28,ENGINEERING FRACTURE MECHANICS,2.580,0.703
29,INTERNATIONAL JOURNAL OF SOLIDS AND STRUCTURES,2.566,0.905
30,MATHEMATICS AND MECHANICS OF SOLIDS,2.545,0.584
31,INTERNATIONAL JOURNAL OF NUMERICAL METHODS FOR HEAT & FLUID FLOW,2.450,0.348
32,ARCHIVE FOR RATIONAL MECHANICS AND ANALYSIS,2.448,2.672
33,JOURNAL OF FLUIDS AND STRUCTURES,2.434,0.896
34,NUMERICAL HEAT TRANSFER PART A-APPLICATIONS,2.409,0.442
35,JOURNAL OF STATISTICAL MECHANICS-THEORY AND EXPERIMENT,2.404,0.940
36,Physical Mesomechanics,2.380,0.263
37,EXPERIMENTAL MECHANICS,2.319,0.593
38,CONTINUUM MECHANICS AND THERMODYNAMICS,2.311,0.702
39,JOURNAL OF NON-NEWTONIAN FLUID MECHANICS,2.293,0.769
40,PHYSICS OF FLUIDS,2.279,0.940
41,FINITE ELEMENTS IN ANALYSIS AND DESIGN,2.253,0.845
42,COMPUTERS & FLUIDS,2.221,0.892
43,INTERNATIONAL JOURNAL FOR NUMERICAL AND ANALYTICAL METHODS IN GEOMECHANICS,2.219,0.894
44,THEORETICAL AND APPLIED FRACTURE MECHANICS,2.215,0.668
45,MECCANICA,2.211,0.539
46,FLOW TURBULENCE AND COMBUSTION,2.207,0.848
47,Computational Particle Mechanics,2.206,0.970
48,JOURNAL OF VIBRATION AND CONTROL,2.197,0.500
49,EXPERIMENTS IN FLUIDS,2.195,0.801
50,INTERNATIONAL JOURNAL OF FRACTURE,2.175,0.749
51,INTERNATIONAL JOURNAL OF NON-LINEAR MECHANICS,2.163,0.685
52,JOURNAL OF APPLIED MECHANICS-TRANSACTIONS OF THE ASME,2.127,0.711
53,ACTA MECHANICA,2.113,0.526
54,JOURNAL OF NONLINEAR SCIENCE,2.108,1.457
55,INTERNATIONAL JOURNAL OF HEAT AND FLUID FLOW,2.103,0.805
56,International Journal of Structural Stability and Dynamics,2.082,0.371
57,Journal of Computational and Nonlinear Dynamics,1.996,0.552
58,EUROPEAN JOURNAL OF MECHANICS B-FLUIDS,1.984,0.704
59,JOURNAL OF ADHESION,1.936,0.375
60,Engineering Applications of Computational Fluid Mechanics,1.918,0.408
61,International Journal of Mechanics and Materials in Design,1.896,0.558
62,SHOCK AND VIBRATION,1.857,0.416
63,JOURNAL OF THERMAL STRESSES,1.852,0.353
64,ENVIRONMENTAL FLUID MECHANICS,1.846,0.610
65,RHEOLOGICA ACTA,1.833,0.621
66,JOURNAL OF VIBRATION AND ACOUSTICS-TRANSACTIONS OF THE ASME,1.777,0.516
67,NUMERICAL HEAT TRANSFER PART B-FUNDAMENTALS,1.775,0.435
68,INTERNATIONAL JOURNAL OF DAMAGE MECHANICS,1.761,0.359
69,WAVE MOTION,1.723,0.596
70,PROBABILISTIC ENGINEERING MECHANICS,1.693,0.753
71,INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN FLUIDS,1.673,0.793
72,GRANULAR MATTER,1.658,0.737
73,JOURNAL OF ELASTICITY,1.650,0.737
74,MECHANICS RESEARCH COMMUNICATIONS,1.640,0.564
75,JOURNAL OF NON-EQUILIBRIUM THERMODYNAMICS,1.633,0.452
76,JOURNAL OF TURBULENCE,1.570,0.870
77,Journal of Hydrodynamics,1.563,0.328
78,ACTA MECHANICA SINICA,1.545,0.425
79,APPLIED MATHEMATICS AND MECHANICS-ENGLISH EDITION,1.538,0.302
80,SHOCK WAVES,1.504,0.496
81,HEAT AND MASS TRANSFER,1.494,0.305
82,ARCHIVE OF APPLIED MECHANICS,1.467,0.443
83,APPLIED RHEOLOGY,1.442,0.232
84,GEOPHYSICAL AND ASTROPHYSICAL FLUID DYNAMICS,1.417,0.576
