"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Categories: 'MEDICAL ETHICS' Selected Category Scheme: WoS",,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
1,AMERICAN JOURNAL OF BIOETHICS,4.847,1.849
2,BMC Medical Ethics,1.969,0.694
3,JOURNAL OF MEDICAL ETHICS,1.889,0.483
4,BIOETHICS,1.660,0.528
5,HASTINGS CENTER REPORT,1.472,0.616
6,Accountability in Research-Policies and Quality Assurance,1.400,0.349
7,Philosophy Ethics and Humanities in Medicine,1.222,Not Available
8,Neuroethics,1.214,0.344
9,Public Health Ethics,1.083,0.317
10,JOURNAL OF LAW MEDICINE & ETHICS,0.986,0.579
11,Developing World Bioethics,0.980,0.493
12,Journal of Empirical Research on Human Research Ethics,0.953,0.423
13,Journal of Bioethical Inquiry,0.809,0.280
14,Ethik in der Medizin,0.467,0.082
15,Acta Bioethica,0.288,0.011
16,GENETIC COUNSELING,0.140,0.106
Copyright © 2019 Clarivate Analytics,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,
