"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Categories: 'MEDICAL INFORMATICS' Selected Category Scheme: WoS",,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
1,JOURNAL OF MEDICAL INTERNET RESEARCH,4.671,1.591
2,JMIR mHealth and uHealth,4.541,1.130
3,JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION,4.270,1.334
4,IEEE Journal of Biomedical and Health Informatics,3.850,0.855
5,MEDICAL DECISION MAKING,3.012,1.575
6,INTERNATIONAL JOURNAL OF MEDICAL INFORMATICS,2.957,0.826
7,JOURNAL OF BIOMEDICAL INFORMATICS,2.882,0.790
8,ARTIFICIAL INTELLIGENCE IN MEDICINE,2.879,0.789
9,COMPUTER METHODS AND PROGRAMS IN BIOMEDICINE,2.674,0.624
10,STATISTICAL METHODS IN MEDICAL RESEARCH,2.284,2.048
11,JMIR SERIOUS GAMES,2.226,Not Available
12,BMC Medical Informatics and Decision Making,2.134,0.817
13,JOURNAL OF MEDICAL SYSTEMS,2.098,0.449
14,MEDICAL & BIOLOGICAL ENGINEERING & COMPUTING,1.971,0.567
15,STATISTICS IN MEDICINE,1.932,1.422
16,Health Informatics Journal,1.833,0.527
17,METHODS OF INFORMATION IN MEDICINE,1.531,0.516
18,JOURNAL OF EVALUATION IN CLINICAL PRACTICE,1.483,0.531
19,Health Information Management Journal,1.393,0.247
20,INTERNATIONAL JOURNAL OF TECHNOLOGY ASSESSMENT IN HEALTH CARE,1.333,0.720
21,Applied Clinical Informatics,1.138,0.458
22,Informatics for Health & Social Care,1.137,0.263
23,Biomedical Engineering-Biomedizinische Technik,1.088,0.372
24,CIN-COMPUTERS INFORMATICS NURSING,1.056,0.256
25,Therapeutic Innovation & Regulatory Science,0.882,0.301
Copyright © 2019 Clarivate Analytics,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,
