"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Categories: 'MEDICINE, RESEARCH & EXPERIMENTAL' Selected Category Scheme: WoS",,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
1,NATURE MEDICINE,32.621,15.150
2,Science Translational Medicine,16.710,8.200
3,Annual Review of Medicine,14.970,4.514
4,JOURNAL OF CLINICAL INVESTIGATION,13.251,5.996
5,TRENDS IN MOLECULAR MEDICINE,11.021,3.930
6,JOURNAL OF EXPERIMENTAL MEDICINE,10.790,6.038
7,EMBO Molecular Medicine,10.293,3.672
8,Theranostics,8.537,1.996
9,MOLECULAR ASPECTS OF MEDICINE,7.344,3.468
10,MOLECULAR THERAPY,7.008,2.165
11,Nanomedicine-Nanotechnology Biology and Medicine,6.500,1.289
12,Wiley Interdisciplinary Reviews-Nanomedicine and Nanobiotechnology,6.350,1.338
13,EBioMedicine,6.183,2.259
14,Molecular Therapy-Nucleic Acids,5.660,1.714
15,EXPERIMENTAL AND MOLECULAR MEDICINE,5.584,1.464
16,ALTEX-Alternatives to Animal Experimentation,5.232,1.096
17,CLINICAL SCIENCE,5.220,1.431
18,mAbs,5.165,1.485
19,Stem Cell Research & Therapy,4.963,1.225
20,JOURNAL OF MOLECULAR MEDICINE-JMM,4.938,1.434
21,Translational Research,4.880,1.276
22,XENOTRANSPLANTATION,4.717,0.822
23,Cancer Biology & Medicine,4.607,Not Available
24,MOLECULAR PHARMACEUTICS,4.556,1.027
25,JOURNAL OF CELLULAR AND MOLECULAR MEDICINE,4.302,0.988
26,LABORATORY INVESTIGATION,4.263,1.239
27,HUMAN GENE THERAPY,4.241,1.193
28,Journal of Translational Medicine,4.197,1.065
29,JOURNAL OF INHERITED METABOLIC DISEASE,4.092,1.359
30,AMYLOID-JOURNAL OF PROTEIN FOLDING DISORDERS,4.048,0.867
31,CANCER GENE THERAPY,4.044,0.657
32,CYTOTHERAPY,3.993,0.902
33,Cold Spring Harbor Perspectives in Medicine,3.979,2.781
34,EXPERT OPINION ON BIOLOGICAL THERAPY,3.974,0.855
35,EPMA Journal,3.900,Not Available
36,EXPERT REVIEWS IN MOLECULAR MEDICINE,3.865,1.355
37,JOURNAL OF IMMUNOTHERAPY,3.826,1.248
38,Experimental Neurobiology,3.810,Not Available
39,MOLECULAR GENETICS AND METABOLISM,3.774,1.029
40,Wiley Interdisciplinary Reviews-Systems Biology and Medicine,3.709,1.251
41,Molecular Therapy-Oncolytics,3.690,0.958
42,Molecular Therapy-Methods & Clinical Development,3.681,1.127
43,ARCHIVES OF PATHOLOGY & LABORATORY MEDICINE,3.658,0.930
44,Stem Cell Reviews and Reports,3.612,0.828
45,Orphanet Journal of Rare Diseases,3.607,1.404
46,JOURNAL OF BIOMEDICAL SCIENCE,3.466,0.794
47,BIOMEDICINE & PHARMACOTHERAPY,3.457,0.546
48,Drug Delivery and Translational Research,3.395,0.637
49,PPAR Research,3.386,0.648
50,MOLECULAR MEDICINE,3.340,1.139
51,STEM CELLS AND DEVELOPMENT,3.315,0.935
52,VACCINE,3.285,1.054
53,LIFE SCIENCES,3.234,0.664
54,GENE THERAPY,3.203,0.917
55,npj Vaccines,3.143,2.036
56,MELANOMA RESEARCH,3.135,0.876
57,EUROPEAN JOURNAL OF CLINICAL INVESTIGATION,3.086,0.829
58,ADVANCES IN THERAPY,3.085,0.837
59,American Journal of Translational Research,3.061,0.647
60,WOUND REPAIR AND REGENERATION,2.952,0.932
61,DISEASE MARKERS,2.949,0.651
62,CELL TRANSPLANTATION,2.885,0.745
62,Journal of Diabetes Research,2.885,0.734
64,CLINICAL AND EXPERIMENTAL MEDICINE,2.787,0.571
65,INTERNATIONAL JOURNAL OF MOLECULAR MEDICINE,2.784,0.527
66,NEUROMODULATION,2.774,0.769
67,Clinical Trials,2.707,1.521
68,CURRENT MEDICAL RESEARCH AND OPINION,2.665,0.755
69,Contemporary Clinical Trials,2.658,1.080
70,Nucleic Acid Therapeutics,2.623,1.097
71,Biomed Research International,2.583,0.709
72,JOURNAL OF BONE AND MINERAL METABOLISM,2.472,0.630
73,LARYNGOSCOPE,2.442,0.735
74,EXPERIMENTAL HEMATOLOGY,2.436,0.854
75,Human Gene Therapy Clinical Development,2.431,Not Available
76,EXPERIMENTAL BIOLOGY AND MEDICINE,2.413,0.593
77,Discovery Medicine,2.398,0.718
78,Biomarkers in Medicine,2.346,0.624
79,Journal of Cardiovascular Translational Research,2.337,0.871
80,Innate Immunity,2.312,0.700
81,Human Gene Therapy Methods,2.300,0.713
82,CURRENT MOLECULAR MEDICINE,2.254,0.735
83,Trials,2.067,0.926
84,Advances in Medical Sciences,2.064,0.432
85,JOURNAL OF INVESTIGATIVE MEDICINE,2.029,0.540
86,Frontiers of Medicine,2.027,Not Available
87,ARCHIVES OF MEDICAL RESEARCH,2.024,0.640
88,CTS-Clinical and Translational Science,1.954,0.564
89,STATISTICS IN MEDICINE,1.932,1.422
90,Molecular Medicine Reports,1.922,0.378
91,Lymphatic Research and Biology,1.903,0.538
92,Current Research in Translational Medicine,1.900,0.489
93,MEDICAL SCIENCE MONITOR,1.894,0.353
94,ATLA-ALTERNATIVES TO LABORATORY ANIMALS,1.865,0.257
95,Journal of Zhejiang University-SCIENCE B,1.815,0.396
96,Advances in Experimental Medicine and Biology,1.760,0.555
97,Metabolic Syndrome and Related Disorders,1.744,0.517
98,EUROPEAN JOURNAL OF MEDICAL RESEARCH,1.742,0.444
99,CANCER BIOTHERAPY AND RADIOPHARMACEUTICALS,1.682,0.378
100,Journal of Ophthalmology,1.680,0.517
101,JOURNAL OF GENE MEDICINE,1.647,0.539
102,Iranian Journal of Basic Medical Sciences,1.514,0.297
103,INDIAN JOURNAL OF MEDICAL RESEARCH,1.508,0.450
104,SCANDINAVIAN JOURNAL OF CLINICAL & LABORATORY INVESTIGATION,1.498,0.439
105,BRAZILIAN JOURNAL OF MEDICAL AND BIOLOGICAL RESEARCH,1.492,0.367
106,Bosnian Journal of Basic Medical Sciences,1.432,0.245
107,TOHOKU JOURNAL OF EXPERIMENTAL MEDICINE,1.423,0.376
108,Experimental and Therapeutic Medicine,1.410,0.281
109,JOURNAL OF BIOLOGICAL REGULATORS AND HOMEOSTATIC AGENTS,1.397,0.283
110,KAOHSIUNG JOURNAL OF MEDICAL SCIENCES,1.288,0.284
111,BIOMEDICAL RESEARCH-TOKYO,1.284,0.313
112,Advances in Clinical and Experimental Medicine,1.262,0.296
113,MEDICAL HYPOTHESES,1.120,0.277
114,IN VIVO,1.116,0.238
115,BIOMEDICAL PAPERS-OLOMOUC,1.087,0.267
116,JOURNAL OF INTERNATIONAL MEDICAL RESEARCH,1.023,0.330
117,Nagoya Journal of Medical Science,1.016,0.230
118,Aerospace Medicine and Human Performance,0.889,0.171
119,International Journal of Clinical and Experimental Medicine,0.833,0.190
120,Clinical and Investigative Medicine,0.832,0.325
121,Postepy Higieny I Medycyny Doswiadczalnej,0.783,0.149
122,JOURNAL OF THE PAKISTAN MEDICAL ASSOCIATION,0.723,0.171
123,M S-MEDECINE SCIENCES,0.685,0.092
124,Undersea and Hyperbaric Medicine,0.636,0.202
125,YONAGO ACTA MEDICA,0.625,0.223
126,ACTA MEDICA OKAYAMA,0.562,0.181
127,BULLETIN OF EXPERIMENTAL BIOLOGY AND MEDICINE,0.546,0.077
128,ANNALES DE BIOLOGIE CLINIQUE,0.401,0.073
129,Revista Romana de Medicina de Laborator,0.400,0.050
130,INVESTIGACION CLINICA,0.318,0.062
131,PERSPECTIVES IN BIOLOGY AND MEDICINE,0.288,0.167
132,Asian Biomedicine,0.209,0.064
133,GENETIC COUNSELING,0.140,0.106
Copyright © 2019 Clarivate Analytics,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,
