"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Categories: 'MEDICINE, GENERAL & INTERNAL' Selected Category Scheme: WoS",,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
1,NEW ENGLAND JOURNAL OF MEDICINE,79.260,29.439
2,LANCET,53.254,21.011
3,JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,47.661,19.967
4,BMJ-British Medical Journal,23.562,8.464
5,JAMA Internal Medicine,19.989,9.127
6,ANNALS OF INTERNAL MEDICINE,19.384,9.229
7,Nature Reviews Disease Primers,16.071,6.263
8,Journal of Cachexia Sarcopenia and Muscle,12.511,2.193
9,PLOS MEDICINE,11.675,6.582
10,BMC Medicine,9.088,3.335
11,MAYO CLINIC PROCEEDINGS,7.199,2.829
12,CANADIAN MEDICAL ASSOCIATION JOURNAL,6.818,2.744
13,Cochrane Database of Systematic Reviews,6.754,2.622
13,JOURNAL OF INTERNAL MEDICINE,6.754,2.366
15,Journal of Clinical Medicine,5.583,Not Available
16,AMERICAN JOURNAL OF MEDICINE,5.117,2.125
17,Translational Research,4.880,1.276
18,ANNALS OF FAMILY MEDICINE,4.540,2.619
19,MEDICAL JOURNAL OF AUSTRALIA,4.227,1.428
20,AMERICAN JOURNAL OF PREVENTIVE MEDICINE,4.127,2.180
21,AMYLOID-JOURNAL OF PROTEIN FOLDING DISORDERS,4.048,0.867
22,JOURNAL OF GENERAL INTERNAL MEDICINE,4.005,2.006
23,Deutsches Arzteblatt International,3.890,1.040
24,PALLIATIVE MEDICINE,3.780,1.404
25,PREVENTIVE MEDICINE,3.483,1.407
26,BRITISH MEDICAL BULLETIN,3.356,1.232
27,European Journal of Internal Medicine,3.282,0.834
28,BRITISH JOURNAL OF GENERAL PRACTICE,3.261,1.162
29,JOURNAL OF PAIN AND SYMPTOM MANAGEMENT,3.249,1.066
30,QJM-AN INTERNATIONAL JOURNAL OF MEDICINE,3.204,0.848
31,AMERICAN JOURNAL OF CHINESE MEDICINE,3.120,0.418
32,EUROPEAN JOURNAL OF CLINICAL INVESTIGATION,3.086,0.829
33,ANNALS OF MEDICINE,3.007,1.058
34,MINERVA MEDICA,2.863,0.286
35,PAIN MEDICINE,2.782,0.888
36,CURRENT MEDICAL RESEARCH AND OPINION,2.665,0.755
37,Polish Archives of Internal Medicine-Polskie Archiwum Medycyny Wewnetrznej,2.658,0.378
38,JOURNAL OF THE ROYAL SOCIETY OF MEDICINE,2.654,1.018
39,MEDICAL CLINICS OF NORTH AMERICA,2.577,0.649
