"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Categories: 'MEDICINE, LEGAL' Selected Category Scheme: WoS",,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
1,Forensic Science International-Genetics,5.637,0.821
2,REGULATORY TOXICOLOGY AND PHARMACOLOGY,2.815,0.546
3,INTERNATIONAL JOURNAL OF LEGAL MEDICINE,2.316,0.664
4,Forensic Science Medicine and Pathology,2.027,0.615
5,FORENSIC SCIENCE INTERNATIONAL,1.974,0.556
6,SCIENCE & JUSTICE,1.845,0.473
7,Legal Medicine,1.254,0.356
8,JOURNAL OF FORENSIC SCIENCES,1.184,0.384
9,Journal of Forensic and Legal Medicine,1.103,0.315
9,Medical Law Review,1.103,0.322
11,JOURNAL OF LAW MEDICINE & ETHICS,0.986,0.579
12,Australian Journal of Forensic Sciences,0.941,0.280
13,AMERICAN JOURNAL OF FORENSIC MEDICINE AND PATHOLOGY,0.643,0.240
14,Rechtsmedizin,0.642,0.098
15,MEDICINE SCIENCE AND THE LAW,0.589,0.181
16,Romanian Journal of Legal Medicine,0.320,0.050
Copyright © 2019 Clarivate Analytics,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,
