"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Categories: 'METALLURGY & METALLURGICAL ENGINEERING' Selected Category Scheme: WoS",,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
1,ACTA MATERIALIA,6.036,1.673
2,CORROSION SCIENCE,4.862,0.890
3,SCRIPTA MATERIALIA,4.163,1.136
4,JOURNAL OF ALLOYS AND COMPOUNDS,3.779,0.574
5,JOURNAL OF MATERIALS SCIENCE & TECHNOLOGY,3.609,0.614
6,INTERMETALLICS,3.420,0.717
7,MATERIALS SCIENCE AND ENGINEERING A-STRUCTURAL MATERIALS PROPERTIES MICROSTRUCTURE AND PROCESSING,3.414,0.715
8,Journal of Materials Research and Technology-JMR&T,3.398,Not Available
9,HYDROMETALLURGY,3.300,0.634
10,MATERIALS CHARACTERIZATION,2.892,0.692
11,INTERNATIONAL JOURNAL OF REFRACTORY METALS & HARD MATERIALS,2.606,0.527
12,JOM,2.145,0.684
13,Mineral Processing and Extractive Metallurgy Review,2.117,0.456
14,METALS AND MATERIALS INTERNATIONAL,1.952,0.269
15,International Journal of Material Forming,1.936,0.333
15,SCIENCE AND TECHNOLOGY OF WELDING AND JOINING,1.936,0.489
17,CALPHAD-COMPUTER COUPLING OF PHASE DIAGRAMS AND THERMOCHEMISTRY,1.935,0.476
18,CORROSION,1.927,0.405
19,METALLURGICAL AND MATERIALS TRANSACTIONS A-PHYSICAL METALLURGY AND MATERIALS SCIENCE,1.887,0.554
20,METALLURGICAL AND MATERIALS TRANSACTIONS B-PROCESS METALLURGY AND MATERIALS PROCESSING SCIENCE,1.834,0.446
21,MATERIALS SCIENCE AND TECHNOLOGY,1.803,0.380
22,TRANSACTIONS OF NONFERROUS METALS SOCIETY OF CHINA,1.795,0.339
23,Metals,1.704,0.350
24,CORROSION REVIEWS,1.660,0.571
25,WELDING JOURNAL,1.652,0.457
26,PHILOSOPHICAL MAGAZINE,1.632,0.535
27,OXIDATION OF METALS,1.547,0.403
28,Korean Journal of Metals and Materials,1.518,0.137
29,RARE METALS,1.500,0.207
30,STEEL RESEARCH INTERNATIONAL,1.430,0.364
31,MATERIALS AT HIGH TEMPERATURES,1.423,0.379
32,Journal of Mining and Metallurgy Section B-Metallurgy,1.400,0.231
33,ISIJ INTERNATIONAL,1.350,0.395
34,Acta Metallurgica Sinica-English Letters,1.341,0.234
35,JOURNAL OF PHASE EQUILIBRIA AND DIFFUSION,1.315,0.281
36,International Journal of Minerals Metallurgy and Materials,1.261,0.266
37,MATERIALS AND CORROSION-WERKSTOFFE UND KORROSION,1.259,0.262
38,Welding in the World,1.206,0.346
39,IRONMAKING & STEELMAKING,1.205,0.284
40,PHILOSOPHICAL MAGAZINE LETTERS,1.194,0.309
41,SOLDERING & SURFACE MOUNT TECHNOLOGY,1.137,0.148
42,JOURNAL OF IRON AND STEEL RESEARCH INTERNATIONAL,1.126,0.250
43,CORROSION ENGINEERING SCIENCE AND TECHNOLOGY,1.071,0.241
44,TRANSACTIONS OF THE INDIAN INSTITUTE OF METALS,0.910,0.177
45,POWDER METALLURGY,0.893,0.208
46,PHYSICS OF METALS AND METALLOGRAPHY,0.790,0.139
47,CANADIAN METALLURGICAL QUARTERLY,0.789,0.217
48,MINERALS & METALLURGICAL PROCESSING,0.786,0.306
49,International Journal of Metalcasting,0.779,0.145
50,Journal of Central South University,0.761,0.154
51,International Journal of Materials Research,0.748,0.145
52,ACTA METALLURGICA SINICA,0.704,0.129
53,Protection of Metals and Physical Chemistry of Surfaces,0.681,0.090
54,MATERIALS TRANSACTIONS,0.675,0.212
55,SCIENCE OF SINTERING,0.667,0.143
56,INTERNATIONAL JOURNAL OF CAST METALS RESEARCH,0.643,0.170
57,KOVOVE MATERIALY-METALLIC MATERIALS,0.636,0.090
58,ARCHIVES OF METALLURGY AND MATERIALS,0.625,0.115
59,TRANSACTIONS OF THE INSTITUTE OF METAL FINISHING,0.590,0.152
60,Metallurgical Research & Technology,0.574,0.107
61,ANTI-CORROSION METHODS AND MATERIALS,0.460,0.089
62,Russian Journal of Non-Ferrous Metals,0.446,0.086
63,METALLURGIA ITALIANA,0.432,0.077
64,REVISTA DE METALURGIA,0.412,0.078
65,METAL SCIENCE AND HEAT TREATMENT,0.397,0.083
66,PRAKTISCHE METALLOGRAPHIE-PRACTICAL METALLOGRAPHY,0.384,0.126
67,China Foundry,0.360,0.068
68,METALLURGIST,0.347,0.045
69,Journal of the Southern African Institute of Mining and Metallurgy,0.339,0.095
70,POWDER METALLURGY AND METAL CERAMICS,0.326,0.053
71,JOURNAL OF THE JAPAN INSTITUTE OF METALS,0.312,0.068
72,RARE METAL MATERIALS AND ENGINEERING,0.290,0.037
73,TETSU TO HAGANE-JOURNAL OF THE IRON AND STEEL INSTITUTE OF JAPAN,0.284,0.097
74,Soldagem & Inspecao,0.244,0.061
75,INTERNATIONAL JOURNAL OF POWDER METALLURGY,0.182,0.074
Copyright © 2019 Clarivate Analytics,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,
