"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Categories: 'MICROBIOLOGY' Selected Category Scheme: WoS",,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
1,NATURE REVIEWS MICROBIOLOGY,31.851,12.508
2,CLINICAL MICROBIOLOGY REVIEWS,20.642,8.632
3,Cell Host & Microbe,17.872,7.370
4,Nature Microbiology,14.174,7.513
5,MICROBIOLOGY AND MOLECULAR BIOLOGY REVIEWS,13.439,6.534
6,TRENDS IN MICROBIOLOGY,11.776,4.126
7,FEMS MICROBIOLOGY REVIEWS,11.392,5.137
8,Annual Review of Microbiology,9.808,5.347
9,ISME Journal,9.520,3.664
10,Microbiome,9.133,3.825
11,CLINICAL INFECTIOUS DISEASES,9.117,3.573
12,CURRENT OPINION IN MICROBIOLOGY,6.710,2.460
13,mBio,6.689,2.732
14,PLoS Pathogens,6.158,2.627
15,Emerging Microbes & Infections,6.032,2.142
16,Current Topics in Microbiology and Immunology,5.829,1.670
17,mSystems,5.750,2.435
18,CLINICAL MICROBIOLOGY AND INFECTION,5.394,1.981
19,JOURNAL OF ANTIMICROBIAL CHEMOTHERAPY,5.217,1.645
20,JOURNAL OF INFECTIOUS DISEASES,5.186,2.108
21,ENVIRONMENTAL MICROBIOLOGY,4.974,1.608
22,CRITICAL REVIEWS IN MICROBIOLOGY,4.738,1.392
23,Advances in Applied Microbiology,4.677,1.310
24,Journal of Oral Microbiology,4.444,Not Available
25,CELLULAR MICROBIOLOGY,4.410,1.586
26,ANTIMICROBIAL AGENTS AND CHEMOTHERAPY,4.256,1.307
27,INTERNATIONAL JOURNAL OF ANTIMICROBIAL AGENTS,4.253,1.279
28,npj Biofilms and Microbiomes,4.128,1.299
29,HELICOBACTER,4.123,0.899
30,FOOD MICROBIOLOGY,4.090,0.966
31,JOURNAL OF CLINICAL MICROBIOLOGY,4.054,1.285
32,Frontiers in Microbiology,4.019,1.253
33,Virulence,3.947,1.627
34,Microbial Biotechnology,3.913,1.101
35,SYSTEMATIC AND APPLIED MICROBIOLOGY,3.899,1.083
36,MOLECULAR MICROBIOLOGY,3.816,1.591
37,APPLIED AND ENVIRONMENTAL MICROBIOLOGY,3.633,1.167
38,MICROBIAL ECOLOGY,3.614,0.974
39,mSphere,3.575,1.352
40,Antimicrobial Resistance and Infection Control,3.568,1.111
41,Frontiers in Cellular and Infection Microbiology,3.520,1.400
42,FEMS MICROBIOLOGY ECOLOGY,3.495,1.133
43,Advances in Microbial Physiology,3.455,1.063
44,INTERNATIONAL JOURNAL OF FOOD MICROBIOLOGY,3.451,0.877
45,INTERNATIONAL JOURNAL OF MEDICAL MICROBIOLOGY,3.298,1.159
46,JOURNAL OF BACTERIOLOGY,3.219,0.990
47,MEDICAL MICROBIOLOGY AND IMMUNOLOGY,3.202,0.830
48,Future Microbiology,3.190,1.180
49,Annals of Clinical Microbiology and Antimicrobials,3.155,0.863
50,MICROBES AND INFECTION,2.924,0.768
51,Environmental Microbiology Reports,2.885,1.082
52,Clinical and Vaccine Immunology,2.872,0.820
53,Molecular Oral Microbiology,2.853,0.879
54,BMC MICROBIOLOGY,2.829,0.869
55,Gut Pathogens,2.809,0.687
56,MICROBIOLOGICAL RESEARCH,2.777,0.776
57,ANAEROBE,2.742,0.691
58,TUBERCULOSIS,2.727,0.789
59,PROTIST,2.702,0.957
60,MicrobiologyOpen,2.682,0.842
61,Ticks and Tick-Borne Diseases,2.612,0.848
62,FEMS YEAST RESEARCH,2.609,0.880
63,EUROPEAN JOURNAL OF CLINICAL MICROBIOLOGY & INFECTIOUS DISEASES,2.537,0.802
63,JOURNAL OF EUKARYOTIC MICROBIOLOGY,2.537,0.773
65,VETERINARY MICROBIOLOGY,2.525,0.727
66,MICROBES AND ENVIRONMENTS,2.476,0.597
67,EUROPEAN JOURNAL OF PROTISTOLOGY,2.430,0.459
68,RESEARCH IN MICROBIOLOGY,2.372,0.706
69,Probiotics and Antimicrobial Proteins,2.345,0.390
70,Microbial Drug Resistance,2.344,0.646
71,DIAGNOSTIC MICROBIOLOGY AND INFECTIOUS DISEASE,2.341,0.737
72,Pathogens and Disease,2.337,0.856
73,MICROBIAL PATHOGENESIS,2.332,0.493
74,JOURNAL OF MICROBIOLOGY,2.319,0.534
75,Innate Immunity,2.312,0.700
76,Beneficial Microbes,2.310,0.661
77,YEAST,2.283,0.744
78,Food and Environmental Virology,2.273,0.566
79,PLASMID,2.228,0.654
80,JOURNAL OF APPLIED MICROBIOLOGY,2.160,0.628
81,JOURNAL OF MEDICAL MICROBIOLOGY,2.112,0.693
82,JOURNAL OF MICROBIOLOGY IMMUNOLOGY AND INFECTION,2.094,0.519
83,JOURNAL OF ANTIBIOTICS,2.033,0.598
84,APMIS,2.026,0.555
85,AQUATIC MICROBIAL ECOLOGY,2.024,0.761
86,EXTREMOPHILES,2.000,0.547
87,INTERNATIONAL JOURNAL OF SYSTEMATIC AND EVOLUTIONARY MICROBIOLOGY,1.932,0.385
88,COMPARATIVE IMMUNOLOGY MICROBIOLOGY AND INFECTIOUS DISEASES,1.920,0.616
89,MICROBIOLOGY-SGM,1.866,0.765
90,BRAZILIAN JOURNAL OF MICROBIOLOGY,1.810,0.382
91,ARCHAEA-AN INTERNATIONAL MICROBIOLOGICAL JOURNAL,1.756,0.871
92,FEMS MICROBIOLOGY LETTERS,1.735,0.573
93,SYMBIOSIS,1.713,0.406
94,ENFERMEDADES INFECCIOSAS Y MICROBIOLOGIA CLINICA,1.707,0.367
95,JOURNAL OF MICROBIOLOGICAL METHODS,1.701,0.516
96,JOURNAL OF MICROBIOLOGY AND BIOTECHNOLOGY,1.650,0.399
97,ARCHIVES OF MICROBIOLOGY,1.607,0.484
98,Standards in Genomic Sciences,1.600,0.490
99,ANTONIE VAN LEEUWENHOEK INTERNATIONAL JOURNAL OF GENERAL AND MOLECULAR MICROBIOLOGY,1.588,0.542
100,JOURNAL OF BASIC MICROBIOLOGY,1.580,0.376
101,LETTERS IN APPLIED MICROBIOLOGY,1.471,0.440
102,JOURNAL OF MOLECULAR MICROBIOLOGY AND BIOTECHNOLOGY,1.462,0.529
103,New Microbiologica,1.412,0.377
104,ANNALS OF MICROBIOLOGY,1.407,0.293
105,CURRENT MICROBIOLOGY,1.373,0.363
106,JOURNAL OF WATER AND HEALTH,1.352,0.353
107,MICROBIOLOGY AND IMMUNOLOGY,1.335,0.437
108,FOLIA MICROBIOLOGICA,1.311,0.329
109,INDIAN JOURNAL OF MICROBIOLOGY,1.310,0.259
110,Canadian Journal of Infectious Diseases & Medical Microbiology,1.271,0.389
111,CANADIAN JOURNAL OF MICROBIOLOGY,1.243,0.330
112,Jundishapur Journal of Microbiology,1.233,0.198
113,ACTA MICROBIOLOGICA ET IMMUNOLOGICA HUNGARICA,1.107,0.147
114,ACTA PROTOZOOLOGICA,1.038,0.330
115,REVISTA ARGENTINA DE MICROBIOLOGIA,0.879,0.196
116,MICROBIOLOGY,0.855,0.189
117,INTERNATIONAL MICROBIOLOGY,0.796,0.412
118,JOURNAL OF GENERAL AND APPLIED MICROBIOLOGY,0.789,0.278
119,Polish Journal of Microbiology,0.784,0.210
120,APPLIED BIOCHEMISTRY AND MICROBIOLOGY,0.707,0.153
121,Revista Espanola de Quimioterapia,0.605,0.184
122,MIKROBIYOLOJI BULTENI,0.493,0.097
123,Methods in Microbiology,0.476,0.295
124,EPIDEMIOLOGIE MIKROBIOLOGIE IMUNOLOGIE,0.373,0.080
125,Postepy Mikrobiologii,0.354,0.046
126,Molecular Genetics Microbiology and Virology,0.313,0.071
Copyright © 2019 Clarivate Analytics,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,
