"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Categories: 'MICROSCOPY' Selected Category Scheme: WoS",,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
1,ULTRAMICROSCOPY,2.929,1.156
2,HISTOCHEMISTRY AND CELL BIOLOGY,2.164,0.684
3,MICROSCOPY AND MICROANALYSIS,2.124,0.671
4,MICRON,1.728,0.549
5,JOURNAL OF MICROSCOPY,1.693,0.718
6,Microscopy,1.625,0.633
7,MICROSCOPY RESEARCH AND TECHNIQUE,1.087,0.301
8,SCANNING,0.994,0.279
9,ULTRASTRUCTURAL PATHOLOGY,0.657,0.193
10,Acta Microscopica,0.286,0.031
Copyright © 2019 Clarivate Analytics,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,
