Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE Selected Categories: 'MULTIDISCIPLINARY SCIENCES' Selected Category Scheme: WoS,,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
1,NATURE,41.577,22.537
2,SCIENCE,41.058,19.909
3,Nature Communications,12.353,5.685
4,Science Advances,11.511,5.413
5,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,9.504,4.531
6,National Science Review,9.408,4.198
7,GigaScience,7.267,5.304
8,Scientific Data,5.311,2.596
9,Journal of Advanced Research,4.327,Not Available
10,Annals of the New York Academy of Sciences,4.277,1.597
11,Science Bulletin,4.136,1.037
12,Scientific Reports,4.122,1.356
13,Journal of the Royal Society Interface,3.355,1.474
14,Research Synthesis Methods,3.218,3.343
15,PLoS One,2.766,1.000
16,PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY A-MATHEMATICAL PHYSICAL AND ENGINEERING SCIENCES,2.748,1.315
17,Royal Society Open Science,2.504,0.947
18,PROCEEDINGS OF THE ROYAL SOCIETY A-MATHEMATICAL PHYSICAL AND ENGINEERING SCIENCES,2.410,1.070
19,PeerJ,2.118,0.820
20,NPJ Microgravity,2.000,0.675
21,SCIENCE AND ENGINEERING ETHICS,1.859,0.465
22,COMPLEXITY,1.829,0.448
23,Science of Nature,1.789,0.571
24,PROCEEDINGS OF THE JAPAN ACADEMY SERIES B-PHYSICAL AND BIOLOGICAL SCIENCES,1.771,0.826
25,Proceedings of the Romanian Academy Series A-Mathematics Physics Technical Sciences Information Science,1.752,0.251
26,FRACTALS-COMPLEX GEOMETRY PATTERNS AND SCALING IN NATURE AND SOCIETY,1.629,0.329
27,SCIENTIFIC AMERICAN,1.579,0.544
28,INTERNATIONAL JOURNAL OF BIFURCATION AND CHAOS,1.501,0.382
29,Symmetry-Basel,1.256,0.328
30,SOUTH AFRICAN JOURNAL OF SCIENCE,1.191,0.372
31,Jove-Journal of Visualized Experiments,1.184,0.599
32,JOURNAL OF THE INDIAN INSTITUTE OF SCIENCE,1.151,Not Available
33,JOURNAL OF THE ROYAL SOCIETY OF NEW ZEALAND,1.147,0.352
34,Mathematical Modelling of Natural Phenomena,1.101,0.491
35,SCIENCE PROGRESS,1.098,Not Available
36,ARABIAN JOURNAL FOR SCIENCE AND ENGINEERING,1.092,0.186
37,ISSUES IN SCIENCE AND TECHNOLOGY,1.030,0.398
38,RENDICONTI LINCEI-SCIENZE FISICHE E NATURALI,0.986,0.234
39,ANAIS DA ACADEMIA BRASILEIRA DE CIENCIAS,0.956,0.275
40,Frontiers in Life Science,0.907,0.212
41,CURRENT SCIENCE,0.883,0.264
42,Proceedings of the Estonian Academy of Sciences,0.843,0.177
43,ADVANCES IN COMPLEX SYSTEMS,0.769,0.281
44,DISCRETE DYNAMICS IN NATURE AND SOCIETY,0.757,0.204
44,Iranian Journal of Science and Technology Transaction A-Science,0.757,0.123
46,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES INDIA SECTION A-PHYSICAL SCIENCES,0.754,0.140
47,Kuwait Journal of Science,0.693,0.079
48,Sains Malaysiana,0.565,0.094
49,SCIENTIST,0.537,0.151
50,AMERICAN SCIENTIST,0.525,0.437
51,NATIONAL ACADEMY SCIENCE LETTERS-INDIA,0.519,0.128
52,DEFENCE SCIENCE JOURNAL,0.510,0.115
53,ENDEAVOUR,0.500,0.297
53,TRANSACTIONS OF THE ROYAL SOCIETY OF SOUTH AUSTRALIA,0.500,0.107
55,HERALD OF THE RUSSIAN ACADEMY OF SCIENCES,0.472,0.085
56,Maejo International Journal of Science and Technology,0.469,0.108
57,SCIENCEASIA,0.447,0.116
58,Chiang Mai Journal of Science,0.409,0.078
59,NEW SCIENTIST,0.386,0.081
60,INTERDISCIPLINARY SCIENCE REVIEWS,0.311,0.052
61,JOURNAL OF THE NATIONAL SCIENCE FOUNDATION OF SRI LANKA,0.305,0.091
62,COMPTES RENDUS DE L ACADEMIE BULGARE DES SCIENCES,0.270,0.027
63,ACTA SCIENTIARUM-TECHNOLOGY,0.231,0.075
64,R&D MAGAZINE,0.109,0.003
Copyright © 2019 Clarivate Analytics,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,
