"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Categories: 'ORNITHOLOGY' Selected Category Scheme: WoS",,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
1,CONDOR,2.722,0.609
2,JOURNAL OF AVIAN BIOLOGY,2.488,0.775
3,AUK,2.442,0.844
4,IBIS,2.234,0.689
5,JOURNAL OF ORNITHOLOGY,1.954,0.628
6,BIRD CONSERVATION INTERNATIONAL,1.493,0.510
7,Avian Conservation and Ecology,1.436,0.539
8,JOURNAL OF FIELD ORNITHOLOGY,1.394,0.455
9,ORNIS FENNICA,1.390,0.347
10,Ardeola-International Journal of Ornithology,1.200,0.323
11,BIRD STUDY,1.124,0.358
12,EMU,1.069,0.398
13,Avian Research,1.063,0.379
14,ACTA ORNITHOLOGICA,1.023,0.415
15,ARDEA,0.950,0.297
16,Avian Biology Research,0.938,0.365
17,JOURNAL OF RAPTOR RESEARCH,0.699,0.214
18,WATERBIRDS,0.669,0.227
19,OSTRICH,0.616,0.150
20,Revista Brasileira de Ornitologia,0.565,0.144
21,Wilson Journal of Ornithology,0.483,0.207
22,ORNITHOLOGICAL SCIENCE,0.405,0.158
23,NOTORNIS,0.351,Not Available
24,FORKTAIL,0.275,0.088
25,ORNITOLOGIA NEOTROPICAL,0.200,0.160
Copyright © 2019 Clarivate Analytics,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,
