"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Categories: 'PARASITOLOGY' Selected Category Scheme: WoS",,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
1,Cell Host & Microbe,17.872,7.370
2,TRENDS IN PARASITOLOGY,7.929,2.429
3,PLoS Pathogens,6.158,2.627
4,PLoS Neglected Tropical Diseases,4.367,1.476
5,Advances in Parasitology,3.986,1.606
6,Parasites & Vectors,3.163,0.971
7,INTERNATIONAL JOURNAL FOR PARASITOLOGY,3.078,1.230
8,International Journal for Parasitology-Drugs and Drug Resistance,3.030,1.162
9,MALARIA JOURNAL,2.845,0.851
10,PARASITE IMMUNOLOGY,2.836,0.667
11,MEMORIAS DO INSTITUTO OSWALDO CRUZ,2.833,0.696
12,International Journal for Parasitology-Parasites and Wildlife,2.777,Not Available
13,Ticks and Tick-Borne Diseases,2.612,0.848
14,PARASITOLOGY RESEARCH,2.558,0.503
15,PARASITOLOGY,2.511,0.816
16,ACTA TROPICA,2.509,0.676
17,VETERINARY PARASITOLOGY,2.422,0.624
18,Parasite,2.069,0.602
19,PARASITOLOGY INTERNATIONAL,2.055,0.589
20,EXPERIMENTAL PARASITOLOGY,1.821,0.475
21,MOLECULAR AND BIOCHEMICAL PARASITOLOGY,1.744,0.681
22,Pathogens and Global Health,1.703,0.648
23,FOLIA PARASITOLOGICA,1.505,0.425
24,JOURNAL OF PARASITOLOGY,1.395,0.412
25,Revista da Sociedade Brasileira de Medicina Tropical,1.358,0.355
26,JOURNAL OF HELMINTHOLOGY,1.344,0.376
27,SYSTEMATIC PARASITOLOGY,1.273,0.339
28,Journal of Arthropod-Borne Diseases,1.231,0.313
29,KOREAN JOURNAL OF PARASITOLOGY,1.207,0.311
30,REVISTA BRASILEIRA DE PARASITOLOGIA VETERINARIA,1.090,0.375
31,Iranian Journal of Parasitology,1.043,0.291
32,ACTA PARASITOLOGICA,1.039,0.304
33,JOURNAL OF VECTOR BORNE DISEASES,0.886,0.325
34,COMPARATIVE PARASITOLOGY,0.636,0.193
35,HELMINTHOLOGIA,0.417,0.167
36,TROPICAL BIOMEDICINE,0.393,0.202
37,Boletin de Malariologia y Salud Ambiental,0.214,0.053
Copyright © 2019 Clarivate Analytics,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,
