"Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE,SSCI Selected Categories: 'REPRODUCTIVE BIOLOGY' Selected Category Scheme: WoS",,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
1,HUMAN REPRODUCTION UPDATE,11.852,4.206
2,HUMAN REPRODUCTION,4.990,1.564
3,FERTILITY AND STERILITY,4.803,1.424
4,MOLECULAR HUMAN REPRODUCTION,3.449,1.155
5,BIOLOGY OF REPRODUCTION,3.184,1.007
6,MOLECULAR REPRODUCTION AND DEVELOPMENT,3.113,0.867
7,REPRODUCTION,3.086,0.980
8,REPRODUCTIVE BIOMEDICINE ONLINE,2.967,0.957
9,Reproductive Biology and Endocrinology,2.852,0.854
10,JOURNAL OF ASSISTED REPRODUCTION AND GENETICS,2.788,0.736
11,AMERICAN JOURNAL OF REPRODUCTIVE IMMUNOLOGY,2.745,0.735
12,Plant Reproduction,2.707,0.843
13,SEMINARS IN REPRODUCTIVE MEDICINE,2.670,0.837
14,REPRODUCTIVE TOXICOLOGY,2.580,0.752
15,Reproductive Sciences,2.548,0.699
16,PLACENTA,2.434,0.849
17,Journal of Ovarian Research,2.367,0.647
18,JOURNAL OF REPRODUCTIVE IMMUNOLOGY,2.322,0.738
19,THERIOGENOLOGY,2.136,0.485
20,REPRODUCTION FERTILITY AND DEVELOPMENT,2.105,0.568
21,European Journal of Obstetrics & Gynecology and Reproductive Biology,1.809,0.567
22,ANIMAL REPRODUCTION SCIENCE,1.647,0.421
23,JOURNAL OF REPRODUCTION AND DEVELOPMENT,1.635,0.456
24,Systems Biology in Reproductive Medicine,1.582,0.351
25,Reproductive Biology,1.446,0.576
26,Human Fertility,1.438,0.341
27,REPRODUCTION IN DOMESTIC ANIMALS,1.422,0.375
28,ZYGOTE,1.114,0.258
29,INVERTEBRATE REPRODUCTION & DEVELOPMENT,1.056,0.251
Copyright © 2019 Clarivate Analytics,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,
