Journal Data Filtered By:  Selected JCR Year: 2017 Selected Editions: SCIE Selected Categories: 'ZOOLOGY' Selected Category Scheme: WoS,,,
Rank,Full Journal Title,Journal Impact Factor,Article Influence Score
1,Annual Review of Animal Biosciences,6.775,2.077
2,WILDLIFE MONOGRAPHS,4.800,1.993
3,JOURNAL OF ANIMAL ECOLOGY,4.459,1.828
4,MAMMAL REVIEW,4.250,1.619
5,Frontiers in Zoology,3.627,1.244
6,JOURNAL OF COMPARATIVE NEUROLOGY,3.400,1.216
7,BEHAVIORAL ECOLOGY,3.347,1.197
8,JOURNAL OF ZOOLOGICAL SYSTEMATICS AND EVOLUTIONARY RESEARCH,3.286,0.707
9,ANIMAL BEHAVIOUR,3.067,1.110
10,ZOOLOGICA SCRIPTA,3.057,1.007
11,DEVELOPMENTAL AND COMPARATIVE IMMUNOLOGY,2.913,0.645
12,Zoological Letters,2.900,Not Available
13,ANIMAL COGNITION,2.805,0.803
14,JOURNAL OF MAMMALIAN EVOLUTION,2.755,0.909
15,INTEGRATIVE AND COMPARATIVE BIOLOGY,2.751,1.152
16,ZOOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,2.685,0.972
17,Journal of Comparative Physiology B-Biochemical Systems and Environmental Physiology,2.517,0.754
18,JOURNAL OF INVERTEBRATE PATHOLOGY,2.511,0.589
19,BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY,2.473,0.860
20,JOURNAL OF EXPERIMENTAL ZOOLOGY PART B-MOLECULAR AND DEVELOPMENTAL EVOLUTION,2.432,0.769
21,COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY C-TOXICOLOGY & PHARMACOLOGY,2.426,0.594
22,Current Zoology,2.393,0.756
23,ORGANISMS DIVERSITY & EVOLUTION,2.369,1.099
24,PHYSIOLOGICAL AND BIOCHEMICAL ZOOLOGY,2.291,0.737
25,AMERICAN JOURNAL OF PRIMATOLOGY,2.288,0.713
