"Journal Data Filtered By:  Selected JCR Year: 2018 Selected Editions: SCIE,SSCI Selected Categories: 'FOOD SCIENCE & TECHNOLOGY' Selected Category Scheme: WoS",,,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score,Article Influence Score
1,COMPREHENSIVE REVIEWS IN FOOD SCIENCE AND FOOD SAFETY,"5,682",8.738,0.008000,2.198
2,TRENDS IN FOOD SCIENCE & TECHNOLOGY,"14,653",8.519,0.014760,1.803
3,Annual Review of Food Science and Technology,"1,887",8.511,0.003160,2.216
4,CRITICAL REVIEWS IN FOOD SCIENCE AND NUTRITION,"12,591",6.704,0.015020,1.458
5,FOOD HYDROCOLLOIDS,"23,287",5.839,0.025340,0.985
6,Global Food Security-Agriculture Policy Economics and Environment,"1,219",5.456,0.003920,1.845
7,FOOD CHEMISTRY,"104,574",5.399,0.103860,0.955
8,Food and Energy Security,413,4.781,0.001110,1.192
9,MOLECULAR NUTRITION & FOOD RESEARCH,"12,276",4.653,0.015850,1.021
10,Antioxidants,882,4.520,0.001690,Not Available
11,FOOD CONTROL,"20,900",4.248,0.029850,0.781
12,Food Engineering Reviews,943,4.217,0.001360,1.005
13,JOURNAL OF FOOD AND DRUG ANALYSIS,"3,071",4.176,0.004570,0.754
14,FOOD MICROBIOLOGY,"10,786",4.089,0.012130,0.965
15,Innovative Food Science & Emerging Technologies,"7,847",4.085,0.009650,0.827
16,INTERNATIONAL JOURNAL OF FOOD MICROBIOLOGY,"26,840",4.006,0.019630,0.892
17,FOOD REVIEWS INTERNATIONAL,"1,776",3.933,0.001030,0.756
18,POSTHARVEST BIOLOGY AND TECHNOLOGY,"11,753",3.927,0.009870,0.722
19,Toxins,"7,709",3.895,0.015920,0.842
20,Current Opinion in Food Science,"1,162",3.828,0.002860,0.814
21,FOOD POLICY,"6,102",3.788,0.009030,1.258
22,FOOD AND CHEMICAL TOXICOLOGY,"26,870",3.775,0.022540,0.755
23,LWT-FOOD SCIENCE AND TECHNOLOGY,"25,642",3.714,0.032240,0.729
24,FOOD QUALITY AND PREFERENCE,"7,933",3.684,0.008990,0.827
25,Food Packaging and Shelf Life,769,3.630,0.001370,Not Available
26,JOURNAL OF FOOD ENGINEERING,"27,021",3.625,0.018300,0.727
27,FOOD RESEARCH INTERNATIONAL,"26,072",3.579,0.031630,0.870
28,JOURNAL OF AGRICULTURAL AND FOOD CHEMISTRY,"109,151",3.571,0.066550,0.764
29,MEAT SCIENCE,"20,444",3.483,0.014400,0.739
30,FOOD AND BIOPRODUCTS PROCESSING,"3,846",3.324,0.004930,0.645
31,Food & Function,"8,392",3.241,0.016730,0.683
32,Food Bioscience,798,3.220,0.001590,Not Available
33,Journal of Functional Foods,"9,844",3.197,0.019560,0.685
34,JOURNAL OF DAIRY SCIENCE,"48,844",3.082,0.031720,0.568
35,Food and Bioprocess Technology,"7,206",3.032,0.011500,0.682
36,Foods,"1,095",3.011,0.002420,Not Available
37,JOURNAL OF FOOD COMPOSITION AND ANALYSIS,"7,374",2.994,0.006000,0.665
38,INTERNATIONAL JOURNAL OF FOOD SCIENCES AND NUTRITION,"4,135",2.792,0.004450,0.528
39,INTERNATIONAL DAIRY JOURNAL,"8,541",2.735,0.005590,0.557
40,PLANT FOODS FOR HUMAN NUTRITION,"3,134",2.598,0.002180,0.525
41,Food & Nutrition Research,"1,388",2.553,0.002890,0.638
42,JOURNAL OF CEREAL SCIENCE,"8,219",2.452,0.006250,0.584
43,JOURNAL OF THE SCIENCE OF FOOD AND AGRICULTURE,"22,298",2.422,0.018750,0.554
44,Food Additives & Contaminants Part B-Surveillance,803,2.419,0.001150,0.366
45,Food Analytical Methods,"4,426",2.413,0.008540,0.418
46,Food Biophysics,"1,235",2.411,0.001550,0.514
47,BIOTECHNOLOGY PROGRESS,"8,426",2.406,0.005710,0.502
47,World Mycotoxin Journal,"1,076",2.406,0.001500,0.449
49,FOOD AND AGRICULTURAL IMMUNOLOGY,"1,053",2.398,0.001050,0.225
50,Analytical Methods,"13,640",2.378,0.027720,0.396
51,AUSTRALIAN JOURNAL OF GRAPE AND WINE RESEARCH,"2,374",2.343,0.002180,0.593
52,CHEMICAL SENSES,"4,443",2.336,0.003880,0.863
53,INTERNATIONAL JOURNAL OF FOOD SCIENCE AND TECHNOLOGY,"9,643",2.281,0.008250,0.390
54,Food Additives and Contaminants Part A-Chemistry Analysis Control Exposure & Risk Assessment,"7,732",2.170,0.006380,0.468
55,Food Security,"2,014",2.153,0.003800,0.773
56,JOURNAL OF FOOD SCIENCE,"25,840",2.081,0.010950,0.487
57,JOURNAL OF SENSORY STUDIES,"1,547",2.072,0.001190,0.421
58,EUROPEAN FOOD RESEARCH AND TECHNOLOGY,"8,254",2.056,0.006070,0.434
59,JOURNAL OF BIOSCIENCE AND BIOENGINEERING,"8,324",2.032,0.007120,0.459
60,JOURNAL OF MEDICINAL FOOD,"4,797",2.020,0.004400,0.412
61,Foodborne Pathogens and Disease,"3,884",2.000,0.005210,0.620
62,PACKAGING TECHNOLOGY AND SCIENCE,"1,578",1.881,0.001110,0.285
63,EUROPEAN JOURNAL OF LIPID SCIENCE AND TECHNOLOGY,"5,712",1.852,0.005660,0.443
