"Journal Data Filtered By:  Selected JCR Year: 2018 Selected Editions: SCIE,SSCI Selected Categories: 'ANATOMY & MORPHOLOGY','CHEMISTRY, MEDICINAL','IMMUNOLOGY','MEDICINE, RESEARCH & EXPERIMENTAL','NEUROSCIENCES','PATHOLOGY','PHARMACOLOGY & PHARMACY','PHYSIOLOGY','PSYCHOLOGY, CLINICAL','TOXICOLOGY' Selected Category Scheme: WoS",,,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score,Article Influence Score
1,NATURE REVIEWS DRUG DISCOVERY,"32,266",57.618,0.054880,20.886
2,NATURE REVIEWS IMMUNOLOGY,"41,499",44.019,0.080190,20.869
3,NATURE REVIEWS NEUROSCIENCE,"43,107",33.162,0.068470,17.880
4,NATURE MEDICINE,"79,243",30.641,0.162940,15.679
5,PHYSIOLOGICAL REVIEWS,"28,672",24.250,0.026850,11.892
6,NATURE IMMUNOLOGY,"44,298",23.530,0.094210,10.960
7,IMMUNITY,"51,051",21.522,0.126050,11.230
8,Annual Review of Immunology,"17,013",21.429,0.022200,14.749
9,NATURE NEUROSCIENCE,"63,390",21.126,0.164630,11.784
10,PHARMACOLOGICAL REVIEWS,"12,653",18.886,0.011950,6.706
11,ACTA NEUROPATHOLOGICA,"20,206",18.174,0.041640,5.592
12,Annual Review of Physiology,"9,562",17.902,0.012800,7.293
13,Science Translational Medicine,"30,485",17.200,0.121930,8.223
14,BEHAVIORAL AND BRAIN SCIENCES,"9,377",17.194,0.010250,8.922
15,TRENDS IN COGNITIVE SCIENCES,"27,095",16.173,0.040040,9.161
16,ADVANCED DRUG DELIVERY REVIEWS,"36,350",15.519,0.037420,3.759
17,JOURNAL OF PINEAL RESEARCH,"10,695",15.221,0.010560,1.966
18,Lancet HIV,"2,417",14.753,0.014260,7.016
19,NEURON,"95,348",14.403,0.218590,8.644
20,JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY,"51,978",14.110,0.076210,3.750
21,Annual Review of Clinical Psychology,"5,555",14.098,0.011110,7.449
22,Annual Review of Pathology-Mechanisms of Disease,"4,585",13.833,0.008460,6.822
23,TRENDS IN IMMUNOLOGY,"12,153",13.000,0.025460,5.463
24,TRENDS IN NEUROSCIENCES,"20,163",12.314,0.024470,5.599
25,JOURNAL OF CLINICAL INVESTIGATION,"108,879",12.282,0.139940,5.402
26,Annual Review of Pharmacology and Toxicology,"7,820",12.103,0.009900,5.321
27,Annual Review of Neuroscience,"14,042",12.043,0.015010,9.803
28,MOLECULAR PSYCHIATRY,"20,353",11.973,0.049280,4.535
29,NATURAL PRODUCT REPORTS,"11,039",11.876,0.014860,3.464
30,BRAIN,"52,970",11.814,0.073990,4.548
31,DRUG RESISTANCE UPDATES,"2,856",11.708,0.003590,3.025
32,TRENDS IN PHARMACOLOGICAL SCIENCES,"12,317",11.523,0.018170,3.888
33,BIOLOGICAL PSYCHIATRY,"43,122",11.501,0.053290,4.004
34,IMMUNOLOGICAL REVIEWS,"15,517",11.292,0.027030,4.015
35,TRENDS IN MOLECULAR MEDICINE,"9,946",11.028,0.018890,3.975
36,JOURNAL OF EXPERIMENTAL MEDICINE,"63,983",10.892,0.071770,5.541
37,PROGRESS IN NEUROBIOLOGY,"12,929",10.658,0.013220,3.697
38,EMBO Molecular Medicine,"7,507",10.624,0.025980,3.685
39,Nature Human Behaviour,"1,230",10.575,0.006540,5.700
40,Science Immunology,"1,292",10.551,0.007570,5.363
41,SLEEP MEDICINE REVIEWS,"6,920",10.517,0.010910,3.192
42,Annual Review of Medicine,"6,068",10.091,0.009020,4.170
43,CLINICAL PSYCHOLOGY REVIEW,"16,566",9.904,0.021100,4.296
44,MEDICINAL RESEARCH REVIEWS,"4,560",9.791,0.004920,2.096
45,ANNALS OF NEUROLOGY,"37,336",9.496,0.048610,4.246
46,PHARMACOLOGY & THERAPEUTICS,"15,434",9.396,0.022530,2.854
47,Health Psychology Review,"1,748",9.070,0.005540,3.108
48,CLINICAL INFECTIOUS DISEASES,"64,031",9.055,0.118940,3.653
49,Journal for ImmunoTherapy of Cancer,"2,716",8.728,0.011350,Not Available
50,Cancer Immunology Research,"5,420",8.619,0.025380,3.593
51,MOLECULAR THERAPY,"16,991",8.402,0.030050,2.334
52,MOLECULAR ASPECTS OF MEDICINE,"5,568",8.313,0.009020,3.148
53,Molecular Neurodegeneration,"4,248",8.274,0.011350,2.653
54,Cellular & Molecular Immunology,"4,058",8.213,0.009160,2.029
55,Theranostics,"8,769",8.063,0.020270,1.854
56,NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS,"26,724",8.002,0.051570,3.132
57,JOURNAL OF CONTROLLED RELEASE,"47,630",7.901,0.052220,1.703
58,FRONTIERS IN NEUROENDOCRINOLOGY,"4,196",7.852,0.005490,2.739
59,ENVIRONMENTAL HEALTH PERSPECTIVES,"42,166",7.736,0.039540,2.755
60,ALIMENTARY PHARMACOLOGY & THERAPEUTICS,"20,998",7.731,0.033410,2.265
61,AUTOIMMUNITY REVIEWS,"9,127",7.716,0.018230,1.928
62,CURRENT OPINION IN IMMUNOLOGY,"9,164",7.667,0.017430,2.757
63,Journal of Allergy and Clinical Immunology-In Practice,"4,196",7.550,0.013080,1.849
64,JOURNAL OF AUTOIMMUNITY,"6,900",7.543,0.015050,2.099
65,SEMINARS IN IMMUNOLOGY,"5,016",7.358,0.010280,2.929
66,Neurology-Neuroimmunology & Neuroinflammation,"1,996",7.353,0.008220,Not Available
67,Mucosal Immunology,"6,990",7.352,0.020720,2.561
68,CLINICAL REVIEWS IN ALLERGY & IMMUNOLOGY,"3,149",7.328,0.006380,1.613
69,Clinical & Translational Immunology,998,7.271,0.003770,Not Available
70,EMERGING INFECTIOUS DISEASES,"30,311",7.185,0.059400,2.725
71,NEUROPSYCHOPHARMACOLOGY,"25,672",7.160,0.039080,2.181
72,Brain Stimulation,"5,457",6.919,0.014460,1.918
73,DRUG DISCOVERY TODAY,"14,244",6.880,0.021550,1.761
74,NEUROPATHOLOGY AND APPLIED NEUROBIOLOGY,"3,876",6.878,0.006420,1.892
75,NEUROENDOCRINOLOGY,"5,046",6.804,0.005700,1.393
75,Seminars in Immunopathology,"3,337",6.804,0.007880,2.220
77,NEUROSCIENTIST,"4,986",6.791,0.008510,2.805
78,ALLERGY,"17,873",6.771,0.024230,1.884
79,European Heart Journal-Cardiovascular Pharmacotherapy,442,6.723,0.001430,Not Available
80,EBioMedicine,"5,401",6.680,0.022300,2.211
81,BRITISH JOURNAL OF PHARMACOLOGY,"34,006",6.583,0.033420,1.380
82,Particle and Fibre Toxicology,"4,174",6.561,0.006850,1.875
83,EXERCISE IMMUNOLOGY REVIEW,754,6.455,0.000890,1.695
84,JOURNAL OF TOXICOLOGY AND ENVIRONMENTAL HEALTH-PART B-CRITICAL REVIEWS,"1,753",6.436,0.001470,1.397
85,PHYSIOLOGY,"3,499",6.380,0.005880,2.423
86,MODERN PATHOLOGY,"13,735",6.365,0.021560,1.961
87,BRAIN PATHOLOGY,"5,263",6.352,0.007880,1.951
88,CLINICAL PHARMACOLOGY & THERAPEUTICS,"16,170",6.336,0.016950,1.885
89,Comprehensive Physiology,"4,044",6.246,0.010740,2.835
90,Reviews of Physiology Biochemistry and Pharmacology,738,6.214,0.000540,1.298
91,Emerging Microbes & Infections,"1,941",6.212,0.006720,1.935
92,ALTEX-Alternatives to Animal Experimentation,"1,361",6.183,0.001920,1.040
93,BRAIN BEHAVIOR AND IMMUNITY,"14,533",6.170,0.025680,1.734
94,AMERICAN JOURNAL OF SURGICAL PATHOLOGY,"21,132",6.155,0.023420,1.769
95,Alzheimers Research & Therapy,"3,160",6.142,0.010700,2.232
96,Wiley Interdisciplinary Reviews-Nanomedicine and Nanobiotechnology,"2,345",6.140,0.004140,1.340
97,MUTATION RESEARCH-REVIEWS IN MUTATION RESEARCH,"3,566",6.081,0.004090,1.833
98,JOURNAL OF NEUROSCIENCE,"175,046",6.074,0.233380,2.701
99,JOURNAL OF MEDICINAL CHEMISTRY,"69,945",6.054,0.074480,1.522
100,JOURNAL OF CEREBRAL BLOOD FLOW AND METABOLISM,"19,766",6.040,0.028040,1.791
101,International Journal of Behavioral Nutrition and Physical Activity,"9,914",6.037,0.020770,2.070
102,PAIN,"38,312",6.029,0.039040,2.082
103,CLINICAL PSYCHOLOGY-SCIENCE AND PRACTICE,"3,382",6.028,0.002680,1.697
104,CURRENT OPINION IN NEUROBIOLOGY,"15,090",6.014,0.033660,3.390
104,JCI Insight,"4,351",6.014,0.020430,2.392
106,Nanotoxicology,"4,675",5.955,0.007920,1.137
107,JOURNAL OF PATHOLOGY,"15,994",5.942,0.021030,2.094
108,Molecular Therapy-Nucleic Acids,"3,189",5.919,0.010400,1.724
109,Acta Neuropathologica Communications,"3,063",5.883,0.014180,2.123
110,Acta Physiologica,"4,734",5.868,0.008300,1.127
111,Translational Stroke Research,"1,955",5.847,0.004330,1.063
112,GLIA,"14,003",5.829,0.018750,1.911
113,NEUROIMAGE,"99,720",5.812,0.132680,2.289
114,Acta Pharmaceutica Sinica B,"2,418",5.808,0.004930,Not Available
115,NEURAL NETWORKS,"13,063",5.785,0.016050,1.665
116,Advances in Immunology,"2,544",5.771,0.004220,2.735
117,ARCHIVES OF TOXICOLOGY,"10,270",5.741,0.015550,1.271
118,NEUROPSYCHOLOGY REVIEW,"2,971",5.739,0.003940,2.488
118,NEUROPSYCHOLOGY REVIEW,"2,971",5.739,0.003940,2.488
120,Molecular Autism,"2,107",5.712,0.008010,2.198
121,Molecular Therapy-Oncolytics,486,5.710,0.001990,1.570
122,Journal of Neuroinflammation,"11,767",5.700,0.023220,1.522
123,Multiple Sclerosis Journal,"11,501",5.649,0.022740,1.532
124,PSYCHOLOGICAL MEDICINE,"25,176",5.641,0.038060,2.194
125,Annual Review of Vision Science,458,5.622,0.003300,4.169
126,PHARMACOLOGICAL RESEARCH,"11,583",5.574,0.017930,1.271
127,Nanomedicine-Nanotechnology Biology and Medicine,"10,131",5.570,0.014480,1.132
128,Cold Spring Harbor Perspectives in Medicine,"6,223",5.564,0.016720,2.404
129,Neurotherapeutics,"4,475",5.552,0.009060,1.830
130,Translational Neurodegeneration,810,5.534,0.002410,Not Available
131,JOURNAL OF ABNORMAL PSYCHOLOGY,"15,807",5.519,0.014910,2.445
132,Reviews of Environmental Contamination and Toxicology,"2,185",5.462,0.001550,1.123
133,CEREBRAL CORTEX,"30,675",5.437,0.059540,2.558
134,JOURNAL OF PAIN,"10,405",5.424,0.018260,1.973
135,Expert Opinion on Drug Delivery,"6,666",5.400,0.008970,1.120
136,OncoImmunology,"7,790",5.333,0.025460,1.745
137,CLINICAL SCIENCE,"10,951",5.237,0.014190,1.387
138,CURRENT OPINION IN PHARMACOLOGY,"6,511",5.203,0.010500,1.498
138,JOURNAL OF BIOMEDICAL SCIENCE,"4,083",5.203,0.006300,0.986
140,Journal of the International AIDS Society,"4,530",5.192,0.018790,2.514
141,NEUROBIOLOGY OF DISEASE,"16,363",5.160,0.026690,1.655
142,NEUROINFORMATICS,"1,277",5.127,0.002920,1.456
143,JOURNAL OF ANTIMICROBIAL CHEMOTHERAPY,"30,927",5.113,0.048590,1.615
144,CELL BIOLOGY AND TOXICOLOGY,"1,749",5.097,0.001360,0.683
145,JOURNAL OF INFECTIOUS DISEASES,"45,452",5.045,0.075960,2.164
146,Allergy Asthma & Immunology Research,"1,599",5.026,0.003240,0.723
147,CELLULAR ONCOLOGY,"1,382",5.020,0.001950,0.640
147,npj Vaccines,282,5.020,0.001120,1.739
149,DRUGS,"10,520",4.993,0.013240,1.295
150,JOURNAL OF PHYSIOLOGY-LONDON,"52,037",4.984,0.041080,1.604
151,BIPOLAR DISORDERS,"5,143",4.936,0.006750,1.333
152,DEPRESSION AND ANXIETY,"8,537",4.935,0.014480,1.955
153,Developmental Cognitive Neuroscience,"2,470",4.920,0.009270,2.160
154,AMYLOID-JOURNAL OF PROTEIN FOLDING DISORDERS,"1,335",4.919,0.003270,1.458
155,Translational Research,"3,669",4.915,0.008530,1.199
156,ACS Infectious Diseases,"1,459",4.911,0.005490,1.742
157,BIODRUGS,"1,685",4.903,0.003370,1.146
158,CANCER IMMUNOLOGY IMMUNOTHERAPY,"7,779",4.900,0.012870,1.382
159,JOURNAL OF PSYCHIATRY & NEUROSCIENCE,"3,293",4.899,0.004540,1.728
160,Molecular Therapy-Methods & Clinical Development,"1,078",4.875,0.004030,1.179
161,JOURNAL OF NEUROCHEMISTRY,"35,902",4.870,0.026120,1.224
162,Dialogues in Clinical Neuroscience,"3,384",4.867,0.004730,Not Available
163,EUROPEAN JOURNAL OF MEDICINAL CHEMISTRY,"34,925",4.833,0.039380,0.748
164,BIOCHEMICAL PHARMACOLOGY,"27,370",4.825,0.021330,1.103
165,Virulence,"3,557",4.775,0.009110,1.625
166,Pharmaceutics,"1,482",4.773,0.002320,Not Available
