"Journal Data Filtered By:  Selected JCR Year: 2018 Selected Editions: SCIE,SSCI Selected Categories: 'BEHAVIORAL SCIENCES','BIOCHEMICAL RESEARCH METHODS','BIOCHEMISTRY & MOLECULAR BIOLOGY','BIODIVERSITY CONSERVATION','BIOLOGY','BIOPHYSICS','CELL BIOLOGY','DEVELOPMENTAL BIOLOGY','ECOLOGY','ENTOMOLOGY','EVOLUTIONARY BIOLOGY','GENETICS & HEREDITY','LIMNOLOGY','MARINE & FRESHWATER BIOLOGY','MATHEMATICAL & COMPUTATIONAL BIOLOGY','MICROBIOLOGY','MYCOLOGY','ORNITHOLOGY','PLANT SCIENCES','REPRODUCTIVE BIOLOGY','VIROLOGY','ZOOLOGY' Selected Category Scheme: WoS",,,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score,Article Influence Score
1,NATURE REVIEWS GENETICS,"36,697",43.704,0.079240,21.742
2,NATURE REVIEWS MOLECULAR CELL BIOLOGY,"45,869",43.351,0.091410,23.627
3,CELL,"242,829",36.216,0.571870,20.380
4,NATURE REVIEWS MICROBIOLOGY,"29,637",34.648,0.054580,13.465
5,NATURE MEDICINE,"79,243",30.641,0.162940,15.679
6,NATURE METHODS,"64,324",28.467,0.205050,20.352
7,Annual Review of Biochemistry,"20,344",26.922,0.025440,12.195
8,NATURE GENETICS,"93,920",25.455,0.221340,16.812
9,CANCER CELL,"36,056",23.916,0.091030,12.289
10,Cell Metabolism,"34,829",22.415,0.099550,9.436
11,Cell Stem Cell,"24,628",21.464,0.087340,12.005
12,Annual Review of Plant Biology,"19,024",18.918,0.016890,9.547
13,CELL RESEARCH,"15,131",17.848,0.038670,7.587
14,CLINICAL MICROBIOLOGY REVIEWS,"19,194",17.750,0.021160,9.320
15,NATURE CELL BIOLOGY,"40,615",17.728,0.082520,10.129
16,Science Translational Medicine,"30,485",17.200,0.121930,8.223
17,BEHAVIORAL AND BRAIN SCIENCES,"9,377",17.194,0.010250,8.922
18,TRENDS IN BIOCHEMICAL SCIENCES,"17,448",16.889,0.031370,7.008
19,TRENDS IN CELL BIOLOGY,"14,380",16.588,0.034100,6.815
20,TRENDS IN COGNITIVE SCIENCES,"27,095",16.173,0.040040,9.161
21,Cell Host & Microbe,"17,787",15.753,0.063220,7.458
22,FUNGAL DIVERSITY,"4,234",15.596,0.006410,2.518
23,MICROBIOLOGY AND MOLECULAR BIOLOGY REVIEWS,"11,790",15.255,0.010610,6.430
24,TRENDS IN ECOLOGY & EVOLUTION,"36,697",15.236,0.035920,7.495
25,Annual Review of Marine Science,"3,870",15.225,0.008360,5.979
26,MOLECULAR BIOLOGY AND EVOLUTION,"46,915",14.797,0.092160,5.390
27,Nature Microbiology,"4,996",14.633,0.027410,6.920
28,MOLECULAR CELL,"62,812",14.548,0.170650,8.231
29,GENOME BIOLOGY,"38,920",14.028,0.133250,9.932
30,TRENDS IN PLANT SCIENCE,"21,520",14.006,0.024080,4.342
31,Nature Plants,"3,979",13.297,0.020090,5.535
32,HUMAN REPRODUCTION UPDATE,"9,206",12.878,0.014390,4.580
33,PROGRESS IN LIPID RESEARCH,"5,839",12.540,0.007150,3.567
34,Annual Review of Biophysics,"2,878",12.175,0.008460,6.221
35,Nature Chemical Biology,"21,428",12.154,0.061160,6.380
36,NATURE STRUCTURAL & MOLECULAR BIOLOGY,"27,166",12.109,0.069430,7.448
37,TRENDS IN MICROBIOLOGY,"12,514",11.974,0.020690,4.202
38,MOLECULAR PSYCHIATRY,"20,353",11.973,0.049280,4.535
39,NATURAL PRODUCT REPORTS,"11,039",11.876,0.014860,3.464
40,Annual Review of Entomology,"12,624",11.796,0.009680,5.274
41,FEMS MICROBIOLOGY REVIEWS,"12,528",11.524,0.015950,5.099
42,Nature Protocols,"40,341",11.334,0.081330,7.368
43,EMBO JOURNAL,"65,212",11.227,0.067990,5.342
44,NUCLEIC ACIDS RESEARCH,"181,592",11.147,0.402430,4.480
45,Autophagy,"16,161",11.059,0.032620,3.312
46,Physics of Life Reviews,"1,514",11.045,0.002650,3.410
47,TRENDS IN MOLECULAR MEDICINE,"9,946",11.028,0.018890,3.975
48,Journal of Extracellular Vesicles,"3,675",11.000,0.012110,Not Available
49,Nature Ecology & Evolution,"3,206",10.965,0.016660,5.537
50,FRONTIERS IN ECOLOGY AND THE ENVIRONMENT,"10,483",10.935,0.015290,3.836
51,Genome Medicine,"5,264",10.886,0.023220,3.857
52,Annual Review of Ecology Evolution and Systematics,"20,257",10.878,0.011780,6.811
53,Annual Review of Cell and Developmental Biology,"9,734",10.833,0.016760,9.334
54,Molecular Plant,"9,274",10.812,0.027130,3.669
55,Molecular Cancer,"11,626",10.679,0.021340,1.814
56,TRENDS IN GENETICS,"11,959",10.627,0.021110,4.717
57,Microbiome,"4,428",10.465,0.018060,3.799
58,AGEING RESEARCH REVIEWS,"6,539",10.390,0.015890,3.009
59,BIOLOGICAL REVIEWS,"12,482",10.288,0.019270,4.256
60,SYSTEMATIC BIOLOGY,"16,961",10.266,0.020930,4.367
61,Annual Review of Microbiology,"10,068",10.242,0.009680,5.056
62,Annual Review of Phytopathology,"7,936",10.200,0.007370,4.298
63,GENOME RESEARCH,"39,240",9.944,0.079590,6.773
64,AMERICAN JOURNAL OF HUMAN GENETICS,"36,007",9.924,0.063620,5.271
65,Molecular Systems Biology,"8,936",9.800,0.019670,5.264
66,BIOSENSORS & BIOELECTRONICS,"57,168",9.518,0.077810,1.281
67,ISME Journal,"23,603",9.493,0.051310,3.341
68,STUDIES IN MYCOLOGY,"2,939",9.206,0.004180,4.229
69,CURRENT BIOLOGY,"60,772",9.193,0.135820,4.710
70,DEVELOPMENTAL CELL,"28,572",9.190,0.068750,5.105
71,Annual Review of Genetics,"7,478",9.184,0.011370,6.628
72,Cold Spring Harbor Perspectives in Biology,"15,375",9.110,0.041820,5.566
73,BRIEFINGS IN BIOINFORMATICS,"5,750",9.101,0.018010,3.377
74,CLINICAL INFECTIOUS DISEASES,"64,031",9.055,0.118940,3.653
75,GENES & DEVELOPMENT,"54,563",8.990,0.072380,5.240
76,JOURNAL OF CELL BIOLOGY,"67,347",8.891,0.075690,4.450
77,GLOBAL CHANGE BIOLOGY,"42,119",8.880,0.075640,3.340
78,ECOLOGY LETTERS,"32,776",8.699,0.046510,4.605
79,GENETICS IN MEDICINE,"10,855",8.683,0.035760,4.037
80,Cell Systems,"2,275",8.640,0.016280,5.956
81,PLANT CELL,"52,034",8.631,0.057770,3.643
82,CURRENT OPINION IN CHEMICAL BIOLOGY,"10,499",8.544,0.018980,2.786
83,MOLECULAR THERAPY,"16,991",8.402,0.030050,2.334
84,PLOS BIOLOGY,"29,974",8.386,0.057940,4.293
85,EMBO REPORTS,"13,786",8.383,0.029880,3.936
86,MOLECULAR ASPECTS OF MEDICINE,"5,568",8.313,0.009020,3.148
87,CURRENT OPINION IN CELL BIOLOGY,"13,417",8.233,0.025790,4.078
88,Wiley Interdisciplinary Reviews-Computational Molecular Science,"5,057",8.127,0.008990,3.938
89,CELL DEATH AND DIFFERENTIATION,"19,729",8.086,0.030280,2.658
90,CURRENT OPINION IN BIOTECHNOLOGY,"15,326",8.083,0.023020,2.331
91,NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS,"26,724",8.002,0.051570,3.132
92,Annual Review of Genomics and Human Genetics,"2,537",7.914,0.006020,4.562
93,Gut Microbes,"3,203",7.823,0.008110,Not Available
94,Cell Reports,"39,510",7.815,0.235690,4.351
95,Redox Biology,"7,192",7.793,0.019620,2.096
96,CLADISTICS,"3,966",7.779,0.004320,1.973
